Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.4e-05,17.184142,[ 7 22] ; [26  8],[15.19047619 13.80952381] ; [17.80952381 16.19047619],1
u1,1,0.223544,1.481472,[ 1 28] ; [ 4 30],[ 2.3015873 26.6984127] ; [ 2.6984127 31.3015873],0
v3,1,0.288898,1.124748,[ 9 19] ; [15 18],[11.01639344 16.98360656] ; [12.98360656 20.01639344],0
b4,1,0.312223,1.02125,[19 10] ; [18 16],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
p5,1,0.325578,0.966405,[ 2 27] ; [ 5 29],[ 3.22222222 25.77777778] ; [ 3.77777778 30.22222222],0
d3,1,0.350904,0.870185,[19  8] ; [20 14],[17.26229508  9.73770492] ; [21.73770492 12.26229508],0
n1,1,0.375399,0.785714,[3 5] ; [8 6],[4. 4.] ; [7. 7.],0
u2,1,0.404657,0.694444,[8 7] ; [7 3],[9. 6.] ; [6. 4.],0
p10,1,0.465109,0.533572,[20  8] ; [27  7],[21.22580645  6.77419355] ; [25.77419355  8.22580645],0
r4,1,0.471891,0.517546,[22  7] ; [23 11],[20.71428571  8.28571429] ; [24.28571429  9.71428571],0
d5,1,0.479074,0.50097,[21  7] ; [28  6],[22.12903226  5.87096774] ; [26.87096774  7.12903226],0
p4,1,0.489788,0.476992,[19 10] ; [25  9],[20.25396825  8.74603175] ; [23.74603175 10.25396825],0
n3,1,0.492519,0.471018,[7 2] ; [9 5],[6.26086957 2.73913043] ; [9.73913043 4.26086957],0
a2,1,0.51177,0.430447,[ 2 27] ; [ 4 30],[ 2.76190476 26.23809524] ; [ 3.23809524 30.76190476],0
a1,1,0.51177,0.430447,[ 2 27] ; [ 4 30],[ 2.76190476 26.23809524] ; [ 3.23809524 30.76190476],0
n6,1,0.525732,0.402634,[22  7] ; [28  6],[23.01587302  5.98412698] ; [26.98412698  7.01587302],0
p9,1,0.532909,0.388841,[23  6] ; [29  5],[23.93650794  5.06349206] ; [28.06349206  5.93650794],0
d1,1,0.546824,0.363037,[14 15] ; [19 15],[15.19047619 13.80952381] ; [17.80952381 16.19047619],0
b1,1,0.571925,0.319473,[14 15] ; [14 20],[12.88888889 16.11111111] ; [15.11111111 18.88888889],0
d2,1,0.619094,0.247143,[11 18] ; [15 19],[11.96825397 17.03174603] ; [14.03174603 19.96825397],0
a6,1,0.619094,0.247143,[18 11] ; [19 15],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
n5,1,0.747894,0.103309,[20  8] ; [23 11],[19.41935484  8.58064516] ; [23.58064516 10.41935484],0
b2,1,0.780332,0.077778,[6 9] ; [12 15],[6.42857143 8.57142857] ; [11.57142857 15.42857143],0
b3,1,0.780332,0.077778,[6 9] ; [12 15],[6.42857143 8.57142857] ; [11.57142857 15.42857143],0
n2,1,0.808605,0.058673,[6 3] ; [10  4],[6.26086957 2.73913043] ; [9.73913043 4.26086957],0
a8,1,0.8298,0.046207,[ 3 25] ; [ 4 28],[ 3.26666667 24.73333333] ; [ 3.73333333 28.26666667],0
v4,1,0.837551,0.042036,[26  3] ; [31  3],[26.23809524  2.76190476] ; [30.76190476  3.23809524],0
p12,1,0.837551,0.042036,[ 3 26] ; [ 3 31],[ 2.76190476 26.23809524] ; [ 3.23809524 30.76190476],0
r3,1,0.858143,0.031947,[26  3] ; [30  4],[25.77777778  3.22222222] ; [30.22222222  3.77777778],0
p7,1,0.882526,0.021835,[20  8] ; [23 10],[19.73770492  8.26229508] ; [23.26229508  9.73770492],0
p2,1,0.966279,0.001787,[24  5] ; [28  6],[23.93650794  5.06349206] ; [28.06349206  5.93650794],0
p11,1,0.966279,0.001787,[24  5] ; [28  6],[23.93650794  5.06349206] ; [28.06349206  5.93650794],0
a4,1,0.980225,0.000614,[11 18] ; [13 21],[11.04761905 17.95238095] ; [12.95238095 21.04761905],0
