Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.9e-05,16.496764,[51 20] ; [ 2 12],[44.27058824 26.72941176] ; [8.72941176 5.27058824],1
p6,1,0.217401,1.521444,[26 41] ; [ 3 11],[23.98765432 43.01234568] ; [5.01234568 8.98765432],0
s7,1,0.245769,1.347195,[30 36] ; [ 4 10],[28.05 37.95] ; [5.95 8.05],0
r2,1,0.262832,1.253777,[58 11] ; [10  4],[56.53012048 12.46987952] ; [11.46987952  2.53012048],0
p5,1,0.353849,0.859607,[12 59] ; [ 1 13],[10.85882353 60.14117647] ; [ 2.14117647 11.85882353],0
p4,1,0.426451,0.632471,[43 27] ; [7 7],[41.66666667 28.33333333] ; [8.33333333 5.66666667],0
v3,1,0.464275,0.53557,[32 37] ; [5 9],[30.75903614 38.24096386] ; [6.24096386 7.75903614],0
p9,1,0.485332,0.486858,[61 10] ; [11  3],[60.14117647 10.85882353] ; [11.85882353  2.14117647],0
p1,1,0.494375,0.46699,[ 6 65] ; [ 2 12],[ 6.68235294 64.31764706] ; [ 1.31764706 12.68235294],0
n3,1,0.504036,0.446429,[12  9] ; [3 1],[12.6  8.4] ; [2.4 1.6],0
p7,1,0.554113,0.35,[41 29] ; [7 7],[40. 30.] ; [8. 6.],0
u2,1,0.570454,0.321923,[14 12] ; [2 3],[13.41935484 12.58064516] ; [2.58064516 2.41935484],0
b5,1,0.586999,0.295056,[46 25] ; [8 6],[45.10588235 25.89411765] ; [8.89411765 5.10588235],0
a2,1,0.622739,0.242037,[ 7 64] ; [ 2 12],[ 7.51764706 63.48235294] ; [ 1.48235294 12.51764706],0
s4,1,0.634606,0.225866,[14 57] ; [ 2 12],[13.36470588 57.63529412] ; [ 2.63529412 11.36470588],0
a6,1,0.659478,0.194158,[36 35] ; [8 6],[36.75294118 34.24705882] ; [7.24705882 6.75294118],0
a7,1,0.659759,0.193816,[45 26] ; [8 6],[44.27058824 26.72941176] ; [8.72941176 5.27058824],0
p8,1,0.734119,0.115363,[33 36] ; [6 8],[32.42168675 36.57831325] ; [6.57831325 7.42168675],0
u3,1,0.737342,0.112476,[14 13] ; [3 2],[14.34375 12.65625] ; [2.65625 2.34375],0
s5,1,0.785123,0.074338,[21 44] ; [ 4 10],[20.56962025 44.43037975] ; [4.43037975 9.56962025],0
n1,1,0.791959,0.069573,[ 9 12] ; [2 2],[ 9.24 11.76] ; [1.76 2.24],0
d3,1,0.811288,0.057009,[43 28] ; [8 6],[42.6 28.4] ; [8.4 5.6],0
s1,1,0.826401,0.048101,[ 4 67] ; [ 1 13],[ 4.17647059 66.82352941] ; [ 0.82352941 13.17647059],0
a3,1,0.870269,0.026672,[44 27] ; [9 5],[44.27058824 26.72941176] ; [8.72941176 5.27058824],0
a4,1,0.890341,0.019009,[24 47] ; [5 9],[24.22352941 46.77647059] ; [4.77647059 9.22352941],0
a5,1,0.955731,0.003082,[40 31] ; [8 6],[40.09411765 30.90588235] ; [7.90588235 6.09411765],0
n2,1,0.95925,0.002611,[16  5] ; [3 1],[15.96  5.04] ; [3.04 0.96],0
b4,1,0.966678,0.001745,[41 30] ; [8 6],[40.92941176 30.07058824] ; [8.07058824 5.92941176],0
