Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,31.651983,[60 14] ; [ 6 22],[47.88235294 26.11764706] ; [18.11764706  9.88235294],1
a2,1,0.465802,0.531916,[ 9 65] ; [ 2 26],[ 7.98039216 66.01960784] ; [ 3.01960784 24.98039216],0
s8,1,0.471,0.519629,[15 58] ; [ 4 24],[13.73267327 59.26732673] ; [ 5.26732673 22.73267327],0
s2,1,0.473296,0.51427,[ 5 69] ; [ 3 24],[ 5.86138614 68.13861386] ; [ 2.13861386 24.86138614],0
p1,1,0.483132,0.491786,[ 7 67] ; [ 4 24],[ 7.98039216 66.01960784] ; [ 3.01960784 24.98039216],0
s6,1,0.4935,0.468887,[27 46] ; [ 8 19],[25.55 47.45] ; [ 9.45 17.55],0
p3,1,0.511268,0.431472,[29 45] ; [ 9 19],[27.56862745 46.43137255] ; [10.43137255 17.56862745],0
n1,1,0.517482,0.418909,[12 13] ; [4 7],[11.11111111 13.88888889] ; [4.88888889 6.11111111],0
a1,1,0.541761,0.372285,[ 5 69] ; [ 1 27],[ 4.35294118 69.64705882] ; [ 1.64705882 26.35294118],0
u2,1,0.563005,0.334528,[16 20] ; [9 8],[16.98113208 19.01886792] ; [8.01886792 8.98113208],0
b5,1,0.570115,0.32249,[43 31] ; [18 10],[44.25490196 29.74509804] ; [16.74509804 11.25490196],0
v2,1,0.597843,0.278261,[27 42] ; [ 9 18],[25.875 43.125] ; [10.125 16.875],0
p2,1,0.615551,0.252171,[49 25] ; [20  8],[50.05882353 23.94117647] ; [18.94117647  9.05882353],0
p4,1,0.629009,0.233408,[33 41] ; [11 17],[31.92156863 42.07843137] ; [12.07843137 15.92156863],0
n6,1,0.65533,0.199246,[51 23] ; [18 10],[50.05882353 23.94117647] ; [18.94117647  9.05882353],0
p7,1,0.656005,0.198413,[35 37] ; [15 13],[36. 36.] ; [14. 14.],0
b2,1,0.669949,0.181662,[17 26] ; [ 5 10],[16.31034483 26.68965517] ; [5.68965517 9.31034483],0
b3,1,0.669949,0.181662,[17 26] ; [ 5 10],[16.31034483 26.68965517] ; [5.68965517 9.31034483],0
n3,1,0.719932,0.128558,[16  8] ; [8 3],[16.45714286  7.54285714] ; [7.54285714 3.45714286],0
s4,1,0.792639,0.069109,[ 9 64] ; [ 4 24],[ 9.3960396 63.6039604] ; [ 3.6039604 24.3960396],0
n2,1,0.798074,0.065455,[17  8] ; [7 4],[16.66666667  8.33333333] ; [7.33333333 3.66666667],0
r4,1,0.875333,0.024614,[49 25] ; [19  9],[49.33333333 24.66666667] ; [18.66666667  9.33333333],0
s5,1,0.900252,0.015711,[12 61] ; [ 4 22],[11.7979798 61.2020202] ; [ 4.2020202 21.7979798],0
r2,1,0.902173,0.015109,[60 14] ; [23  5],[60.21568627 13.78431373] ; [22.78431373  5.21568627],0
p11,1,0.917856,0.010637,[51 23] ; [19  9],[50.78431373 23.21568627] ; [19.21568627  8.78431373],0
p12,1,0.958533,0.002703,[ 5 68] ; [ 2 26],[ 5.05940594 67.94059406] ; [ 1.94059406 26.05940594],0
