Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.930157,[17  6] ; [22 77],[ 7.35245902 15.64754098] ; [31.64754098 67.35245902],1
p12,1,0.089037,2.891701,[ 4 21] ; [ 6 97],[ 1.953125 23.046875] ; [ 8.046875 94.953125],0
a2,1,0.1328,2.259466,[ 4 21] ; [32 71],[ 7.03125 17.96875] ; [28.96875 74.03125],0
r3,1,0.142996,2.145421,[23  2] ; [81 21],[20.47244094  4.52755906] ; [83.52755906 18.47244094],0
s3,1,0.166661,1.912726,[14 10] ; [44 59],[10.96062992 13.03937008] ; [47.03937008 55.96062992],0
v3,1,0.244113,1.356683,[11 12] ; [33 62],[ 8.57627119 14.42372881] ; [35.42372881 59.57627119],0
n2,1,0.250302,1.321618,[7 1] ; [31 15],[5.62962963 2.37037037] ; [32.37037037 13.62962963],0
r1,1,0.367925,0.810659,[19  6] ; [68 34],[17.12598425  7.87401575] ; [69.87401575 32.12598425],0
p11,1,0.392863,0.730063,[15 10] ; [52 51],[13.0859375 11.9140625] ; [53.9140625 49.0859375],0
n3,1,0.408501,0.68316,[6 2] ; [25 17],[4.96 3.04] ; [26.04 15.96],0
b1,1,0.449621,0.571608,[11 14] ; [54 49],[12.6953125 12.3046875] ; [52.3046875 50.6953125],0
d5,1,0.466854,0.529412,[20  4] ; [78 24],[18.66666667  5.33333333] ; [79.33333333 22.66666667],0
u1,1,0.486477,0.484309,[ 4 21] ; [23 80],[ 5.2734375 19.7265625] ; [21.7265625 81.2734375],0
a3,1,0.565262,0.330674,[18  7] ; [79 23],[19.09448819  5.90551181] ; [77.90551181 24.09448819],0
b3,1,0.595546,0.281766,[ 9 10] ; [28 41],[ 7.98863636 11.01136364] ; [29.01136364 39.98863636],0
b2,1,0.595546,0.281766,[ 9 10] ; [28 41],[ 7.98863636 11.01136364] ; [29.01136364 39.98863636],0
a1,1,0.599862,0.275205,[ 2 23] ; [12 91],[ 2.734375 22.265625] ; [11.265625 91.734375],0
b5,1,0.611327,0.258247,[15 10] ; [56 47],[13.8671875 11.1328125] ; [57.1328125 45.8671875],0
n4,1,0.674545,0.176332,[18  7] ; [69 33],[17.12598425  7.87401575] ; [69.87401575 32.12598425],0
s1,1,0.69611,0.152551,[ 2 23] ; [ 6 96],[ 1.57480315 23.42519685] ; [ 6.42519685 95.57480315],0
a6,1,0.706447,0.141852,[16  8] ; [72 30],[16.76190476  7.23809524] ; [71.23809524 30.76190476],0
d2,1,0.753601,0.09853,[15  9] ; [59 41],[14.32258065  9.67741935] ; [59.67741935 40.32258065],0
a4,1,0.797509,0.06583,[14 11] ; [60 42],[14.56692913 10.43307087] ; [59.43307087 42.56692913],0
a8,1,0.806116,0.06024,[ 3 20] ; [11 87],[ 2.66115702 20.33884298] ; [11.33884298 86.66115702],0
d3,1,0.808081,0.059002,[15  9] ; [61 41],[14.47619048  9.52380952] ; [61.52380952 40.47619048],0
n1,1,0.81248,0.056277,[4 4] ; [20 24],[3.69230769 4.30769231] ; [20.30769231 23.69230769],0
a7,1,0.873831,0.025216,[16  9] ; [67 35],[16.33858268  8.66141732] ; [66.66141732 35.33858268],0
n5,1,0.875886,0.024394,[17  8] ; [71 31],[17.32283465  7.67716535] ; [70.67716535 31.32283465],0
d4,1,0.937043,0.006239,[19  5] ; [80 22],[18.85714286  5.14285714] ; [80.14285714 21.85714286],0
u2,1,0.976835,0.000843,[3 4] ; [10 13],[3.03333333 3.96666667] ; [ 9.96666667 13.03333333],0
u4,1,0.978483,0.000727,[ 1 24] ; [ 4 99],[ 0.9765625 24.0234375] ; [ 4.0234375 98.9765625],0
