Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,73.697819,[217  39] ; [68 85],[178.38630807  77.61369193] ; [106.61369193  46.38630807],1
a6,1,0.325315,0.967458,[184  82] ; [100  55],[179.43942993  86.56057007] ; [104.56057007  50.43942993],0
s4,1,0.328466,0.954936,[ 60 206] ; [ 41 112],[ 64.11933174 201.88066826] ; [ 36.88066826 116.11933174],0
b5,1,0.394343,0.725508,[160 107] ; [100  56],[164.11347518 102.88652482] ; [95.88652482 60.11347518],0
r2,1,0.433776,0.612691,[255   8] ; [148   7],[253.56220096   9.43779904] ; [149.43779904   5.56220096],0
a2,1,0.439717,0.59702,[ 76 191] ; [ 39 117],[ 72.58865248 194.41134752] ; [ 42.41134752 113.58865248],0
d4,1,0.465617,0.532358,[230  36] ; [130  25],[227.4584323  38.5415677] ; [132.5415677  22.4584323],0
n3,1,0.480181,0.498453,[43 18] ; [24  7],[44.42391304 16.57608696] ; [22.57608696  8.42391304],0
p2,1,0.482258,0.493754,[230  36] ; [131  25],[227.54976303  38.45023697] ; [133.45023697  22.54976303],0
a4,1,0.496731,0.461913,[128 139] ; [69 86],[124.64218009 142.35781991] ; [72.35781991 82.64218009],0
a1,1,0.613315,0.255376,[ 15 252] ; [  7 149],[ 13.88652482 253.11347518] ; [  8.11347518 147.88652482],0
r3,1,0.668973,0.182806,[260   7] ; [150   3],[260.64285714   6.35714286] ; [149.35714286   3.64285714],0
s1,1,0.73537,0.114238,[ 12 253] ; [  8 144],[ 12.70983213 252.29016787] ; [  7.29016787 144.70983213],0
n2,1,0.826545,0.04802,[48 13] ; [25  6],[48.40217391 12.59782609] ; [24.59782609  6.40217391],0
d3,1,0.873703,0.025267,[188  79] ; [108  47],[187.27962085  79.72037915] ; [108.72037915  46.27962085],0
u2,1,0.966136,0.001802,[32 21] ; [31 20],[32.10576923 20.89423077] ; [30.89423077 20.10576923],0
