Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000684,11.533126,[15  8] ; [17 49],[ 8.26966292 14.73033708] ; [23.73033708 42.26966292],1
d2,1,0.694008,0.15478,[10 14] ; [26 44],[ 9.19148936 14.80851064] ; [26.80851064 43.19148936],0
s3,1,0.706826,0.141468,[ 7 17] ; [23 46],[ 7.74193548 16.25806452] ; [22.25806452 46.74193548],0
n3,1,0.714219,0.1341,[4 2] ; [17 12],[3.6 2.4] ; [17.4 11.6],0
p5,1,0.734681,0.114856,[ 1 22] ; [ 2 67],[ 0.75 22.25] ; [ 2.25 66.75],0
u2,1,0.802644,0.062463,[4 3] ; [14 13],[3.70588235 3.29411765] ; [14.29411765 12.70588235],0
u3,1,0.802644,0.062463,[3 4] ; [13 14],[3.29411765 3.70588235] ; [12.70588235 14.29411765],0
s1,1,0.806542,0.059971,[ 2 21] ; [ 5 65],[ 1.7311828 21.2688172] ; [ 5.2688172 64.7311828],0
s5,1,0.820404,0.051541,[ 2 21] ; [ 5 64],[ 1.75 21.25] ; [ 5.25 63.75],0
a6,1,0.828729,0.046799,[15  9] ; [42 28],[14.55319149  9.44680851] ; [42.44680851 27.55319149],0
s7,1,0.840797,0.04035,[ 3 18] ; [10 52],[ 3.28915663 17.71084337] ; [ 9.71084337 52.28915663],0
p2,1,0.846165,0.037641,[12 10] ; [36 33],[11.6043956 10.3956044] ; [36.3956044 32.6043956],0
p6,1,0.84793,0.036772,[ 4 18] ; [11 56],[ 3.70786517 18.29213483] ; [11.29213483 55.70786517],0
d4,1,0.895914,0.017115,[16  8] ; [47 22],[16.25806452  7.74193548] ; [46.74193548 22.25806452],0
n1,1,0.953847,0.00335,[2 3] ; [12 17],[2.05882353 2.94117647] ; [11.94117647 17.05882353],0
a1,1,0.971225,0.001301,[ 2 22] ; [ 6 64],[ 2.04255319 21.95744681] ; [ 5.95744681 64.04255319],0
