Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.4e-05,16.685358,[ 22 118] ; [39 61],[ 35.58333333 104.41666667] ; [25.41666667 74.58333333],1
a4,1,0.606131,0.265847,[58 83] ; [39 64],[56.05327869 84.94672131] ; [40.94672131 62.05327869],0
s4,1,0.644366,0.213077,[ 24 118] ; [15 87],[ 22.69672131 119.30327869] ; [16.30327869 85.69672131],0
b4,1,0.651599,0.20389,[89 54] ; [67 36],[90.68292683 52.31707317] ; [65.31707317 37.68292683],0
p6,1,0.697803,0.150768,[ 12 130] ; [10 91],[ 12.85596708 129.14403292] ; [ 9.14403292 91.85596708],0
a2,1,0.734695,0.114844,[ 20 123] ; [16 87],[ 20.92682927 122.07317073] ; [15.07317073 87.92682927],0
u4,1,0.762996,0.090932,[  2 141] ; [  1 102],[  1.74390244 141.25609756] ; [  1.25609756 101.74390244],0
u3,1,0.798323,0.065289,[31 31] ; [18 20],[30.38 31.62] ; [18.62 19.38],0
u1,1,0.819829,0.051877,[ 14 129] ; [11 92],[ 14.53252033 128.46747967] ; [10.46747967 92.53252033],0
s5,1,0.912069,0.012194,[ 27 112] ; [20 80],[ 27.33472803 111.66527197] ; [19.66527197 80.33472803],0
s7,1,0.916702,0.010939,[ 27 109] ; [20 78],[ 27.31623932 108.68376068] ; [19.68376068 78.31623932],0
d2,1,0.925297,0.008792,[55 86] ; [40 61],[55.35123967 85.64876033] ; [39.64876033 61.35123967],0
b5,1,0.99315,7.4e-05,[86 57] ; [62 41],[86.03252033 56.96747967] ; [61.96747967 41.03252033],0
