Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9.9e-05,15.149254,[ 3 35] ; [12 11],[ 9.3442623 28.6557377] ; [ 5.6557377 17.3442623],1
a3,1,0.407126,0.687177,[20 18] ; [14  8],[21.53333333 16.46666667] ; [12.46666667  9.53333333],0
s1,1,0.441419,0.592591,[ 4 34] ; [ 4 19],[ 4.98360656 33.01639344] ; [ 3.01639344 19.98360656],0
u3,1,0.443598,0.586957,[ 2 16] ; [2 7],[ 2.66666667 15.33333333] ; [1.33333333 7.66666667],0
p6,1,0.491956,0.472246,[ 4 32] ; [ 4 19],[ 4.88135593 31.11864407] ; [ 3.11864407 19.88135593],0
d2,1,0.515428,0.423032,[16 21] ; [ 8 15],[14.8 22.2] ; [ 9.2 13.8],0
d3,1,0.530136,0.394131,[18 20] ; [ 9 14],[16.81967213 21.18032787] ; [10.18032787 12.81967213],0
d5,1,0.530136,0.394131,[20 18] ; [14  9],[21.18032787 16.81967213] ; [12.81967213 10.18032787],0
a8,1,0.543349,0.369368,[ 6 32] ; [ 2 18],[ 5.24137931 32.75862069] ; [ 2.75862069 17.24137931],0
a7,1,0.572958,0.317758,[17 21] ; [12 11],[18.06557377 19.93442623] ; [10.93442623 12.06557377],0
u1,1,0.587557,0.294176,[ 3 35] ; [ 1 22],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
n1,1,0.599337,0.275996,[7 8] ; [4 7],[6.34615385 8.65384615] ; [4.65384615 6.34615385],0
b4,1,0.607113,0.2644,[24 14] ; [13 10],[23.04918033 14.95081967] ; [13.95081967  9.04918033],0
p4,1,0.633394,0.227487,[11 27] ; [ 8 15],[11.83606557 26.16393443] ; [ 7.16393443 15.83606557],0
p3,1,0.687467,0.161841,[10 28] ; [ 5 18],[ 9.3442623 28.6557377] ; [ 5.6557377 17.3442623],0
p10,1,0.750401,0.101194,[15 22] ; [ 8 14],[14.42372881 22.57627119] ; [ 8.57627119 13.42372881],0
a5,1,0.767615,0.087318,[20 18] ; [13 10],[20.55737705 17.44262295] ; [12.44262295 10.55737705],0
n4,1,0.796159,0.06673,[26 12] ; [15  8],[25.54098361 12.45901639] ; [15.45901639  7.54098361],0
p7,1,0.796159,0.06673,[12 26] ; [ 8 15],[12.45901639 25.54098361] ; [ 7.54098361 15.45901639],0
a1,1,0.816004,0.054143,[ 4 34] ; [ 2 21],[ 3.73770492 34.26229508] ; [ 2.26229508 20.73770492],0
p5,1,0.854995,0.033397,[ 2 35] ; [ 1 22],[ 1.85 35.15] ; [ 1.15 21.85],0
v3,1,0.861014,0.030654,[ 9 29] ; [ 5 18],[ 8.72131148 29.27868852] ; [ 5.27868852 17.72131148],0
b1,1,0.869261,0.027092,[19 19] ; [12 11],[19.31147541 18.68852459] ; [11.68852459 11.31147541],0
p9,1,0.895812,0.017149,[17 19] ; [10 12],[16.75862069 19.24137931] ; [10.24137931 11.75862069],0
n6,1,0.920024,0.010081,[18 19] ; [11 11],[18.18644068 18.81355932] ; [10.81355932 11.18644068],0
p11,1,0.923589,0.009199,[17 21] ; [10 13],[16.81967213 21.18032787] ; [10.18032787 12.81967213],0
b2,1,0.938278,0.005996,[ 8 17] ; [4 9],[ 7.89473684 17.10526316] ; [4.10526316 8.89473684],0
b3,1,0.938278,0.005996,[ 8 17] ; [4 9],[ 7.89473684 17.10526316] ; [4.10526316 8.89473684],0
n3,1,0.951159,0.003752,[8 7] ; [6 5],[8.07692308 6.92307692] ; [5.92307692 5.07692308],0
s4,1,0.989763,0.000165,[ 5 33] ; [ 3 20],[ 4.98360656 33.01639344] ; [ 3.01639344 19.98360656],0
a2,1,0.989763,0.000165,[ 5 33] ; [ 3 20],[ 4.98360656 33.01639344] ; [ 3.01639344 19.98360656],0
