Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,21.714308,[20  9] ; [ 4 30],[11.04761905 17.95238095] ; [12.95238095 21.04761905],1
s4,1,0.286361,1.13665,[ 4 25] ; [ 2 32],[ 2.76190476 26.23809524] ; [ 3.23809524 30.76190476],0
d1,1,0.29687,1.088199,[14 15] ; [12 22],[11.96825397 17.03174603] ; [14.03174603 19.96825397],0
a8,1,0.317217,1.000385,[ 5 24] ; [ 3 31],[ 3.68253968 25.31746032] ; [ 4.31746032 29.68253968],0
a3,1,0.326985,0.960801,[21  8] ; [20 13],[19.17741935  9.82258065] ; [21.82258065 11.17741935],0
n3,1,0.337482,0.919974,[9 5] ; [8 9],[7.67741935 6.32258065] ; [9.32258065 7.67741935],0
r2,1,0.345887,0.888491,[24  5] ; [24  9],[22.4516129  6.5483871] ; [25.5483871  7.4516129],0
v3,1,0.352799,0.863365,[ 8 17] ; [ 7 26],[ 6.46551724 18.53448276] ; [ 8.53448276 24.46551724],0
u3,1,0.375399,0.785714,[5 3] ; [6 8],[4. 4.] ; [7. 7.],0
d2,1,0.398869,0.711735,[11 17] ; [17 17],[12.64516129 15.35483871] ; [15.35483871 18.64516129],0
s5,1,0.399589,0.709564,[ 4 21] ; [ 3 31],[ 2.96610169 22.03389831] ; [ 4.03389831 29.96610169],0
d5,1,0.463686,0.536981,[19  9] ; [20 14],[17.61290323 10.38709677] ; [21.38709677 12.61290323],0
s3,1,0.464001,0.536226,[15 14] ; [14 19],[13.56451613 15.43548387] ; [15.43548387 17.56451613],0
a7,1,0.49382,0.468193,[17 12] ; [17 17],[15.65079365 13.34920635] ; [18.34920635 15.65079365],0
p6,1,0.525857,0.402391,[ 4 24] ; [ 3 30],[ 3.21311475 24.78688525] ; [ 3.78688525 29.21311475],0
p1,1,0.531589,0.391354,[ 4 25] ; [ 3 31],[ 3.22222222 25.77777778] ; [ 3.77777778 30.22222222],0
p8,1,0.565401,0.330438,[ 7 22] ; [ 6 27],[ 6.08064516 22.91935484] ; [ 6.91935484 26.08064516],0
r1,1,0.619094,0.247143,[18 11] ; [19 15],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
a5,1,0.620085,0.245748,[17 12] ; [22 12],[17.95238095 11.04761905] ; [21.04761905 12.95238095],0
s1,1,0.640806,0.21769,[ 3 25] ; [ 5 29],[ 3.61290323 24.38709677] ; [ 4.38709677 29.61290323],0
n5,1,0.678084,0.172291,[13 15] ; [14 20],[12.19354839 15.80645161] ; [14.80645161 19.19354839],0
v2,1,0.682947,0.166827,[10 16] ; [11 22],[ 9.25423729 16.74576271] ; [11.74576271 21.25423729],0
n1,1,0.754725,0.097603,[7 7] ; [ 8 10],[6.5625 7.4375] ; [8.4375 9.5625],0
a4,1,0.77038,0.085193,[13 16] ; [14 20],[12.42857143 16.57142857] ; [14.57142857 19.42857143],0
d3,1,0.779447,0.078423,[13 15] ; [17 17],[13.5483871 14.4516129] ; [16.4516129 17.5483871],0
a2,1,0.783705,0.075347,[ 5 24] ; [ 5 29],[ 4.6031746 24.3968254] ; [ 5.3968254 28.6031746],0
u2,1,0.805803,0.06044,[5 3] ; [8 6],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
a6,1,0.817609,0.053186,[14 14] ; [18 16],[14.4516129 13.5483871] ; [17.5483871 16.4516129],0
n4,1,0.859431,0.031364,[13 16] ; [16 18],[13.34920635 15.65079365] ; [15.65079365 18.34920635],0
b1,1,0.859431,0.031364,[16 13] ; [18 16],[15.65079365 13.34920635] ; [18.34920635 15.65079365],0
b4,1,0.891478,0.018614,[15 14] ; [17 17],[14.73015873 14.26984127] ; [17.26984127 16.73015873],0
a1,1,0.917809,0.010649,[ 4 25] ; [ 5 29],[ 4.14285714 24.85714286] ; [ 4.85714286 29.14285714],0
p4,1,0.935529,0.006543,[ 6 22] ; [ 7 27],[ 5.87096774 22.12903226] ; [ 7.12903226 26.87096774],0
