Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.8e-05,16.540196,[35 84] ; [13  3],[42.31111111 76.68888889] ; [ 5.68888889 10.31111111],1
p10,1,0.27698,1.181847,[49 68] ; [9 7],[51.02255639 65.97744361] ; [6.97744361 9.02255639],0
a6,1,0.284764,1.14421,[65 54] ; [11  5],[66.99259259 52.00740741] ; [9.00740741 6.99259259],0
s1,1,0.307008,1.043505,[ 12 106] ; [ 3 13],[ 13.20895522 104.79104478] ; [ 1.79104478 14.20895522],0
a2,1,0.309296,1.033678,[ 19 101] ; [ 1 15],[ 17.64705882 102.35294118] ; [ 2.35294118 13.64705882],0
s4,1,0.323384,0.975209,[ 18 100] ; [ 4 12],[19.37313433 98.62686567] ; [ 2.62686567 13.37313433],0
v3,1,0.340677,0.907881,[32 82] ; [6 9],[33.58139535 80.41860465] ; [ 4.41860465 10.58139535],0
p11,1,0.361989,0.830979,[53 67] ; [9 7],[54.70588235 65.29411765] ; [7.29411765 8.70588235],0
v1,1,0.375647,0.7849,[32 87] ; [ 6 10],[33.4962963 85.5037037] ; [ 4.5037037 11.4962963],0
u2,1,0.408602,0.682863,[20 29] ; [3 2],[20.87037037 28.12962963] ; [2.12962963 2.87037037],0
d5,1,0.422059,0.644576,[72 47] ; [8 8],[70.51851852 48.48148148] ; [9.48148148 6.51851852],0
n3,1,0.44008,0.596074,[27 22] ; [3 1],[27.73584906 21.26415094] ; [2.26415094 1.73584906],0
b4,1,0.451144,0.567776,[63 57] ; [10  6],[64.41176471 55.58823529] ; [8.58823529 7.41176471],0
a3,1,0.469217,0.52382,[70 48] ; [11  5],[71.32835821 46.67164179] ; [9.67164179 6.32835821],0
a5,1,0.526663,0.400825,[70 50] ; [8 8],[68.82352941 51.17647059] ; [9.17647059 6.82352941],0
u3,1,0.549939,0.357427,[23 27] ; [3 2],[23.63636364 26.36363636] ; [2.36363636 2.63636364],0
u1,1,0.570914,0.321155,[ 13 107] ; [ 1 15],[ 12.35294118 107.64705882] ; [ 1.64705882 14.35294118],0
a1,1,0.570914,0.321155,[ 13 107] ; [ 1 15],[ 12.35294118 107.64705882] ; [ 1.64705882 14.35294118],0
p1,1,0.580976,0.304659,[ 10 110] ; [ 2 14],[ 10.58823529 109.41176471] ; [ 1.41176471 14.58823529],0
a4,1,0.593062,0.285588,[45 73] ; [ 5 11],[44.02985075 73.97014925] ; [ 5.97014925 10.02985075],0
a8,1,0.660035,0.193481,[ 11 103] ; [ 1 15],[ 10.52307692 103.47692308] ; [ 1.47692308 14.52307692],0
d1,1,0.703389,0.14497,[51 69] ; [ 6 10],[50.29411765 69.70588235] ; [6.70588235 9.29411765],0
b1,1,0.706021,0.142284,[54 66] ; [8 8],[54.70588235 65.29411765] ; [7.29411765 8.70588235],0
n1,1,0.730464,0.118686,[21 30] ; [2 2],[21.32727273 29.67272727] ; [1.67272727 2.32727273],0
n4,1,0.730628,0.118536,[69 50] ; [10  6],[69.63703704 49.36296296] ; [9.36296296 6.63703704],0
r1,1,0.730628,0.118536,[69 50] ; [10  6],[69.63703704 49.36296296] ; [9.36296296 6.63703704],0
d2,1,0.738605,0.111357,[49 68] ; [ 6 10],[48.38345865 68.61654135] ; [6.61654135 9.38345865],0
n5,1,0.86556,0.028663,[69 49] ; [9 7],[68.68656716 49.31343284] ; [9.31343284 6.68656716],0
b2,1,0.903897,0.014578,[27 41] ; [3 5],[26.84210526 41.15789474] ; [3.15789474 4.84210526],0
b3,1,0.903897,0.014578,[27 41] ; [3 5],[26.84210526 41.15789474] ; [3.15789474 4.84210526],0
d3,1,0.924553,0.008968,[61 58] ; [8 8],[60.82222222 58.17777778] ; [8.17777778 7.82222222],0
b5,1,0.924763,0.008918,[66 54] ; [9 7],[66.17647059 53.82352941] ; [8.82352941 7.17647059],0
d4,1,0.989802,0.000163,[82 37] ; [11  5],[81.97777778 37.02222222] ; [11.02222222  4.97777778],0
