Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,87.909856,[135   3] ; [70 76],[99.61267606 38.38732394] ; [105.38732394  40.61267606],1
p12,1,0.188847,1.726588,[  1 138] ; [  4 140],[  2.45583039 136.54416961] ; [  2.54416961 141.45583039],0
b4,1,0.218579,1.513677,[83 57] ; [76 70],[77.83216783 62.16783217] ; [81.16783217 64.83216783],0
v1,1,0.243094,1.362564,[59 80] ; [51 92],[54.21985816 84.78014184] ; [55.78014184 87.21985816],0
p1,1,0.254002,1.301158,[ 10 130] ; [ 16 129],[ 12.77192982 127.22807018] ; [ 13.22807018 131.77192982],0
p4,1,0.260681,1.265136,[61 76] ; [55 90],[56.35460993 80.64539007] ; [59.64539007 85.35460993],0
p5,1,0.270587,1.21377,[ 10 130] ; [  6 139],[  7.85964912 132.14035088] ; [  8.14035088 136.85964912],0
p3,1,0.272231,1.205469,[54 84] ; [48 98],[49.56338028 88.43661972] ; [52.43661972 93.56338028],0
p11,1,0.362189,0.830289,[100  40] ; [97 49],[96.43356643 43.56643357] ; [100.56643357  45.43356643],0
b2,1,0.377837,0.777728,[36 50] ; [30 55],[33.19298246 52.80701754] ; [32.80701754 52.19298246],0
b3,1,0.377837,0.777728,[36 50] ; [30 55],[33.19298246 52.80701754] ; [32.80701754 52.19298246],0
p2,1,0.471164,0.519246,[99 39] ; [99 47],[96.21126761 41.78873239] ; [101.78873239  44.21126761],0
n1,1,0.472185,0.516857,[12 26] ; [18 28],[13.57142857 24.42857143] ; [16.42857143 29.57142857],0
n5,1,0.526612,0.400925,[90 49] ; [88 56],[87.42756184 51.57243816] ; [90.57243816 53.42756184],0
u2,1,0.530189,0.39403,[16 16] ; [29 38],[14.54545455 17.45454545] ; [30.45454545 36.54545455],0
a8,1,0.700033,0.148437,[ 10 113] ; [ 13 124],[ 10.88076923 112.11923077] ; [ 12.11923077 124.88076923],0
b5,1,0.759551,0.093679,[79 61] ; [85 61],[80.27972028 59.72027972] ; [83.72027972 62.27972028],0
s3,1,0.848275,0.036603,[ 22 117] ; [ 24 120],[ 22.59363958 116.40636042] ; [ 23.40636042 120.59363958],0
