Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.8e-05,16.154873,[6 8] ; [93 14],[11.45454545  2.54545455] ; [87.54545455 19.45454545],1
s4,1,0.667793,0.184195,[ 4 10] ; [25 82],[ 3.3553719 10.6446281] ; [25.6446281 81.3553719],0
a1,1,0.688916,0.160261,[ 1 13] ; [  5 102],[ 0.69421488 13.30578512] ; [  5.30578512 101.69421488],0
d2,1,0.734761,0.114785,[8 6] ; [56 51],[7.40495868 6.59504132] ; [56.59504132 50.40495868],0
p3,1,0.778271,0.079283,[5 9] ; [42 64],[5.48333333 8.51666667] ; [41.51666667 64.48333333],0
s8,1,0.784683,0.07465,[6 8] ; [50 57],[6.47933884 7.52066116] ; [49.52066116 57.47933884],0
s1,1,0.823973,0.049478,[ 1 13] ; [  6 100],[ 0.81666667 13.18333333] ; [ 6.18333333 99.81666667],0
p1,1,0.863848,0.029405,[ 1 13] ; [ 9 97],[ 1.16666667 12.83333333] ; [ 8.83333333 97.16666667],0
u3,1,0.870756,0.026471,[1 1] ; [19 15],[1.11111111 0.88888889] ; [18.88888889 15.11111111],0
u2,1,0.905841,0.013992,[1 1] ; [16 19],[0.91891892 1.08108108] ; [16.08108108 18.91891892],0
v3,1,0.937288,0.00619,[5 9] ; [39 67],[5.13333333 8.86666667] ; [38.86666667 67.13333333],0
d1,1,0.954481,0.003258,[8 6] ; [62 45],[8.09917355 5.90082645] ; [61.90082645 45.09917355],0
r1,1,0.995437,3.3e-05,[11  3] ; [84 23],[10.99173554  3.00826446] ; [84.00826446 22.99173554],0
