Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.006663,7.361685,[13 11] ; [21 63],[ 7.55555556 16.44444444] ; [26.44444444 57.55555556],0
n1,1,0.444284,0.585193,[3 4] ; [ 9 23],[2.15384615 4.84615385] ; [ 9.84615385 22.15384615],0
r4,1,0.45464,0.559059,[13 12] ; [37 48],[11.36363636 13.63636364] ; [38.63636364 46.36363636],0
s3,1,0.474563,0.511332,[ 7 18] ; [30 54],[ 8.48623853 16.51376147] ; [28.51376147 55.48623853],0
u3,1,0.488464,0.479907,[2 5] ; [17 23],[2.82978723 4.17021277] ; [16.17021277 23.82978723],0
s7,1,0.48966,0.477273,[ 8 17] ; [20 60],[ 6.66666667 18.33333333] ; [21.33333333 58.66666667],0
p8,1,0.494188,0.467396,[ 6 19] ; [15 69],[ 4.81651376 20.18348624] ; [16.18348624 67.81651376],0
b1,1,0.502274,0.450128,[ 9 16] ; [37 48],[10.45454545 14.54545455] ; [35.54545455 49.45454545],0
s6,1,0.56733,0.32717,[10 14] ; [30 55],[ 8.80733945 15.19266055] ; [31.19266055 53.80733945],0
a5,1,0.663823,0.188913,[12 13] ; [45 40],[12.95454545 12.04545455] ; [44.04545455 40.95454545],0
p12,1,0.664013,0.188685,[ 1 24] ; [ 2 82],[ 0.68807339 24.31192661] ; [ 2.31192661 81.68807339],0
d2,1,0.683193,0.166554,[12 13] ; [36 47],[11.11111111 13.88888889] ; [36.88888889 46.11111111],0
a8,1,0.683649,0.166048,[ 2 22] ; [ 9 71],[ 2.53846154 21.46153846] ; [ 8.46153846 71.53846154],0
p5,1,0.707106,0.141184,[ 1 24] ; [ 5 79],[ 1.37614679 23.62385321] ; [ 4.62385321 79.37614679],0
p10,1,0.787207,0.072867,[14 11] ; [49 34],[14.58333333 10.41666667] ; [48.41666667 34.58333333],0
u2,1,0.787942,0.072352,[3 4] ; [15 25],[2.68085106 4.31914894] ; [15.31914894 24.68085106],0
r3,1,0.825825,0.048426,[19  6] ; [62 22],[18.57798165  6.42201835] ; [62.42201835 21.57798165],0
b5,1,0.831431,0.045312,[15 10] ; [53 32],[15.45454545  9.54545455] ; [52.54545455 32.45454545],0
s1,1,0.883426,0.0215,[ 1 23] ; [ 3 82],[ 0.88073394 23.11926606] ; [ 3.11926606 81.88073394],0
d1,1,0.916241,0.011061,[10 15] ; [35 50],[10.22727273 14.77272727] ; [34.77272727 50.22727273],0
p11,1,0.916241,0.011061,[15 10] ; [50 35],[14.77272727 10.22727273] ; [50.22727273 34.77272727],0
v4,1,0.925996,0.008627,[18  7] ; [62 23],[18.18181818  6.81818182] ; [61.81818182 23.18181818],0
p9,1,0.968479,0.001562,[17  7] ; [57 23],[17.07692308  6.92307692] ; [56.92307692 23.07692308],0
a4,1,0.979128,0.000684,[ 9 16] ; [30 54],[ 8.94495413 16.05504587] ; [30.05504587 53.94495413],0
n6,1,0.98166,0.000528,[18  7] ; [61 24],[17.95454545  7.04545455] ; [61.04545455 23.95454545],0
