Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9e-06,19.770453,[32 72] ; [18  4],[41.26984127 62.73015873] ; [ 8.73015873 13.26984127],1
u1,1,0.678258,0.172094,[11 93] ; [ 3 19],[11.55555556 92.44444444] ; [ 2.44444444 19.55555556],0
n4,1,0.700149,0.148317,[66 38] ; [13  9],[65.20634921 38.79365079] ; [13.79365079  8.20634921],0
p4,1,0.728265,0.120711,[24 77] ; [ 6 16],[24.63414634 76.36585366] ; [ 5.36585366 16.63414634],0
b1,1,0.742567,0.107883,[56 48] ; [11 11],[55.3015873 48.6984127] ; [11.6984127 10.3015873],0
v3,1,0.803747,0.061753,[27 72] ; [ 6 14],[27.45378151 71.54621849] ; [ 5.54621849 14.45378151],0
p3,1,0.823928,0.049504,[26 78] ; [ 6 16],[26.41269841 77.58730159] ; [ 5.58730159 16.41269841],0
a3,1,0.828719,0.046805,[63 40] ; [14  8],[63.448 39.552] ; [13.552  8.448],0
b3,1,0.829896,0.046154,[22 43] ; [4 9],[21.66666667 43.33333333] ; [4.33333333 8.66666667],0
b2,1,0.829896,0.046154,[22 43] ; [4 9],[21.66666667 43.33333333] ; [4.33333333 8.66666667],0
r1,1,0.83059,0.045772,[64 40] ; [13  9],[63.55555556 40.44444444] ; [13.44444444  8.55555556],0
u2,1,0.89719,0.016696,[19 21] ; [4 4],[19.16666667 20.83333333] ; [3.83333333 4.16666667],0
d5,1,0.91395,0.011677,[69 34] ; [15  7],[69.216 33.784] ; [14.784  7.216],0
d4,1,0.918517,0.010466,[76 27] ; [16  6],[75.808 27.192] ; [16.192  5.808],0
a1,1,0.93931,0.005797,[10 94] ; [ 2 20],[ 9.9047619 94.0952381] ; [ 2.0952381 19.9047619],0
p5,1,0.950939,0.003786,[ 5 98] ; [ 1 21],[ 4.944 98.056] ; [ 1.056 20.944],0
a5,1,0.963683,0.002073,[62 42] ; [13  9],[61.9047619 42.0952381] ; [13.0952381  8.9047619],0
a7,1,0.969823,0.001431,[61 43] ; [13  9],[61.07936508 42.92063492] ; [12.92063492  9.07936508],0
