Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,55.613763,[92  7] ; [ 9 22],[76.91538462 22.08461538] ; [24.08461538  6.91538462],1
b1,1,0.415904,0.661861,[40 59] ; [10 21],[38.07692308 60.92307692] ; [11.92307692 19.07692308],0
n1,1,0.418796,0.65369,[ 7 23] ; [3 5],[ 7.89473684 22.10526316] ; [2.10526316 5.89473684],0
v1,1,0.422101,0.644459,[46 52] ; [12 19],[44.0620155 53.9379845] ; [13.9379845 17.0620155],0
p10,1,0.427816,0.628746,[82 16] ; [24  7],[80.52713178 17.47286822] ; [25.47286822  5.52713178],0
p11,1,0.44285,0.588887,[74 25] ; [21 10],[72.34615385 26.65384615] ; [22.65384615  8.34615385],0
u2,1,0.446805,0.578743,[13 13] ; [4 7],[11.94594595 14.05405405] ; [5.05405405 5.94594595],0
n2,1,0.504254,0.445972,[23  7] ; [7 1],[23.68421053  6.31578947] ; [6.31578947 1.68421053],0
p4,1,0.507542,0.439131,[64 35] ; [18 13],[62.44615385 36.55384615] ; [19.55384615 11.44615385],0
p6,1,0.515794,0.422295,[44 53] ; [12 19],[42.4375 54.5625] ; [13.5625 17.4375],0
p3,1,0.523704,0.406593,[51 48] ; [18 13],[52.54615385 46.45384615] ; [16.45384615 14.54615385],0
r1,1,0.591815,0.287518,[78 21] ; [23  8],[76.91538462 22.08461538] ; [24.08461538  6.91538462],0
p5,1,0.64496,0.212313,[ 9 90] ; [ 2 29],[ 8.37692308 90.62307692] ; [ 2.62307692 28.37692308],0
p1,1,0.660505,0.192911,[10 89] ; [ 4 27],[10.66153846 88.33846154] ; [ 3.33846154 27.66153846],0
a5,1,0.70735,0.140938,[70 29] ; [23  8],[70.82307692 28.17692308] ; [22.17692308  8.82307692],0
p7,1,0.708534,0.139746,[64 31] ; [22  9],[64.84126984 30.15873016] ; [21.15873016  9.84126984],0
n4,1,0.734302,0.115198,[64 35] ; [19 12],[63.20769231 35.79230769] ; [19.79230769 11.20769231],0
d4,1,0.781038,0.077265,[82 17] ; [25  6],[81.48461538 17.51538462] ; [25.51538462  5.48461538],0
v3,1,0.79762,0.065755,[28 70] ; [ 9 20],[28.5511811 69.4488189] ; [ 8.4488189 20.5511811],0
v2,1,0.840947,0.040273,[44 51] ; [15 16],[44.48412698 50.51587302] ; [14.51587302 16.48412698],0
d3,1,0.872396,0.025798,[72 27] ; [23  8],[72.34615385 26.65384615] ; [22.65384615  8.34615385],0
n5,1,0.89282,0.018154,[69 30] ; [22  9],[69.3 29.7] ; [21.7  9.3],0
n6,1,0.912144,0.012174,[83 15] ; [26  5],[82.80620155 15.19379845] ; [26.19379845  4.80620155],0
p12,1,0.936989,0.00625,[ 6 93] ; [ 2 29],[ 6.09230769 92.90769231] ; [ 1.90769231 29.09230769],0
a1,1,0.956134,0.003026,[ 3 96] ; [ 1 30],[ 3.04615385 95.95384615] ; [ 0.95384615 30.04615385],0
a8,1,0.968414,0.001568,[ 3 88] ; [ 1 28],[ 3.03333333 87.96666667] ; [ 0.96666667 28.03333333],0
p8,1,0.984075,0.000398,[51 45] ; [16 14],[51.04761905 44.95238095] ; [15.95238095 14.04761905],0
