Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.6e-05,18.641304,[36 10] ; [ 6 18],[27.6 18.4] ; [14.4  9.6],1
n2,1,0.104205,2.639985,[14  2] ; [8 5],[12.13793103  3.86206897] ; [9.86206897 3.13793103],0
v4,1,0.179285,1.803543,[43  3] ; [20  4],[41.4  4.6] ; [21.6  2.4],0
d1,1,0.237854,1.39327,[20 26] ; [14 10],[22.34285714 23.65714286] ; [11.65714286 12.34285714],0
p9,1,0.276391,1.184753,[39  7] ; [17  6],[37.33333333  8.66666667] ; [18.66666667  4.33333333],0
u3,1,0.291841,1.111111,[8 4] ; [7 1],[9. 3.] ; [6. 2.],0
d4,1,0.37297,0.793747,[34 12] ; [20  4],[35.48571429 10.51428571] ; [18.51428571  5.48571429],0
a8,1,0.389843,0.739431,[ 5 39] ; [ 1 20],[ 4.06153846 39.93846154] ; [ 1.93846154 19.06153846],0
r3,1,0.396387,0.71926,[43  3] ; [21  3],[42.05714286  3.94285714] ; [21.94285714  2.05714286],0
r2,1,0.396387,0.71926,[43  3] ; [21  3],[42.05714286  3.94285714] ; [21.94285714  2.05714286],0
d3,1,0.429309,0.624691,[33 13] ; [15  9],[31.54285714 14.45714286] ; [16.45714286  7.54285714],0
b1,1,0.512977,0.427989,[21 25] ; [ 9 15],[19.71428571 26.28571429] ; [10.28571429 13.71428571],0
a3,1,0.52411,0.405797,[34 12] ; [16  8],[32.85714286 13.14285714] ; [17.14285714  6.85714286],0
p1,1,0.536662,0.381762,[ 6 39] ; [ 2 22],[ 5.2173913 39.7826087] ; [ 2.7826087 21.2173913],0
r4,1,0.554006,0.350189,[39  7] ; [19  5],[38.11428571  7.88571429] ; [19.88571429  4.11428571],0
v1,1,0.566665,0.328294,[23 22] ; [14 10],[24.13043478 20.86956522] ; [12.86956522 11.13043478],0
u2,1,0.580543,0.305357,[9 3] ; [6 1],[9.47368421 2.52631579] ; [5.52631579 1.47368421],0
v3,1,0.613571,0.255008,[15 28] ; [ 6 15],[14.109375 28.890625] ; [ 6.890625 14.109375],0
u4,1,0.634768,0.22565,[ 1 45] ; [ 1 23],[ 1.31428571 44.68571429] ; [ 0.68571429 23.31428571],0
r1,1,0.660236,0.193237,[33 13] ; [16  8],[32.2 13.8] ; [16.8  7.2],0
v2,1,0.678378,0.171958,[25 20] ; [10 10],[24.23076923 20.76923077] ; [10.76923077  9.23076923],0
d2,1,0.729419,0.119645,[21 25] ; [12 12],[21.68571429 24.31428571] ; [11.31428571 12.68571429],0
n1,1,0.742787,0.107692,[6 9] ; [6 7],[6.42857143 8.57142857] ; [5.57142857 7.42857143],0
a7,1,0.75778,0.095109,[36 10] ; [18  6],[35.48571429 10.51428571] ; [18.51428571  5.48571429],0
s2,1,0.75778,0.095109,[27 19] ; [15  9],[27.6 18.4] ; [14.4  9.6],0
a2,1,0.77085,0.084835,[11 35] ; [ 5 19],[10.51428571 35.48571429] ; [ 5.48571429 18.51428571],0
s8,1,0.821807,0.050725,[30 16] ; [15  9],[29.57142857 16.42857143] ; [15.42857143  8.57142857],0
a6,1,0.821807,0.050725,[30 16] ; [15  9],[29.57142857 16.42857143] ; [15.42857143  8.57142857],0
s5,1,0.839568,0.040984,[18 26] ; [10 13],[18.3880597 25.6119403] ; [ 9.6119403 13.3880597],0
b5,1,0.85065,0.035453,[26 20] ; [13 11],[25.62857143 20.37142857] ; [13.37142857 10.62857143],0
s6,1,0.899809,0.015851,[37  9] ; [19  5],[36.8  9.2] ; [19.2  4.8],0
a4,1,0.964371,0.001995,[17 29] ; [ 9 15],[17.08571429 28.91428571] ; [ 8.91428571 15.08571429],0
s3,1,0.964371,0.001995,[29 17] ; [15  9],[28.91428571 17.08571429] ; [15.08571429  8.91428571],0
