Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001005,10.818987,[ 3 39] ; [10 15],[ 8.14925373 33.85074627] ; [ 4.85074627 20.14925373],0
s7,1,0.674584,0.176286,[ 9 31] ; [ 6 16],[ 9.67741935 30.32258065] ; [ 5.32258065 16.67741935],0
b1,1,0.675568,0.175158,[23 19] ; [15 10],[23.82089552 18.17910448] ; [14.17910448 10.82089552],0
a4,1,0.678651,0.171648,[14 27] ; [ 7 17],[13.24615385 27.75384615] ; [ 7.75384615 16.24615385],0
p4,1,0.685523,0.163975,[12 30] ; [ 8 16],[12.72727273 29.27272727] ; [ 7.27272727 16.72727273],0
p12,1,0.706445,0.141853,[ 1 41] ; [ 1 24],[ 1.25373134 40.74626866] ; [ 0.74626866 24.25373134],0
s4,1,0.71751,0.130891,[10 32] ; [ 5 20],[ 9.40298507 32.59701493] ; [ 5.59701493 19.40298507],0
s5,1,0.7197,0.12878,[ 8 33] ; [ 4 21],[ 7.45454545 33.54545455] ; [ 4.54545455 20.45454545],0
b5,1,0.728667,0.12034,[20 22] ; [13 12],[20.68656716 21.31343284] ; [12.31343284 12.68656716],0
d5,1,0.773853,0.082564,[22 20] ; [14 11],[22.56716418 19.43283582] ; [13.43283582 11.56716418],0
p2,1,0.826428,0.048086,[19 23] ; [12 13],[19.43283582 22.56716418] ; [11.56716418 13.43283582],0
p7,1,0.830407,0.045873,[13 28] ; [ 7 17],[12.61538462 28.38461538] ; [ 7.38461538 16.61538462],0
a2,1,0.832683,0.044632,[ 4 38] ; [ 2 23],[ 3.76119403 38.23880597] ; [ 2.23880597 22.76119403],0
s2,1,0.842045,0.039712,[11 31] ; [ 6 19],[10.65671642 31.34328358] ; [ 6.34328358 18.65671642],0
p9,1,0.865892,0.02852,[18 21] ; [11 14],[17.671875 21.328125] ; [11.328125 13.671875],0
a5,1,0.874167,0.02508,[21 21] ; [13 12],[21.31343284 20.68656716] ; [12.68656716 12.31343284],0
p6,1,0.909649,0.012878,[ 7 34] ; [ 4 21],[ 6.83333333 34.16666667] ; [ 4.16666667 20.83333333],0
n5,1,0.928762,0.007993,[29 13] ; [17  8],[28.8358209 13.1641791] ; [17.1641791  7.8358209],0
