Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,96.670593,[167   6] ; [65 71],[129.88996764  43.11003236] ; [102.11003236  33.88996764],1
s8,1,0.632206,0.229082,[ 43 128] ; [ 31 105],[ 41.21824104 129.78175896] ; [ 32.78175896 103.21824104],0
p12,1,0.641941,0.216212,[  7 165] ; [  7 128],[  7.84364821 164.15635179] ; [  6.15635179 128.84364821],0
b3,1,0.657754,0.196264,[38 66] ; [25 50],[36.60335196 67.39664804] ; [26.39664804 48.60335196],0
b2,1,0.657754,0.196264,[38 66] ; [25 50],[36.60335196 67.39664804] ; [26.39664804 48.60335196],0
a8,1,0.717177,0.131213,[ 20 124] ; [ 16 113],[ 18.98901099 125.01098901] ; [ 17.01098901 111.98901099],0
s7,1,0.78834,0.072074,[ 43 118] ; [36 92],[ 44.01038062 116.98961938] ; [34.98961938 93.01038062],0
p2,1,0.818052,0.052923,[135  37] ; [109  28],[135.81877023  36.18122977] ; [108.18122977  28.81877023],0
p6,1,0.842746,0.039356,[ 54 116] ; [44 90],[ 54.80263158 115.19736842] ; [43.19736842 90.80263158],0
p10,1,0.914099,0.011636,[131  41] ; [102  31],[131.39672131  40.60327869] ; [101.60327869  31.39672131],0
p9,1,0.921738,0.009652,[134  36] ; [105  29],[133.65131579  36.34868421] ; [105.34868421  28.65131579],0
n2,1,0.924113,0.009073,[30 15] ; [21 11],[29.80519481 15.19480519] ; [21.19480519 10.80519481],0
s5,1,0.974264,0.001041,[ 34 136] ; [ 27 107],[ 34.11184211 135.88815789] ; [ 26.88815789 107.11184211],0
