Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,22.022217,[85 93] ; [55 13],[101.30081301  76.69918699] ; [38.69918699 29.30081301],1
a2,1,0.108141,2.581183,[ 29 151] ; [17 51],[ 33.38709677 146.61290323] ; [12.61290323 55.38709677],0
p9,1,0.108301,2.578846,[129  45] ; [57 11],[133.73553719  40.26446281] ; [52.26446281 15.73553719],0
d3,1,0.164616,1.931303,[109  71] ; [47 20],[113.68421053  66.31578947] ; [42.31578947 24.68421053],0
p1,1,0.192804,1.696058,[ 12 167] ; [ 8 60],[ 14.49392713 164.50607287] ; [ 5.50607287 62.49392713],0
r1,1,0.200854,1.636153,[122  57] ; [52 16],[126.09716599  52.90283401] ; [47.90283401 20.09716599],0
a5,1,0.225223,1.470778,[115  65] ; [49 19],[119.03225806  60.96774194] ; [44.96774194 23.03225806],0
s2,1,0.229775,1.442252,[ 30 148] ; [16 52],[ 33.28455285 144.71544715] ; [12.71544715 55.28455285],0
a4,1,0.313979,1.013863,[ 69 110] ; [31 37],[ 72.46963563 106.53036437] ; [27.53036437 40.46963563],0
a6,1,0.361773,0.831731,[116  64] ; [48 20],[119.03225806  60.96774194] ; [44.96774194 23.03225806],0
d1,1,0.365061,0.820409,[97 83] ; [41 27],[100.16129032  79.83870968] ; [37.83870968 30.16129032],0
v2,1,0.393787,0.727216,[90 85] ; [38 28],[92.94605809 82.05394191] ; [35.05394191 30.94605809],0
n3,1,0.399859,0.70875,[33 15] ; [12  3],[34.28571429 13.71428571] ; [10.71428571  4.28571429],0
n5,1,0.433342,0.613849,[128  51] ; [52 16],[130.44534413  48.55465587] ; [49.55465587 18.44534413],0
s3,1,0.480256,0.498283,[ 42 136] ; [19 49],[ 44.13821138 133.86178862] ; [16.86178862 51.13821138],0
d4,1,0.494601,0.466501,[139  40] ; [50 18],[136.96761134  42.03238866] ; [52.03238866 15.96761134],0
s5,1,0.511817,0.430351,[ 23 152] ; [11 56],[ 24.58677686 150.41322314] ; [ 9.41322314 57.58677686],0
b4,1,0.512406,0.429151,[101  79] ; [35 33],[98.70967742 81.29032258] ; [37.29032258 30.70967742],0
n1,1,0.530335,0.39375,[15 33] ; [6 9],[16. 32.] ; [ 5. 10.],0
p10,1,0.691757,0.15719,[131  46] ; [52 16],[132.20816327  44.79183673] ; [50.79183673 17.20816327],0
u3,1,0.707518,0.140769,[29 40] ; [8 9],[29.68604651 39.31395349] ; [7.31395349 9.68604651],0
a8,1,0.733539,0.115887,[ 19 144] ; [ 8 52],[ 19.73542601 143.26457399] ; [ 7.26457399 52.73542601],0
u2,1,0.742794,0.107686,[29 39] ; [8 9],[29.6 38.4] ; [7.4 9.6],0
r3,1,0.782808,0.07599,[163  15] ; [63  5],[163.52845528  14.47154472] ; [62.47154472  5.52845528],0
b5,1,0.799177,0.064725,[100  80] ; [39 29],[100.88709677  79.11290323] ; [38.11290323 29.88709677],0
p11,1,0.840067,0.040727,[145  35] ; [54 14],[144.43548387  35.56451613] ; [54.56451613 13.43548387],0
n2,1,0.851596,0.035,[34 14] ; [11  4],[34.28571429 13.71428571] ; [10.71428571  4.28571429],0
d5,1,0.904692,0.014337,[133  47] ; [49 18],[132.63157895  47.36842105] ; [49.36842105 17.63157895],0
b1,1,0.904754,0.014318,[ 65 115] ; [24 44],[ 64.59677419 115.40322581] ; [24.40322581 43.59677419],0
s4,1,0.910654,0.012592,[ 14 166] ; [ 5 63],[ 13.79032258 166.20967742] ; [ 5.20967742 62.79032258],0
d2,1,0.91817,0.010555,[82 95] ; [32 36],[82.35918367 94.64081633] ; [31.64081633 36.35918367],0
s1,1,0.923206,0.009292,[  3 177] ; [ 1 66],[  2.91497976 177.08502024] ; [ 1.08502024 65.91497976],0
p5,1,0.943997,0.004935,[ 10 167] ; [ 4 64],[ 10.11428571 166.88571429] ; [ 3.88571429 64.11428571],0
a1,1,0.944741,0.004804,[  5 175] ; [ 2 66],[  5.08064516 174.91935484] ; [ 1.91935484 66.08064516],0
