Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,35.224551,[82 11] ; [119 106],[58.78301887 34.21698113] ; [142.21698113  82.78301887],1
b4,1,0.521381,0.411162,[54 42] ; [137  91],[56.59259259 39.40740741] ; [134.40740741  93.59259259],0
n2,1,0.680873,0.169145,[15  7] ; [45 26],[14.19354839  7.80645161] ; [45.80645161 25.19354839],0
r4,1,0.752652,0.099316,[89  7] ; [209  19],[88.2962963  7.7037037] ; [209.7037037  18.2962963],0
s1,1,0.77894,0.078793,[ 4 92] ; [ 11 214],[ 4.48598131 91.51401869] ; [ 10.51401869 214.48598131],0
a1,1,0.86173,0.030336,[ 3 93] ; [  8 220],[ 3.25925926 92.74074074] ; [  7.74074074 220.25925926],0
u3,1,0.903945,0.014564,[17 13] ; [40 29],[17.27272727 12.72727273] ; [39.72727273 29.27272727],0
a3,1,0.941508,0.005384,[66 30] ; [157  70],[66.27863777 29.72136223] ; [156.72136223  70.27863777],0
v4,1,0.959873,0.002531,[89  6] ; [213  14],[89.09937888  5.90062112] ; [212.90062112  14.09937888],0
d1,1,0.97819,0.000747,[55 41] ; [131  97],[55.11111111 40.88888889] ; [130.88888889  97.11111111],0
a8,1,0.978477,0.000728,[10 74] ; [ 25 187],[ 9.93243243 74.06756757] ; [ 25.06756757 186.93243243],0
a6,1,0.981336,0.000547,[65 31] ; [154  73],[65.08978328 30.91021672] ; [153.91021672  73.08978328],0
