Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,1e-06,23.907556,[29  1] ; [21 29],[18.75 11.25] ; [31.25 18.75],1
p11,1,0.447789,0.576243,[20 12] ; [27 23],[18.34146341 13.65853659] ; [28.65853659 21.34146341],0
p2,1,0.467671,0.527473,[21  9] ; [31 19],[19.5 10.5] ; [32.5 17.5],0
p3,1,0.475608,0.508916,[ 9 22] ; [11 39],[ 7.65432099 23.34567901] ; [12.34567901 37.65432099],0
a1,1,0.553306,0.351429,[ 2 30] ; [ 5 45],[ 2.73170732 29.26829268] ; [ 4.26829268 45.73170732],0
p1,1,0.644516,0.212885,[ 2 30] ; [ 2 48],[ 1.56097561 30.43902439] ; [ 2.43902439 47.56097561],0
p6,1,0.645143,0.212078,[ 8 21] ; [11 37],[ 7.15584416 21.84415584] ; [11.84415584 36.15584416],0
n2,1,0.659658,0.193939,[7 3] ; [17  5],[7.5 2.5] ; [16.5  5.5],0
p7,1,0.685655,0.16383,[18 12] ; [26 21],[17.14285714 12.85714286] ; [26.85714286 20.14285714],0
n1,1,0.690328,0.15873,[4 5] ; [11 10],[4.5 4.5] ; [10.5 10.5],0
p9,1,0.719172,0.129287,[23  9] ; [32 15],[22.27848101  9.72151899] ; [32.72151899 14.27848101],0
a6,1,0.778679,0.078984,[22  9] ; [34 16],[21.43209877  9.56790123] ; [34.56790123 15.43209877],0
s7,1,0.817023,0.053535,[10 21] ; [14 33],[ 9.53846154 21.46153846] ; [14.46153846 32.53846154],0
p8,1,0.87004,0.026767,[10 21] ; [16 31],[10.33333333 20.66666667] ; [15.66666667 31.33333333],0
b3,1,0.90005,0.015775,[ 6 15] ; [ 7 19],[ 5.80851064 15.19148936] ; [ 7.19148936 18.80851064],0
b2,1,0.90005,0.015775,[ 6 15] ; [ 7 19],[ 5.80851064 15.19148936] ; [ 7.19148936 18.80851064],0
