Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,7.4e-05,15.714386,[60 63] ; [ 9 44],[48.22159091 74.77840909] ; [20.77840909 32.22159091],1
s6,1,0.574114,0.315848,[79 42] ; [31 20],[77.38372093 43.61627907] ; [32.61627907 18.38372093],0
a1,1,0.596264,0.280668,[  7 116] ; [ 2 51],[  6.28977273 116.71022727] ; [ 2.71022727 50.28977273],0
p12,1,0.598501,0.277262,[  7 114] ; [ 2 50],[  6.29479769 114.70520231] ; [ 2.70520231 49.29479769],0
u2,1,0.626269,0.237154,[13 10] ; [14  8],[13.8  9.2] ; [13.2  8.8],0
a7,1,0.636676,0.223116,[76 46] ; [35 18],[77.38285714 44.61714286] ; [33.61714286 19.38285714],0
u3,1,0.654211,0.200632,[13 10] ; [12 12],[12.23404255 10.76595745] ; [12.76595745 11.23404255],0
p9,1,0.675866,0.174817,[96 25] ; [39 12],[94.97093023 26.02906977] ; [40.02906977 10.97093023],0
n2,1,0.687073,0.162273,[28  7] ; [12  4],[27.45098039  7.54901961] ; [12.54901961  3.45098039],0
b4,1,0.734469,0.115048,[73 50] ; [30 23],[71.98295455 51.01704545] ; [31.01704545 21.98295455],0
r2,1,0.749365,0.102066,[115   6] ; [50  2],[115.40462428   5.59537572] ; [49.59537572  2.40462428],0
p1,1,0.776256,0.08077,[ 10 113] ; [ 5 48],[ 10.48295455 112.51704545] ; [ 4.51704545 48.48295455],0
s4,1,0.970345,0.001382,[ 18 103] ; [ 8 45],[ 18.08045977 102.91954023] ; [ 7.91954023 45.08045977],0
p6,1,0.971915,0.001239,[24 95] ; [10 39],[24.08333333 94.91666667] ; [ 9.91666667 39.08333333],0
p10,1,0.986108,0.000303,[88 34] ; [36 14],[87.95348837 34.04651163] ; [36.04651163 13.95348837],0
s1,1,0.993474,6.7e-05,[  7 115] ; [ 3 49],[  7.01149425 114.98850575] ; [ 2.98850575 49.01149425],0
