Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.000537,11.980914,[ 7 78] ; [ 9 16],[12.36363636 72.63636364] ; [ 3.63636364 21.36363636],1
p2,1,0.333739,0.934334,[62 21] ; [21  4],[63.78703704 19.21296296] ; [19.21296296  5.78703704],0
a4,1,0.375425,0.785631,[32 53] ; [ 7 18],[30.13636364 54.86363636] ; [ 8.86363636 16.13636364],0
b4,1,0.381123,0.767078,[46 39] ; [16  9],[47.90909091 37.09090909] ; [14.09090909 10.90909091],0
d3,1,0.390809,0.736423,[52 31] ; [18  7],[53.7962963 29.2037037] ; [16.2037037  8.7962963],0
r3,1,0.419787,0.65091,[73 12] ; [23  2],[74.18181818 10.81818182] ; [21.81818182  3.18181818],0
b1,1,0.431807,0.617958,[45 40] ; [11 14],[43.27272727 41.72727273] ; [12.72727273 12.27272727],0
n3,1,0.453129,0.562812,[16  5] ; [7 4],[15.09375  5.90625] ; [7.90625 3.09375],0
a7,1,0.456435,0.554622,[61 24] ; [16  9],[59.5 25.5] ; [17.5  7.5],0
a6,1,0.46642,0.530446,[57 27] ; [15 10],[55.48623853 28.51376147] ; [16.51376147  8.48623853],0
r4,1,0.47632,0.507276,[62 23] ; [20  5],[63.36363636 21.63636364] ; [18.63636364  6.36363636],0
p10,1,0.476439,0.507003,[65 19] ; [21  4],[66.27522936 17.72477064] ; [19.72477064  5.27522936],0
a2,1,0.502274,0.450128,[15 70] ; [ 3 22],[13.90909091 71.09090909] ; [ 4.09090909 20.90909091],0
r2,1,0.527209,0.399769,[73 11] ; [22  2],[73.88888889 10.11111111] ; [21.11111111  2.88888889],0
d2,1,0.539176,0.377069,[28 56] ; [10 15],[29.28440367 54.71559633] ; [ 8.71559633 16.28440367],0
p1,1,0.564898,0.331294,[ 7 78] ; [ 3 22],[ 7.72727273 77.27272727] ; [ 2.27272727 22.72727273],0
v4,1,0.583986,0.299835,[74 10] ; [23  2],[74.75229358  9.24770642] ; [22.24770642  2.75229358],0
p4,1,0.585172,0.297948,[38 45] ; [13 12],[39.19444444 43.80555556] ; [11.80555556 13.19444444],0
a8,1,0.64504,0.212211,[ 9 68] ; [ 2 22],[ 8.38613861 68.61386139] ; [ 2.61386139 21.38613861],0
a1,1,0.702984,0.145386,[ 5 80] ; [ 2 23],[ 5.40909091 79.59090909] ; [ 1.59090909 23.40909091],0
p8,1,0.795357,0.067268,[36 48] ; [11 13],[36.55555556 47.44444444] ; [10.44444444 13.55555556],0
a5,1,0.798383,0.06525,[52 33] ; [16  9],[52.54545455 32.45454545] ; [15.45454545  9.54545455],0
u1,1,0.82911,0.046588,[ 8 77] ; [ 2 23],[ 7.72727273 77.27272727] ; [ 2.27272727 22.72727273],0
r1,1,0.884439,0.021125,[58 27] ; [16  8],[57.70642202 27.29357798] ; [16.29357798  7.70642202],0
n1,1,0.907226,0.013581,[10 11] ; [5 6],[ 9.84375 11.15625] ; [5.15625 5.84375],0
p7,1,0.942224,0.005253,[46 34] ; [14 10],[46.15384615 33.84615385] ; [13.84615385 10.15384615],0
n2,1,0.952475,0.003552,[17  4] ; [9 2],[17.0625  3.9375] ; [8.9375 2.0625],0
v2,1,0.996396,2e-05,[37 40] ; [12 13],[36.99019608 40.00980392] ; [12.00980392 12.99019608],0
