Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000903,11.015912,[67 90] ; [ 2 23],[59.52197802 97.47802198] ; [ 9.47802198 15.52197802],1
a4,1,0.502099,0.450497,[ 65 185] ; [13 29],[ 66.78082192 183.21917808] ; [11.21917808 30.78082192],0
p9,1,0.518598,0.41668,[188  58] ; [34  8],[189.625  56.375] ; [32.375  9.625],0
n5,1,0.51901,0.415859,[204  46] ; [36  6],[205.47945205  44.52054795] ; [34.52054795  7.47945205],0
v1,1,0.519841,0.414208,[124 121] ; [19 23],[122.07317073 122.92682927] ; [20.92682927 21.07317073],0
u3,1,0.545025,0.366306,[50 55] ; [11  9],[51.24 53.76] ; [ 9.76 10.24],0
d5,1,0.550397,0.356606,[145 108] ; [22 20],[143.22372881 109.77627119] ; [23.77627119 18.22372881],0
p1,1,0.555868,0.346909,[ 25 224] ; [ 3 39],[ 23.95876289 225.04123711] ; [ 4.04123711 37.95876289],0
a2,1,0.574338,0.315478,[ 18 235] ; [ 2 40],[ 17.15254237 235.84745763] ; [ 2.84745763 39.15254237],0
b1,1,0.576579,0.311799,[108 145] ; [16 26],[106.34576271 146.65423729] ; [17.65423729 24.34576271],0
n3,1,0.595394,0.281999,[41 16] ; [8 2],[41.68656716 15.31343284] ; [7.31343284 2.68656716],0
u1,1,0.595708,0.281517,[  8 245] ; [ 2 40],[  8.57627119 244.42372881] ; [ 1.42372881 40.57627119],0
u2,1,0.625319,0.238462,[53 51] ; [ 9 11],[52. 52.] ; [10. 10.],0
p8,1,0.640175,0.218513,[115 131] ; [18 24],[113.60416667 132.39583333] ; [19.39583333 22.60416667],0
p10,1,0.751551,0.100233,[181  64] ; [32 10],[181.82926829  63.17073171] ; [31.17073171 10.82926829],0
b4,1,0.831388,0.045335,[143 110] ; [23 19],[142.36610169 110.63389831] ; [23.63389831 18.36610169],0
n6,1,0.870529,0.026565,[205  45] ; [34  8],[204.62328767  45.37671233] ; [34.37671233  7.62328767],0
p12,1,0.872257,0.025854,[ 16 231] ; [ 3 39],[ 16.23875433 230.76124567] ; [ 2.76124567 39.23875433],0
s8,1,0.88044,0.022624,[ 87 165] ; [14 28],[ 86.57142857 165.42857143] ; [14.42857143 27.57142857],0
p11,1,0.922483,0.009468,[191  62] ; [32 10],[191.25084746  61.74915254] ; [31.74915254 10.25084746],0
r3,1,0.930159,0.007682,[226  25] ; [38  4],[226.15699659  24.84300341] ; [37.84300341  4.15699659],0
p7,1,0.943882,0.004955,[142 104] ; [24 18],[141.79166667 104.20833333] ; [24.20833333 17.79166667],0
p3,1,0.944456,0.004854,[115 136] ; [19 23],[114.79180887 136.20819113] ; [19.20819113 22.79180887],0
a1,1,0.995761,2.8e-05,[ 12 241] ; [ 2 40],[ 12.00677966 240.99322034] ; [ 1.99322034 40.00677966],0
