Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3e-05,17.389198,[14  1] ; [ 3 13],[8.22580645 6.77419355] ; [8.77419355 7.22580645],1
v2,1,0.376017,0.783683,[8 7] ; [ 6 10],[6.77419355 8.22580645] ; [7.22580645 8.77419355],0
u2,1,0.376462,0.782222,[2 4] ; [3 2],[2.72727273 3.27272727] ; [2.27272727 2.72727273],0
a8,1,0.390447,0.737548,[ 1 12] ; [ 3 13],[ 1.79310345 11.20689655] ; [ 2.20689655 13.79310345],0
a3,1,0.438578,0.6,[9 6] ; [11  4],[10.  5.] ; [10.  5.],0
n4,1,0.519043,0.415794,[11  4] ; [10  6],[10.16129032  4.83870968] ; [10.83870968  5.16129032],0
d5,1,0.519043,0.415794,[11  4] ; [10  6],[10.16129032  4.83870968] ; [10.83870968  5.16129032],0
a4,1,0.551815,0.354075,[ 5 10] ; [7 9],[5.80645161 9.19354839] ; [6.19354839 9.80645161],0
a1,1,0.583013,0.301389,[ 1 14] ; [ 2 14],[ 1.4516129 13.5483871] ; [ 1.5483871 14.4516129],0
a7,1,0.593634,0.284705,[7 8] ; [9 7],[7.74193548 7.25806452] ; [8.25806452 7.74193548],0
b5,1,0.60524,0.267165,[7 8] ; [ 6 10],[6.29032258 8.70967742] ; [6.70967742 9.29032258],0
b1,1,0.60524,0.267165,[8 7] ; [10  6],[8.70967742 6.29032258] ; [9.29032258 6.70967742],0
s5,1,0.609473,0.260943,[ 5 10] ; [ 4 12],[ 4.35483871 10.64516129] ; [ 4.64516129 11.35483871],0
u3,1,0.621014,0.244444,[2 4] ; [1 4],[1.63636364 4.36363636] ; [1.36363636 3.63636364],0
s7,1,0.685734,0.163743,[5 9] ; [ 4 10],[4.5 9.5] ; [4.5 9.5],0
n1,1,0.732678,0.116667,[2 2] ; [4 6],[1.71428571 2.28571429] ; [4.28571429 5.71428571],0
s2,1,0.778746,0.078935,[ 4 11] ; [ 5 11],[ 4.35483871 10.64516129] ; [ 4.64516129 11.35483871],0
a6,1,0.808543,0.058712,[ 5 10] ; [ 6 10],[5.32258065 9.67741935] ; [ 5.67741935 10.32258065],0
d3,1,0.832535,0.044712,[6 9] ; [7 9],[6.29032258 8.70967742] ; [6.70967742 9.29032258],0
b4,1,0.832535,0.044712,[9 6] ; [9 7],[8.70967742 6.29032258] ; [9.29032258 6.70967742],0
d2,1,0.852765,0.034444,[7 8] ; [8 8],[7.25806452 7.74193548] ; [7.74193548 8.25806452],0
b2,1,0.863926,0.029371,[4 7] ; [4 6],[4.19047619 6.80952381] ; [3.80952381 6.19047619],0
b3,1,0.863926,0.029371,[4 7] ; [4 6],[4.19047619 6.80952381] ; [3.80952381 6.19047619],0
s3,1,0.87046,0.026593,[7 8] ; [7 9],[6.77419355 8.22580645] ; [7.22580645 8.77419355],0
d4,1,0.92985,0.00775,[12  3] ; [13  3],[12.09677419  2.90322581] ; [12.90322581  3.09677419],0
s4,1,0.944857,0.004784,[ 2 13] ; [ 2 14],[ 1.93548387 13.06451613] ; [ 2.06451613 13.93548387],0
p1,1,0.962361,0.002227,[ 1 14] ; [ 1 15],[ 0.96774194 14.03225806] ; [ 1.03225806 14.96774194],0
n2,1,1.0,0.0,[2 2] ; [5 5],[2. 2.] ; [5. 5.],0
