Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,6.2e-05,16.045781,[20 25] ; [33  5],[28.73493976 16.26506024] ; [24.26506024 13.73493976],1
d2,1,0.522016,0.409909,[16 29] ; [11 27],[14.63855422 30.36144578] ; [12.36144578 25.63855422],0
a8,1,0.531273,0.391957,[ 4 39] ; [ 2 34],[ 3.26582278 39.73417722] ; [ 2.73417722 33.26582278],0
p9,1,0.598824,0.276773,[37  8] ; [32  5],[37.86585366  7.13414634] ; [31.13414634  5.86585366],0
r3,1,0.695502,0.153194,[39  6] ; [34  4],[39.57831325  5.42168675] ; [33.42168675  4.57831325],0
p4,1,0.817852,0.053042,[26 19] ; [21 17],[25.48192771 19.51807229] ; [21.51807229 16.48192771],0
n2,1,0.824653,0.049091,[10  2] ; [12  3],[9.77777778 2.22222222] ; [12.22222222  2.77777778],0
a3,1,0.845929,0.037758,[27 18] ; [22 16],[26.56626506 18.43373494] ; [22.43373494 15.56626506],0
u1,1,0.86225,0.030106,[ 2 43] ; [ 2 36],[ 2.1686747 42.8313253] ; [ 1.8313253 36.1686747],0
v3,1,0.876226,0.024259,[12 32] ; [ 9 26],[11.69620253 32.30379747] ; [ 9.30379747 25.69620253],0
p10,1,0.894189,0.017691,[37  8] ; [30  7],[36.76829268  8.23170732] ; [30.23170732  6.76829268],0
s8,1,0.919651,0.010176,[23 22] ; [19 19],[22.77108434 22.22891566] ; [19.22891566 18.77108434],0
p3,1,0.949113,0.004073,[21 24] ; [18 20],[21.14457831 23.85542169] ; [17.85542169 20.14457831],0
