Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.008602,6.903673,[ 3 22] ; [35 52],[ 8.48214286 16.51785714] ; [29.51785714 57.48214286],0
v4,1,0.548251,0.36046,[21  4] ; [77 10],[21.875  3.125] ; [76.125 10.875],0
d1,1,0.562213,0.335887,[11 14] ; [44 43],[12.27678571 12.72321429] ; [42.72321429 44.27678571],0
v2,1,0.595206,0.282287,[12 13] ; [34 47],[10.8490566 14.1509434] ; [35.1509434 45.8490566],0
d5,1,0.605635,0.266581,[18  7] ; [67 20],[18.97321429  6.02678571] ; [66.02678571 20.97321429],0
r2,1,0.615278,0.252561,[22  3] ; [73 14],[21.20535714  3.79464286] ; [73.79464286 13.20535714],0
s6,1,0.669955,0.181655,[11 14] ; [42 44],[11.93693694 13.06306306] ; [41.06306306 44.93693694],0
u1,1,0.681703,0.168215,[ 2 23] ; [ 5 82],[ 1.5625 23.4375] ; [ 5.4375 81.5625],0
p1,1,0.681703,0.168215,[ 2 23] ; [ 5 82],[ 1.5625 23.4375] ; [ 5.4375 81.5625],0
n5,1,0.690793,0.158228,[ 7 18] ; [28 59],[ 7.8125 17.1875] ; [27.1875 59.8125],0
s1,1,0.732405,0.116915,[ 1 24] ; [ 5 82],[ 1.33928571 23.66071429] ; [ 4.66071429 82.33928571],0
u2,1,0.74714,0.10395,[6 7] ; [19 18],[6.5 6.5] ; [18.5 18.5],0
v3,1,0.753604,0.098528,[ 6 18] ; [18 64],[ 5.43396226 18.56603774] ; [18.56603774 63.43396226],0
n1,1,0.761648,0.092001,[2 4] ; [14 37],[1.68421053 4.31578947] ; [14.31578947 36.68421053],0
r3,1,0.816528,0.05383,[22  3] ; [75 12],[21.65178571  3.34821429] ; [75.34821429 11.65178571],0
n2,1,0.82345,0.049778,[4 2] ; [31 19],[3.75 2.25] ; [31.25 18.75],0
v1,1,0.829565,0.046337,[ 9 16] ; [33 53],[ 9.45945946 15.54054054] ; [32.54054054 53.45945946],0
s7,1,0.835301,0.043226,[ 5 20] ; [18 64],[ 5.37383178 19.62616822] ; [17.62616822 64.37383178],0
d3,1,0.860471,0.030897,[16  9] ; [54 33],[15.625  9.375] ; [54.375 32.625],0
s8,1,0.915919,0.011146,[ 6 19] ; [20 67],[ 5.80357143 19.19642857] ; [20.19642857 66.80357143],0
d4,1,0.915919,0.011146,[19  6] ; [67 20],[19.19642857  5.80357143] ; [66.80357143 20.19642857],0
