Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6e-06,20.519836,[80  6] ; [20 14],[71.66666667 14.33333333] ; [28.33333333  5.66666667],1
r1,1,0.361382,0.833083,[52 34] ; [18 17],[49.75206612 36.24793388] ; [20.24793388 14.75206612],0
d3,1,0.366526,0.815408,[29 56] ; [15 20],[31.16666667 53.83333333] ; [12.83333333 22.16666667],0
a8,1,0.3757,0.784725,[ 8 74] ; [ 5 27],[ 9.35087719 72.64912281] ; [ 3.64912281 28.35087719],0
b1,1,0.427609,0.629308,[35 51] ; [17 18],[36.95867769 49.04132231] ; [15.04132231 19.95867769],0
n3,1,0.432768,0.615385,[18  7] ; [9 6],[16.875  8.125] ; [10.125  4.875],0
a5,1,0.446201,0.580283,[38 47] ; [13 22],[36.125 48.875] ; [14.875 20.125],0
d4,1,0.448307,0.574929,[36 49] ; [17 17],[37.85714286 47.14285714] ; [15.14285714 18.85714286],0
v3,1,0.500873,0.453087,[22 61] ; [ 7 27],[20.57264957 62.42735043] ; [ 8.42735043 25.57264957],0
u2,1,0.518148,0.417577,[22 28] ; [11 10],[23.23943662 26.76056338] ; [ 9.76056338 11.23943662],0
n5,1,0.54817,0.360606,[55 30] ; [20 14],[53.57142857 31.42857143] ; [21.42857143 12.57142857],0
a7,1,0.580265,0.305807,[46 39] ; [17 18],[44.625 40.375] ; [18.375 16.625],0
b5,1,0.629901,0.232195,[45 41] ; [20 15],[46.19834711 39.80165289] ; [18.80165289 16.19834711],0
n2,1,0.653173,0.201923,[18  8] ; [10  6],[17.33333333  8.66666667] ; [10.66666667  5.33333333],0
b2,1,0.668689,0.18314,[13 30] ; [ 5 15],[12.28571429 30.71428571] ; [ 5.71428571 14.28571429],0
b3,1,0.668689,0.18314,[13 30] ; [ 5 15],[12.28571429 30.71428571] ; [ 5.71428571 14.28571429],0
a6,1,0.826595,0.047992,[48 37] ; [19 16],[47.45833333 37.54166667] ; [19.54166667 15.45833333],0
s1,1,0.82872,0.046804,[ 4 80] ; [ 2 33],[ 4.23529412 79.76470588] ; [ 1.76470588 33.23529412],0
s4,1,0.95206,0.003614,[19 66] ; [ 8 27],[19.125 65.875] ; [ 7.875 27.125],0
u3,1,0.99398,5.7e-05,[19 31] ; [ 8 13],[19.01408451 30.98591549] ; [ 7.98591549 13.01408451],0
a3,1,1.0,0.0,[35 50] ; [14 20],[35. 50.] ; [14. 20.],0
