Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,29.333333,[21 11] ; [ 4 44],[10. 22.] ; [15. 33.],1
s5,1,0.176856,1.823849,[ 8 21] ; [ 7 40],[ 5.72368421 23.27631579] ; [ 9.27631579 37.72368421],0
r1,1,0.186861,1.742193,[10 21] ; [ 9 38],[ 7.55128205 23.44871795] ; [11.44871795 35.55128205],0
p4,1,0.19279,1.696166,[17 15] ; [18 29],[14.17721519 17.82278481] ; [20.82278481 26.17721519],0
p7,1,0.21996,1.50463,[17 13] ; [19 26],[14.4 15.6] ; [21.6 23.4],0
d1,1,0.223238,1.483432,[15 17] ; [16 32],[12.4 19.6] ; [18.6 29.4],0
n2,1,0.231998,1.428571,[12  3] ; [9 6],[10.5  4.5] ; [10.5  4.5],0
p8,1,0.236169,1.403316,[14 17] ; [15 32],[11.52564103 19.47435897] ; [17.47435897 29.52564103],0
a1,1,0.247843,1.33542,[ 2 30] ; [ 7 41],[ 3.6 28.4] ; [ 5.4 42.6],0
v2,1,0.260275,1.267292,[15 17] ; [15 29],[12.63157895 19.36842105] ; [17.36842105 26.63157895],0
b5,1,0.305427,1.050347,[17 15] ; [31 17],[19.2 12.8] ; [28.8 19.2],0
v4,1,0.3244,0.971125,[23  6] ; [31 14],[21.16216216  7.83783784] ; [32.83783784 12.16216216],0
p5,1,0.325313,0.967465,[ 6 26] ; [ 5 41],[ 4.51282051 27.48717949] ; [ 6.48717949 39.51282051],0
p12,1,0.331161,0.944351,[ 2 29] ; [ 1 46],[ 1.19230769 29.80769231] ; [ 1.80769231 45.19230769],0
d2,1,0.345779,0.888889,[14 18] ; [16 32],[12. 20.] ; [18. 30.],0
a6,1,0.36131,0.833333,[18 14] ; [22 26],[16. 16.] ; [24. 24.],0
u2,1,0.41902,0.653061,[4 3] ; [10 15],[3.0625 3.9375] ; [10.9375 14.0625],0
n6,1,0.449885,0.570941,[20  9] ; [29 19],[18.45454545 10.54545455] ; [30.54545455 17.45454545],0
p3,1,0.467865,0.527015,[13 19] ; [15 31],[11.48717949 20.51282051] ; [16.51282051 29.48717949],0
u1,1,0.518196,0.417482,[ 2 30] ; [ 5 43],[ 2.8 29.2] ; [ 4.2 43.8],0
p2,1,0.518563,0.41675,[26  6] ; [33 11],[24.84210526  7.15789474] ; [34.15789474  9.84210526],0
v1,1,0.584956,0.298291,[12 17] ; [22 24],[13.14666667 15.85333333] ; [20.85333333 25.14666667],0
d3,1,0.650203,0.205645,[18 14] ; [24 23],[17.01265823 14.98734177] ; [24.98734177 22.01265823],0
s1,1,0.675323,0.175439,[ 2 30] ; [ 2 46],[ 1.6 30.4] ; [ 2.4 45.6],0
a8,1,0.678227,0.172128,[ 2 29] ; [ 4 40],[ 2.48 28.52] ; [ 3.52 40.48],0
a4,1,0.701883,0.14652,[12 20] ; [16 32],[11.2 20.8] ; [16.8 31.2],0
n1,1,0.704786,0.143541,[ 5 10] ; [6 9],[5.5 9.5] ; [5.5 9.5],0
r3,1,0.739673,0.110414,[22  9] ; [31 15],[21.33766234  9.66233766] ; [31.66233766 14.33766234],0
a2,1,0.772657,0.083464,[ 4 28] ; [ 5 43],[ 3.6 28.4] ; [ 5.4 42.6],0
a7,1,0.783131,0.075758,[17 15] ; [27 21],[17.6 14.4] ; [26.4 21.6],0
r2,1,0.949883,0.003951,[17 10] ; [28 17],[16.875 10.125] ; [28.125 16.875],0
