Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,58.634786,[110   8] ; [ 8 19],[96.02758621 21.97241379] ; [21.97241379  5.02758621],1
u3,1,0.468717,0.525,[15 17] ; [6 4],[16. 16.] ; [5. 5.],0
n6,1,0.633621,0.227182,[102  17] ; [23  5],[101.19047619  17.80952381] ; [23.80952381  4.19047619],0
a6,1,0.637054,0.222616,[82 37] ; [18 10],[80.95238095 38.04761905] ; [19.04761905  8.95238095],0
a7,1,0.704328,0.144009,[88 31] ; [19  8],[87.21232877 31.78767123] ; [19.78767123  7.21232877],0
n4,1,0.721392,0.127163,[97 22] ; [22  6],[96.33333333 22.66666667] ; [22.66666667  5.33333333],0
b2,1,0.730953,0.118239,[33 50] ; [ 6 11],[32.37 50.63] ; [ 6.63 10.37],0
b3,1,0.730953,0.118239,[33 50] ; [ 6 11],[32.37 50.63] ; [ 6.63 10.37],0
a1,1,0.826511,0.048039,[ 10 109] ; [ 2 26],[  9.71428571 109.28571429] ; [ 2.28571429 25.71428571],0
p1,1,0.875734,0.024454,[ 14 105] ; [ 3 25],[ 13.76190476 105.23809524] ; [ 3.23809524 24.76190476],0
a2,1,0.885636,0.020687,[27 92] ; [ 6 22],[26.71428571 92.28571429] ; [ 6.28571429 21.71428571],0
d2,1,0.893136,0.018047,[60 59] ; [14 13],[60.31506849 58.68493151] ; [13.68493151 13.31506849],0
r2,1,0.916388,0.011022,[109   8] ; [25  2],[108.875   8.125] ; [25.125  1.875],0
d3,1,0.948981,0.004094,[80 39] ; [19  9],[80.14285714 38.85714286] ; [18.85714286  9.14285714],0
