Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4.2e-05,16.790949,[62 22] ; [ 5 15],[54.11538462 29.88461538] ; [12.88461538  7.11538462],1
d2,1,0.652903,0.202259,[42 43] ; [11  9],[42.9047619 42.0952381] ; [10.0952381  9.9047619],0
d1,1,0.66893,0.182856,[47 38] ; [10 10],[46.14285714 38.85714286] ; [10.85714286  9.14285714],0
s4,1,0.716302,0.132063,[20 64] ; [ 4 16],[19.38461538 64.61538462] ; [ 4.61538462 15.38461538],0
u3,1,0.7277,0.121234,[20 11] ; [5 2],[20.39473684 10.60526316] ; [4.60526316 2.39473684],0
u4,1,0.757234,0.095552,[ 3 82] ; [ 1 19],[ 3.23809524 81.76190476] ; [ 0.76190476 19.23809524],0
a3,1,0.797205,0.066032,[52 32] ; [13  7],[52.5 31.5] ; [12.5  7.5],0
p1,1,0.810623,0.057419,[10 74] ; [ 2 18],[ 9.69230769 74.30769231] ; [ 2.30769231 17.69230769],0
u2,1,0.846838,0.037309,[15 17] ; [3 4],[14.76923077 17.23076923] ; [3.23076923 3.76923077],0
d4,1,0.935257,0.006599,[63 22] ; [15  5],[63.14285714 21.85714286] ; [14.85714286  5.14285714],0
n3,1,0.93814,0.006023,[15  8] ; [6 3],[15.09375  7.90625] ; [5.90625 3.09375],0
a2,1,0.978126,0.000752,[21 64] ; [ 5 15],[21.04761905 63.95238095] ; [ 4.95238095 15.04761905],0
u1,1,1.0,0.0,[17 68] ; [ 4 16],[17. 68.] ; [ 4. 16.],0
