Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.876847,[17 70] ; [26 16],[29. 58.] ; [14. 28.],1
p12,1,0.227962,1.453535,[ 5 81] ; [ 5 37],[ 6.71875 79.28125] ; [ 3.28125 38.71875],0
p7,1,0.300399,1.07242,[25 59] ; [16 25],[27.552 56.448] ; [13.448 27.552],0
n1,1,0.341868,0.903413,[20 18] ; [4 7],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
a3,1,0.483047,0.491977,[56 29] ; [25 17],[54.21259843 30.78740157] ; [26.78740157 15.21259843],0
d1,1,0.483822,0.490236,[44 43] ; [24 18],[45.86046512 41.13953488] ; [22.13953488 19.86046512],0
s3,1,0.528681,0.396925,[41 43] ; [23 19],[42.66666667 41.33333333] ; [21.33333333 20.66666667],0
a7,1,0.594894,0.282766,[58 29] ; [26 16],[56.65116279 30.34883721] ; [27.34883721 14.65116279],0
a2,1,0.610904,0.258861,[20 67] ; [ 8 34],[18.88372093 68.11627907] ; [ 9.11627907 32.88372093],0
u2,1,0.614698,0.25339,[17 14] ; [10  6],[17.80851064 13.19148936] ; [9.19148936 6.80851064],0
s7,1,0.665271,0.187183,[34 47] ; [18 21],[35.1 45.9] ; [16.9 22.1],0
v3,1,0.673819,0.177167,[30 51] ; [16 23],[31.05 49.95] ; [14.95 24.05],0
a6,1,0.683824,0.165853,[50 36] ; [26 16],[51.0625 34.9375] ; [24.9375 17.0625],0
d4,1,0.71594,0.132416,[66 20] ; [31 11],[65.171875 20.828125] ; [31.828125 10.171875],0
u4,1,0.717198,0.131193,[ 3 84] ; [ 2 40],[ 3.37209302 83.62790698] ; [ 1.62790698 40.37209302],0
p1,1,0.717198,0.131193,[ 3 84] ; [ 2 40],[ 3.37209302 83.62790698] ; [ 1.62790698 40.37209302],0
s4,1,0.775514,0.081322,[17 69] ; [ 9 32],[17.60629921 68.39370079] ; [ 8.39370079 32.60629921],0
n2,1,0.784933,0.074472,[26 12] ; [8 3],[26.36734694 11.63265306] ; [7.63265306 3.36734694],0
a8,1,0.788812,0.071745,[10 74] ; [ 4 35],[ 9.56097561 74.43902439] ; [ 4.43902439 34.56097561],0
n4,1,0.792737,0.069042,[60 27] ; [28 14],[59.34883721 27.65116279] ; [28.65116279 13.34883721],0
v2,1,0.798536,0.065148,[42 40] ; [22 19],[42.66666667 39.33333333] ; [21.33333333 19.66666667],0
d3,1,0.812524,0.05625,[49 37] ; [23 19],[48.375 37.625] ; [23.625 18.375],0
u3,1,0.815163,0.054649,[19 12] ; [11  6],[19.375 11.625] ; [10.625  6.375],0
r2,1,0.816954,0.053576,[82  5] ; [40  2],[82.27906977  4.72093023] ; [39.72093023  2.27906977],0
n5,1,0.906038,0.013933,[55 32] ; [27 15],[55.30232558 31.69767442] ; [26.69767442 15.30232558],0
a1,1,0.958962,0.002648,[ 6 81] ; [ 3 39],[ 6.06976744 80.93023256] ; [ 2.93023256 39.06976744],0
b5,1,0.971807,0.001249,[50 37] ; [24 18],[49.90697674 37.09302326] ; [24.09302326 17.90697674],0
b4,1,0.971807,0.001249,[50 37] ; [24 18],[49.90697674 37.09302326] ; [24.09302326 17.90697674],0
a4,1,0.995301,3.5e-05,[41 45] ; [20 22],[40.984375 45.015625] ; [20.015625 21.984375],0
