Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,43.606333,[10 22] ; [90 11],[24.06015038  7.93984962] ; [75.93984962 25.06015038],1
n4,1,0.216412,1.528008,[22 10] ; [57 44],[19.0075188 12.9924812] ; [59.9924812 41.0075188],0
r2,1,0.231895,1.429199,[25  7] ; [86 13],[27.11450382  4.88549618] ; [83.88549618 15.11450382],0
s4,1,0.239553,1.383222,[ 4 28] ; [22 78],[ 6.3030303 25.6969697] ; [19.6969697 80.3030303],0
n6,1,0.271955,1.206857,[16 16] ; [61 39],[18.66666667 13.33333333] ; [58.33333333 41.66666667],0
p2,1,0.284173,1.147023,[13 19] ; [52 49],[15.63909774 16.36090226] ; [49.36090226 51.63909774],0
p10,1,0.304917,1.052565,[10 20] ; [43 55],[12.421875 17.578125] ; [40.578125 57.421875],0
v1,1,0.309911,1.031054,[ 9 23] ; [38 62],[11.39393939 20.60606061] ; [35.60606061 64.39393939],0
p5,1,0.430093,0.622573,[ 1 31] ; [ 7 94],[ 1.92481203 30.07518797] ; [ 6.07518797 94.92481203],0
s1,1,0.440876,0.594,[ 4 28] ; [ 8 92],[ 2.90909091 29.09090909] ; [ 9.09090909 90.90909091],0
p8,1,0.450498,0.569399,[ 5 27] ; [22 79],[ 6.4962406 25.5037594] ; [20.5037594 80.4962406],0
v3,1,0.543137,0.369757,[ 8 23] ; [30 65],[ 9.34920635 21.65079365] ; [28.65079365 66.34920635],0
n3,1,0.561591,0.336957,[7 9] ; [24 22],[8. 8.] ; [23. 23.],0
b1,1,0.659735,0.193845,[16 16] ; [55 46],[17.08270677 14.91729323] ; [53.91729323 47.08270677],0
n2,1,0.673043,0.178064,[11  7] ; [26 21],[10.24615385  7.75384615] ; [26.75384615 20.24615385],0
b2,1,0.695977,0.15269,[ 8 11] ; [20 34],[ 7.28767123 11.71232877] ; [20.71232877 33.28767123],0
b3,1,0.695977,0.15269,[ 8 11] ; [20 34],[ 7.28767123 11.71232877] ; [20.71232877 33.28767123],0
p12,1,0.710138,0.13814,[ 1 31] ; [ 2 98],[ 0.72727273 31.27272727] ; [ 2.27272727 97.72727273],0
n1,1,0.738188,0.111725,[ 7 11] ; [20 26],[ 7.59375 10.40625] ; [19.40625 26.59375],0
p9,1,0.986592,0.000282,[15 14] ; [50 47],[14.96031746 14.03968254] ; [50.03968254 46.96031746],0
