Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,43.220779,[53 57] ; [129  21],[77. 33.] ; [105.  45.],1
p12,1,0.061144,3.506072,[ 10 102] ; [ 26 128],[15.15789474 96.84210526] ; [ 20.84210526 133.15789474],0
a3,1,0.061339,3.500815,[83 31] ; [126  27],[89.23595506 24.76404494] ; [119.76404494  33.23595506],0
s6,1,0.061571,3.494567,[90 22] ; [133  17],[95.32824427 16.67175573] ; [127.67175573  22.32824427],0
n1,1,0.070325,3.275421,[14 19] ; [16  8],[17.36842105 15.63157895] ; [12.63157895 11.36842105],0
b2,1,0.076209,3.143943,[26 51] ; [47 53],[31.75706215 45.24293785] ; [41.24293785 58.75706215],0
b3,1,0.076209,3.143943,[26 51] ; [47 53],[31.75706215 45.24293785] ; [41.24293785 58.75706215],0
v4,1,0.116376,2.465423,[108   5] ; [151   2],[110.02631579   2.97368421] ; [148.97368421   4.02631579],0
n2,1,0.118954,2.431044,[25  8] ; [22  2],[27.21052632  5.78947368] ; [19.78947368  4.21052632],0
a7,1,0.137083,2.210406,[73 41] ; [111  42],[78.56179775 35.43820225] ; [105.43820225  47.56179775],0
a1,1,0.137878,2.201488,[  5 109] ; [ 14 140],[  8.08208955 105.91791045] ; [ 10.91791045 143.08208955],0
v2,1,0.164748,1.930096,[64 41] ; [104  46],[69.17647059 35.82352941] ; [98.82352941 51.17647059],0
a4,1,0.180363,1.794634,[60 53] ; [69 85],[54.59550562 58.40449438] ; [74.40449438 79.59550562],0
u4,1,0.208662,1.580688,[  3 111] ; [  9 145],[  5.10447761 108.89552239] ; [  6.89552239 147.10447761],0
p1,1,0.211379,1.561956,[ 10 104] ; [ 21 132],[ 13.23595506 100.76404494] ; [ 17.76404494 135.23595506],0
b1,1,0.213341,1.548608,[41 73] ; [67 87],[45.94029851 68.05970149] ; [62.05970149 91.94029851],0
r1,1,0.328173,0.956094,[91 22] ; [131  23],[93.95505618 19.04494382] ; [128.04494382  25.95505618],0
n3,1,0.371203,0.799632,[25  9] ; [15  9],[23.44827586 10.55172414] ; [16.55172414  7.44827586],0
a2,1,0.485751,0.485925,[34 80] ; [ 40 114],[31.47761194 82.52238806] ; [ 42.52238806 111.47761194],0
d5,1,0.52268,0.408602,[91 23] ; [126  26],[93. 21.] ; [124.  28.],0
s2,1,0.607595,0.263692,[96 18] ; [126  28],[94.43283582 19.56716418] ; [127.56716418  26.43283582],0
u2,1,0.630095,0.231931,[19 11] ; [16 12],[18.10344828 11.89655172] ; [16.89655172 11.10344828],0
a8,1,0.652163,0.203184,[17 90] ; [ 26 118],[18.33067729 88.66932271] ; [ 24.66932271 119.33067729],0
r2,1,0.720636,0.127885,[111   3] ; [149   3],[111.42857143   2.57142857] ; [148.57142857   3.42857143],0
b4,1,0.842509,0.039476,[68 46] ; [90 64],[67.20895522 46.79104478] ; [90.79104478 63.20895522],0
d2,1,0.871781,0.026049,[60 54] ; [79 74],[59.34831461 54.65168539] ; [79.65168539 73.34831461],0
a6,1,0.940967,0.005484,[74 40] ; [98 54],[73.71428571 40.28571429] ; [98.28571429 53.71428571],0
s4,1,0.943614,0.005003,[22 92] ; [ 29 124],[21.7752809 92.2247191] ; [ 29.2247191 123.7752809],0
r3,1,0.986163,0.000301,[111   3] ; [150   4],[111.02238806   2.97761194] ; [149.97761194   4.02238806],0
u3,1,0.992454,8.9e-05,[21 10] ; [19  9],[21.01694915  9.98305085] ; [18.98305085  9.01694915],0
u1,1,0.992664,8.5e-05,[23 91] ; [ 31 123],[22.97014925 91.02985075] ; [ 31.02985075 122.97014925],0
