Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.7e-05,17.599709,[107 301] ; [20 13],[117.49659864 290.50340136] ; [ 9.50340136 23.49659864],1
s8,1,0.130452,2.287123,[161 258] ; [18 17],[165.20044053 253.79955947] ; [13.79955947 21.20044053],0
s3,1,0.155412,2.018314,[229 185] ; [15 20],[224.97995546 189.02004454] ; [19.02004454 15.97995546],0
a2,1,0.162098,1.954547,[ 90 331] ; [ 4 31],[ 86.78508772 334.21491228] ; [ 7.21491228 27.78508772],0
s2,1,0.238947,1.386798,[198 219] ; [13 22],[194.66150442 222.33849558] ; [16.33849558 18.66150442],0
s4,1,0.25533,1.293904,[ 68 352] ; [ 3 31],[ 65.68281938 354.31718062] ; [ 5.31718062 28.68281938],0
n3,1,0.266467,1.234842,[73 23] ; [4 3],[71.76699029 24.23300971] ; [5.23300971 1.76699029],0
b1,1,0.274809,1.192582,[142 279] ; [15 20],[144.9495614 276.0504386] ; [12.0504386 22.9495614],0
a5,1,0.306255,1.046758,[303 118] ; [28  7],[305.59429825 115.40570175] ; [25.40570175  9.59429825],0
p2,1,0.334718,0.930556,[345  75] ; [31  4],[347.07692308  72.92307692] ; [28.92307692  6.07692308],0
a6,1,0.34038,0.908999,[297 124] ; [22 13],[294.51535088 126.48464912] ; [24.48464912 10.51535088],0
d5,1,0.366192,0.816547,[334  87] ; [30  5],[336.06140351  84.93859649] ; [27.93859649  7.06140351],0
n4,1,0.377185,0.779857,[308 113] ; [28  7],[310.21052632 110.78947368] ; [25.78947368  9.21052632],0
n6,1,0.432461,0.616205,[349  69] ; [31  4],[350.6401766  67.3598234] ; [29.3598234  5.6401766],0
r1,1,0.495545,0.464465,[331  87] ; [26  9],[329.41721854  88.58278146] ; [27.58278146  7.41721854],0
a3,1,0.523632,0.406734,[291 130] ; [26  9],[292.66885965 128.33114035] ; [24.33114035 10.66885965],0
a7,1,0.536562,0.381948,[309 112] ; [24 11],[307.44078947 113.55921053] ; [25.55921053  9.44078947],0
a8,1,0.54036,0.374873,[ 51 337] ; [ 3 29],[ 49.88571429 338.11428571] ; [ 4.11428571 27.88571429],0
u2,1,0.541851,0.372121,[72 56] ; [6 3],[72.87591241 55.12408759] ; [5.12408759 3.87591241],0
d3,1,0.571009,0.320996,[281 140] ; [25 10],[282.51315789 138.48684211] ; [23.48684211 11.51315789],0
n2,1,0.577778,0.309841,[77 19] ; [5 2],[76.42718447 19.57281553] ; [5.57281553 1.42718447],0
s6,1,0.580302,0.305747,[261 154] ; [23 11],[262.49443207 152.50556793] ; [21.50556793 12.49443207],0
v2,1,0.59967,0.275494,[223 176] ; [20 13],[224.4375 174.5625] ; [18.5625 14.4375],0
u1,1,0.640426,0.218185,[ 60 361] ; [ 6 29],[ 60.93421053 360.06578947] ; [ 5.06578947 29.93421053],0
n1,1,0.664383,0.188243,[33 62] ; [3 4],[33.52941176 61.47058824] ; [2.47058824 4.52941176],0
r4,1,0.706823,0.141471,[370  51] ; [30  5],[369.29824561  51.70175439] ; [30.70175439  4.29824561],0
b4,1,0.710685,0.137594,[239 182] ; [21 14],[240.04385965 180.95614035] ; [19.95614035 15.04385965],0
p11,1,0.719571,0.128904,[351  70] ; [30  5],[351.75657895  69.24342105] ; [29.24342105  5.75657895],0
n5,1,0.737402,0.112423,[311 106] ; [27  8],[311.82743363 105.17256637] ; [26.17256637  8.82743363],0
v4,1,0.811002,0.057185,[396  20] ; [33  2],[395.70731707  20.29268293] ; [33.29268293  1.70731707],0
p7,1,0.86258,0.029961,[225 188] ; [18 16],[224.51677852 188.48322148] ; [18.48322148 15.51677852],0
a4,1,0.956018,0.003042,[170 250] ; [14 21],[169.84615385 250.15384615] ; [14.15384615 20.84615385],0
u3,1,0.959667,0.002557,[70 58] ; [5 4],[70.0729927 57.9270073] ; [4.9270073 4.0729927],0
s1,1,0.988807,0.000197,[ 12 402] ; [ 1 34],[ 11.98663697 402.01336303] ; [ 1.01336303 33.98663697],0
a1,1,0.99815,5e-06,[ 12 409] ; [ 1 34],[ 12.00219298 408.99780702] ; [ 0.99780702 34.00219298],0
