Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.8e-05,17.550159,[307  99] ; [15 20],[296.44444444 109.55555556] ; [25.55555556  9.44444444],1
u4,1,0.329288,0.951696,[ 11 397] ; [ 2 34],[ 11.94594595 396.05405405] ; [ 1.05405405 34.94594595],0
r2,1,0.386815,0.748932,[382  20] ; [33  3],[380.89041096  21.10958904] ; [34.10958904  1.89041096],0
p3,1,0.41869,0.653989,[287 121] ; [23 13],[284.86486486 123.13513514] ; [25.13513514 10.86486486],0
u1,1,0.469617,0.522876,[ 92 317] ; [10 26],[ 93.74831461 315.25168539] ; [ 8.25168539 27.74831461],0
d4,1,0.47298,0.515005,[347  61] ; [29  7],[345.51351351  62.48648649] ; [30.48648649  5.51351351],0
s4,1,0.5031,0.448392,[ 63 339] ; [ 7 28],[ 64.39359268 337.60640732] ; [ 5.60640732 29.39359268],0
a1,1,0.50632,0.441665,[ 23 386] ; [ 3 33],[ 23.89662921 385.10337079] ; [ 2.10337079 33.89662921],0
s5,1,0.511409,0.431183,[153 238] ; [11 22],[151.23584906 239.76415094] ; [12.76415094 20.23584906],0
v4,1,0.518689,0.4165,[391  14] ; [34  2],[390.30612245  14.69387755] ; [34.69387755  1.30612245],0
n2,1,0.535539,0.38387,[43 18] ; [8 2],[43.81690141 17.18309859] ; [7.18309859 2.81690141],0
b2,1,0.547328,0.362126,[104 166] ; [12 15],[105.45454545 164.54545455] ; [10.54545455 16.45454545],0
b3,1,0.547328,0.362126,[104 166] ; [12 15],[105.45454545 164.54545455] ; [10.54545455 16.45454545],0
n6,1,0.586302,0.296157,[374  34] ; [33  2],[374.84424379  33.15575621] ; [32.15575621  2.84424379],0
u3,1,0.625695,0.237945,[58 43] ; [9 5],[58.84347826 42.15652174] ; [8.15652174 5.84347826],0
b1,1,0.630975,0.230741,[165 244] ; [16 20],[166.35730337 242.64269663] ; [14.64269663 21.35730337],0
s6,1,0.641265,0.217091,[297  99] ; [25 10],[295.85150812 100.14849188] ; [26.14849188  8.85150812],0
a4,1,0.675624,0.175093,[207 200] ; [17 19],[205.79683973 201.20316027] ; [18.20316027 17.79683973],0
d2,1,0.676966,0.173562,[230 178] ; [19 17],[228.81081081 179.18918919] ; [20.18918919 15.81081081],0
b4,1,0.691132,0.157863,[236 173] ; [22 14],[237.12808989 171.87191011] ; [20.87191011 15.12808989],0
n1,1,0.735358,0.114248,[27 34] ; [5 5],[27.49295775 33.50704225] ; [4.50704225 5.49295775],0
p11,1,0.838135,0.04173,[347  62] ; [31  5],[347.42022472  61.57977528] ; [30.57977528  5.42022472],0
u2,1,0.889311,0.01937,[57 45] ; [7 6],[56.76521739 45.23478261] ; [7.23478261 5.76521739],0
p12,1,0.910938,0.012512,[ 43 366] ; [ 4 32],[ 43.19775281 365.80224719] ; [ 3.80224719 32.19775281],0
s8,1,0.915139,0.011355,[210 195] ; [19 17],[210.30612245 194.69387755] ; [18.69387755 17.30612245],0
d1,1,0.944279,0.004885,[275 134] ; [24 12],[274.81123596 134.18876404] ; [24.18876404 11.81123596],0
b5,1,0.964016,0.002035,[237 172] ; [21 15],[237.12808989 171.87191011] ; [20.87191011 15.12808989],0
p5,1,0.977171,0.000819,[ 75 333] ; [ 6 27],[ 74.93877551 333.06122449] ; [ 6.06122449 26.93877551],0
s2,1,0.983753,0.000415,[229 173] ; [20 15],[229.05720824 172.94279176] ; [19.94279176 15.05720824],0
