Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000863,11.101466,[14 17] ; [63 18],[21.3125  9.6875] ; [55.6875 25.3125],1
n3,1,0.313812,1.014566,[10  7] ; [17  6],[11.475  5.525] ; [15.525  7.475],0
r1,1,0.324261,0.971683,[14 17] ; [45 36],[16.33035714 14.66964286] ; [42.66964286 38.33035714],0
a6,1,0.329326,0.951547,[20 11] ; [44 37],[17.71428571 13.28571429] ; [46.28571429 34.71428571],0
p4,1,0.389937,0.739137,[11 20] ; [36 45],[13.00892857 17.99107143] ; [33.99107143 47.00892857],0
u2,1,0.436804,0.604663,[ 8 10] ; [16 31],[ 6.64615385 11.35384615] ; [17.35384615 29.64615385],0
n2,1,0.463071,0.538462,[10  8] ; [16  8],[11.14285714  6.85714286] ; [14.85714286  9.14285714],0
b5,1,0.52635,0.401434,[14 17] ; [42 39],[15.5 15.5] ; [40.5 40.5],0
d5,1,0.537076,0.380986,[14 17] ; [31 49],[12.56756757 18.43243243] ; [32.43243243 47.56756757],0
a5,1,0.540545,0.37453,[15 16] ; [34 47],[13.5625 17.4375] ; [35.4375 45.5625],0
s4,1,0.543717,0.368694,[ 5 26] ; [17 63],[ 6.14414414 24.85585586] ; [15.85585586 64.14414414],0
a8,1,0.545429,0.365571,[ 4 26] ; [ 7 68],[ 3.14285714 26.85714286] ; [ 7.85714286 67.14285714],0
s1,1,0.547691,0.361469,[ 2 29] ; [ 3 76],[ 1.40909091 29.59090909] ; [ 3.59090909 75.40909091],0
n1,1,0.607487,0.263851,[ 7 10] ; [ 8 16],[ 6.2195122 10.7804878] ; [ 8.7804878 15.2195122],0
d3,1,0.675963,0.174706,[ 6 24] ; [19 61],[ 6.81818182 23.18181818] ; [18.18181818 61.81818182],0
n5,1,0.688255,0.160981,[21 10] ; [58 23],[21.86607143  9.13392857] ; [57.13392857 23.86607143],0
d1,1,0.694597,0.154154,[ 1 30] ; [ 4 77],[ 1.38392857 29.61607143] ; [ 3.61607143 77.38392857],0
b2,1,0.705478,0.142836,[ 4 12] ; [ 9 35],[ 3.46666667 12.53333333] ; [ 9.53333333 34.46666667],0
b3,1,0.705478,0.142836,[ 4 12] ; [ 9 35],[ 3.46666667 12.53333333] ; [ 9.53333333 34.46666667],0
v2,1,0.724051,0.124644,[ 7 20] ; [23 55],[ 7.71428571 19.28571429] ; [22.28571429 55.71428571],0
a2,1,0.750311,0.10127,[ 2 29] ; [ 4 77],[ 1.66071429 29.33928571] ; [ 4.33928571 76.66071429],0
v3,1,0.792439,0.069245,[ 6 23] ; [18 60],[ 6.5046729 22.4953271] ; [17.4953271 60.5046729],0
d2,1,0.794784,0.067654,[ 8 23] ; [19 62],[ 7.47321429 23.52678571] ; [19.52678571 61.47321429],0
u3,1,0.830516,0.045813,[ 6 12] ; [17 30],[ 6.36923077 11.63076923] ; [16.63076923 30.36923077],0
a7,1,0.878806,0.023251,[15 16] ; [40 40],[15.36036036 15.63963964] ; [39.63963964 40.36036036],0
a3,1,0.897676,0.016537,[13 17] ; [34 47],[12.7027027 17.2972973] ; [34.2972973 46.7027027],0
p1,1,0.959301,0.002604,[ 3 28] ; [ 8 72],[ 3.07207207 27.92792793] ; [ 7.92792793 72.07207207],0
