Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.3e-05,19.052744,[54  2] ; [16 11],[47.22891566  8.77108434] ; [22.77108434  4.22891566],1
b4,1,0.353485,0.860906,[37 19] ; [15 12],[35.08433735 20.91566265] ; [16.91566265 10.08433735],0
p12,1,0.389166,0.741547,[ 5 51] ; [ 1 26],[ 4.04819277 51.95180723] ; [ 1.95180723 25.04819277],0
d4,1,0.393466,0.728204,[46 10] ; [20  7],[44.53012048 11.46987952] ; [21.46987952  5.53012048],0
b5,1,0.418619,0.654188,[30 26] ; [17 10],[31.71084337 24.28915663] ; [15.28915663 11.71084337],0
d1,1,0.435887,0.607088,[30 26] ; [12 15],[28.3373494 27.6626506] ; [13.6626506 13.3373494],0
b1,1,0.443693,0.586714,[22 34] ; [13 14],[23.61445783 32.38554217] ; [11.38554217 15.61445783],0
a6,1,0.44394,0.586076,[36 20] ; [15 12],[34.40963855 21.59036145] ; [16.59036145 10.40963855],0
u3,1,0.456996,0.553243,[13  4] ; [9 5],[12.06451613  4.93548387] ; [9.93548387 4.06451613],0
s6,1,0.537627,0.379956,[41 15] ; [18  9],[39.80722892 16.19277108] ; [19.19277108  7.80722892],0
s1,1,0.593459,0.284975,[ 1 55] ; [ 1 26],[ 1.34939759 54.65060241] ; [ 0.65060241 26.34939759],0
n2,1,0.605577,0.266667,[7 3] ; [8 2],[7.5 2.5] ; [7.5 2.5],0
s5,1,0.607364,0.264031,[20 35] ; [11 15],[21.04938272 33.95061728] ; [ 9.95061728 16.04938272],0
p5,1,0.63247,0.228726,[ 6 50] ; [ 2 25],[ 5.39759036 50.60240964] ; [ 2.60240964 24.39759036],0
s7,1,0.676399,0.174208,[21 30] ; [12 14],[21.85714286 29.14285714] ; [11.14285714 14.85714286],0
n5,1,0.69893,0.149588,[18 37] ; [10 17],[18.7804878 36.2195122] ; [ 9.2195122 17.7804878],0
a1,1,0.713034,0.135265,[ 3 53] ; [ 2 25],[ 3.37349398 52.62650602] ; [ 1.62650602 25.37349398],0
s8,1,0.736827,0.112935,[25 31] ; [11 16],[24.28915663 31.71084337] ; [11.71084337 15.28915663],0
v1,1,0.750254,0.101318,[27 25] ; [13 14],[26.32911392 25.67088608] ; [13.67088608 13.32911392],0
p4,1,0.786236,0.07355,[41 15] ; [19  8],[40.48192771 15.51807229] ; [19.51807229  7.48192771],0
b3,1,0.804671,0.061161,[10 21] ; [ 4 10],[ 9.64444444 21.35555556] ; [4.35555556 9.64444444],0
b2,1,0.804671,0.061161,[10 21] ; [ 4 10],[ 9.64444444 21.35555556] ; [4.35555556 9.64444444],0
p1,1,0.818604,0.052597,[ 7 47] ; [ 4 23],[ 7.33333333 46.66666667] ; [ 3.66666667 23.33333333],0
p6,1,0.916758,0.010924,[19 34] ; [10 17],[19.2125 33.7875] ; [ 9.7875 17.2125],0
a8,1,0.935458,0.006558,[ 2 47] ; [ 1 26],[ 1.93421053 47.06578947] ; [ 1.06578947 25.93421053],0
s3,1,0.936028,0.006442,[28 27] ; [14 13],[28.17073171 26.82926829] ; [13.82926829 13.17073171],0
d2,1,0.967416,0.001669,[21 35] ; [10 17],[20.91566265 35.08433735] ; [10.08433735 16.91566265],0
