Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.578465,[ 45 116] ; [129 115],[69.17037037 91.82962963] ; [104.82962963 139.17037037],1
d4,1,0.325813,0.965467,[139  25] ; [222  30],[142.31730769  21.68269231] ; [218.68269231  33.31730769],0
b4,1,0.333144,0.936636,[92 72] ; [154  99],[96.74820144 67.25179856] ; [149.25179856 103.74820144],0
u3,1,0.334848,0.930058,[22 16] ; [30 14],[24.09756098 13.90243902] ; [27.90243902 16.09756098],0
a4,1,0.506498,0.441295,[88 76] ; [143 108],[91.28674699 72.71325301] ; [139.71325301 111.28674699],0
s7,1,0.514584,0.424735,[86 68] ; [142  98],[89.11675127 64.88324873] ; [138.88324873 101.11675127],0
b3,1,0.542677,0.3706,[38 61] ; [ 75 103],[40.38628159 58.61371841] ; [ 72.61371841 105.38628159],0
b2,1,0.542677,0.3706,[38 61] ; [ 75 103],[40.38628159 58.61371841] ; [ 72.61371841 105.38628159],0
n1,1,0.641854,0.216326,[16 26] ; [16 21],[17.01265823 24.98734177] ; [14.98734177 22.01265823],0
s3,1,0.653772,0.201178,[98 65] ; [143 104],[95.81219512 67.18780488] ; [145.18780488 101.81219512],0
a6,1,0.82593,0.048367,[117  47] ; [183  70],[117.98561151  46.01438849] ; [182.01438849  70.98561151],0
s6,1,0.841583,0.039948,[119  42] ; [184  62],[119.85995086  41.14004914] ; [183.14004914  62.85995086],0
p1,1,0.842304,0.03958,[ 16 148] ; [ 26 225],[ 16.59759036 147.40240964] ; [ 25.40240964 225.59759036],0
b1,1,0.913044,0.011925,[67 97] ; [102 151],[66.46522782 97.53477218] ; [102.53477218 150.46522782],0
a1,1,0.925536,0.008735,[ 10 154] ; [ 16 237],[ 10.22541966 153.77458034] ; [ 15.77458034 237.22541966],0
n3,1,0.952803,0.003503,[32 11] ; [27  9],[32.11392405 10.88607595] ; [26.88607595  9.11392405],0
