Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1.5e-05,18.728241,[ 65 112] ; [78 48],[83.53465347 93.46534653] ; [59.46534653 66.53465347],1
a3,1,0.155111,2.02125,[117  63] ; [93 35],[122.72727273  57.27272727] ; [87.27272727 40.72727273],0
p2,1,0.20392,1.614073,[161  18] ; [109  19],[157.4267101  21.5732899] ; [112.5732899  15.4267101],0
r3,1,0.217135,1.523203,[166  13] ; [123   5],[168.50488599  10.49511401] ; [120.49511401   7.50488599],0
a7,1,0.220791,1.499223,[128  52] ; [99 29],[132.66233766  47.33766234] ; [94.33766234 33.66233766],0
d2,1,0.224941,1.472565,[83 97] ; [68 60],[88.24675325 91.75324675] ; [62.75324675 65.24675325],0
p3,1,0.277696,1.178331,[108  71] ; [85 43],[112.53094463  66.46905537] ; [80.46905537 47.53094463],0
b5,1,0.304819,1.052991,[102  78] ; [80 48],[106.36363636  73.63636364] ; [75.63636364 52.36363636],0
p11,1,0.305291,1.05094,[139  41] ; [105  23],[142.5974026  37.4025974] ; [101.4025974  26.5974026],0
u3,1,0.351975,0.866323,[36 25] ; [24 11],[38.125 22.875] ; [21.875 13.125],0
b3,1,0.386235,0.750761,[41 73] ; [24 56],[38.19587629 75.80412371] ; [26.80412371 53.19587629],0
b2,1,0.386235,0.750761,[41 73] ; [24 56],[38.19587629 75.80412371] ; [26.80412371 53.19587629],0
s5,1,0.432702,0.61556,[ 61 112] ; [38 85],[ 57.86148649 115.13851351] ; [41.13851351 81.86148649],0
v4,1,0.443429,0.587393,[171   9] ; [118   9],[169.44625407  10.55374593] ; [119.55374593   7.44625407],0
p5,1,0.448375,0.574756,[ 23 154] ; [ 13 115],[ 20.89180328 156.10819672] ; [ 15.10819672 112.89180328],0
u4,1,0.498793,0.457504,[  3 177] ; [  1 127],[  2.33766234 177.66233766] ; [  1.66233766 126.33766234],0
s2,1,0.53002,0.394353,[96 83] ; [64 64],[93.28990228 85.71009772] ; [66.71009772 61.28990228],0
p9,1,0.534612,0.385617,[150  30] ; [110  18],[151.94805195  28.05194805] ; [108.05194805  19.94805195],0
s6,1,0.538385,0.378542,[125  51] ; [95 33],[127.36842105  48.63157895] ; [92.63157895 35.36842105],0
p6,1,0.549934,0.357436,[84 95] ; [64 63],[86.5751634 92.4248366] ; [61.4248366 65.5751634],0
a4,1,0.555286,0.347932,[82 97] ; [63 65],[84.54397394 94.45602606] ; [60.45602606 67.54397394],0
p10,1,0.567414,0.327028,[142  35] ; [106  22],[143.92131148  33.07868852] ; [104.07868852  23.92131148],0
n5,1,0.600728,0.2739,[132  47] ; [97 30],[133.95751634  45.04248366] ; [95.04248366 31.95751634],0
p8,1,0.614982,0.252984,[108  70] ; [74 54],[105.86928105  72.13071895] ; [76.13071895 51.86928105],0
n6,1,0.651763,0.203685,[153  26] ; [107  21],[151.59609121  27.40390879] ; [108.40390879  19.59609121],0
r2,1,0.65805,0.195901,[162  15] ; [118   9],[163.02631579  13.97368421] ; [116.97368421  10.02631579],0
b1,1,0.664363,0.188267,[ 79 101] ; [53 75],[ 77.14285714 102.85714286] ; [54.85714286 73.14285714],0
p7,1,0.668536,0.183319,[126  52] ; [87 40],[124.30819672  53.69180328] ; [88.69180328 38.30819672],0
a8,1,0.70385,0.144498,[ 23 146] ; [ 14 102],[ 21.94035088 147.05964912] ; [ 15.05964912 100.94035088],0
b4,1,0.715513,0.132833,[105  75] ; [72 56],[103.44155844  76.55844156] ; [73.55844156 54.44155844],0
s7,1,0.736517,0.113211,[83 87] ; [62 60],[84.41780822 85.58219178] ; [60.58219178 61.41780822],0
u2,1,0.740799,0.109426,[35 27] ; [18 16],[34.22916667 27.77083333] ; [18.77083333 15.22916667],0
s8,1,0.766404,0.088257,[ 79 101] ; [54 74],[ 77.72727273 102.27272727] ; [55.27272727 72.72727273],0
r4,1,0.771605,0.08426,[154  26] ; [111  17],[154.87012987  25.12987013] ; [110.12987013  17.87012987],0
a1,1,0.816917,0.053598,[  8 172] ; [  5 123],[  7.5974026 172.4025974] ; [  5.4025974 122.5974026],0
p12,1,0.900072,0.015768,[  9 171] ; [  6 122],[  8.76623377 171.23376623] ; [  6.23376623 121.76623377],0
n4,1,0.90553,0.014085,[136  43] ; [98 30],[136.43648208  42.56351792] ; [97.56351792 30.43648208],0
n1,1,0.914779,0.011452,[17 26] ; [ 9 13],[17.2 25.8] ; [ 8.8 13.2],0
