Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,25.092612,[  7 324] ; [14 81],[ 16.31690141 314.68309859] ; [ 4.68309859 90.31690141],1
p1,1,0.293355,1.104159,[ 21 310] ; [ 9 86],[ 23.30985915 307.69014085] ; [ 6.69014085 88.30985915],0
n2,1,0.354157,0.858506,[60 30] ; [14  4],[61.66666667 28.33333333] ; [12.33333333  5.66666667],0
v4,1,0.374188,0.789709,[310  22] ; [92  4],[311.8317757  20.1682243] ; [90.1682243  5.8317757],0
a8,1,0.428042,0.628129,[ 25 280] ; [10 82],[ 26.88916877 278.11083123] ; [ 8.11083123 83.88916877],0
p11,1,0.461797,0.541537,[248  84] ; [76 21],[250.74125874  81.25874126] ; [73.25874126 23.74125874],0
r3,1,0.485897,0.485599,[304  28] ; [90  6],[305.62616822  26.37383178] ; [88.37383178  7.62616822],0
p2,1,0.489503,0.477618,[255  73] ; [77 18],[257.43735225  70.56264775] ; [74.56264775 20.43735225],0
b4,1,0.618494,0.247989,[196 136] ; [60 37],[198.11655012 133.88344988] ; [57.88344988 39.11655012],0
v2,1,0.697293,0.151303,[156 157] ; [49 45],[157.65356265 155.34643735] ; [47.34643735 46.65356265],0
a3,1,0.713495,0.134811,[200 131] ; [60 36],[201.54566745 129.45433255] ; [58.45433255 37.54566745],0
n5,1,0.729653,0.11943,[220 109] ; [66 30],[221.39764706 107.60235294] ; [64.60235294 31.39764706],0
n1,1,0.734065,0.115412,[28 62] ; [ 6 11],[28.59813084 61.40186916] ; [ 5.40186916 11.59813084],0
a2,1,0.734818,0.114734,[ 60 272] ; [19 78],[ 61.13752914 270.86247086] ; [17.86247086 79.13752914],0
b1,1,0.760086,0.093249,[122 210] ; [34 63],[120.72727273 211.27272727] ; [35.27272727 61.72727273],0
n3,1,0.801789,0.063017,[62 27] ; [12  6],[61.55140187 27.44859813] ; [12.44859813  5.55140187],0
d3,1,0.89841,0.0163,[212 118] ; [63 34],[212.529274 117.470726] ; [62.470726 34.529274],0
n4,1,0.902344,0.015055,[224 107] ; [65 32],[223.50233645 107.49766355] ; [65.49766355 31.50233645],0
v3,1,0.962987,0.002153,[101 218] ; [30 64],[101.18401937 217.81598063] ; [29.81598063 64.18401937],0
s1,1,0.969614,0.001451,[  7 319] ; [ 2 94],[  6.95260664 319.04739336] ; [ 2.04739336 93.95260664],0
u3,1,0.982142,0.000501,[70 60] ; [20 17],[70.05988024 59.94011976] ; [19.94011976 17.05988024],0
