Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,86.173926,[226  98] ; [ 41 121],[178. 146.] ; [89. 73.],1
d4,1,0.077366,3.119384,[280  44] ; [130  32],[273.33333333  50.66666667] ; [136.66666667  25.33333333],0
v1,1,0.078479,3.096124,[193 128] ; [80 75],[184.10294118 136.89705882] ; [88.89705882 66.10294118],0
a1,1,0.10046,2.698229,[ 19 308] ; [  4 158],[ 15.3803681 311.6196319] ; [  7.6196319 154.3803681],0
d5,1,0.110004,2.554161,[280  44] ; [131  31],[274.  50.] ; [137.  25.],0
n1,1,0.120522,2.410524,[17 35] ; [23 25],[20.8 31.2] ; [19.2 28.8],0
b5,1,0.150365,2.068548,[194 133] ; [107  55],[201.28220859 125.71779141] ; [99.71779141 62.28220859],0
r4,1,0.173577,1.851776,[320   7] ; [155   7],[317.63803681   9.36196319] ; [157.36196319   4.63803681],0
n4,1,0.184736,1.759103,[268  58] ; [125  37],[262.53688525  63.46311475] ; [130.46311475  31.53688525],0
b4,1,0.198223,1.655422,[186 141] ; [102  60],[192.58895706 134.41104294] ; [95.41104294 66.58895706],0
s3,1,0.207596,1.588115,[236  87] ; [106  51],[230.1375  92.8625] ; [111.8625  45.1375],0
a4,1,0.208643,1.580815,[163 162] ; [71 90],[156.48148148 168.51851852] ; [77.51851852 83.48148148],0
a2,1,0.222244,1.489821,[ 98 229] ; [ 40 122],[ 92.28220859 234.71779141] ; [ 45.71779141 116.28220859],0
s1,1,0.240287,1.378909,[ 11 313] ; [  9 150],[ 13.41614907 310.58385093] ; [  6.58385093 152.41614907],0
s2,1,0.25534,1.29385,[220 106] ; [99 60],[214.42061856 111.57938144] ; [104.57938144  54.42061856],0
a5,1,0.259004,1.274075,[259  68] ; [121  41],[254.11042945  72.88957055] ; [125.88957055  36.11042945],0
v4,1,0.263139,1.252168,[317   8] ; [155   7],[314.98973306  10.01026694] ; [157.01026694   4.98973306],0
n6,1,0.298431,1.081191,[285  37] ; [138  24],[281.41735537  40.58264463] ; [141.58264463  20.41735537],0
v2,1,0.36772,0.811355,[192 125] ; [86 67],[187.50212766 129.49787234] ; [90.49787234 62.50212766],0
a7,1,0.39699,0.717424,[247  79] ; [117  45],[243.16393443  82.83606557] ; [120.83606557  41.16393443],0
p12,1,0.457336,0.552406,[ 33 293] ; [ 20 142],[ 35.4057377 290.5942623] ; [ 17.5942623 144.4057377],0
s4,1,0.465413,0.532846,[ 70 252] ; [ 30 129],[ 66.94386694 255.05613306] ; [ 33.05613306 125.94386694],0
d1,1,0.502911,0.448788,[208 119] ; [98 64],[204.62576687 122.37423313] ; [101.37423313  60.62576687],0
r2,1,0.532047,0.390481,[314   9] ; [159   3],[315.00824742   7.99175258] ; [157.99175258   4.00824742],0
u1,1,0.583193,0.301101,[ 80 247] ; [ 36 126],[ 77.57055215 249.42944785] ; [ 38.42944785 123.57055215],0
p1,1,0.664222,0.188436,[ 30 294] ; [ 17 145],[ 31.33333333 292.66666667] ; [ 15.66666667 146.33333333],0
n2,1,0.68949,0.159638,[41 11] ; [37 12],[40.15841584 11.84158416] ; [37.84158416 11.15841584],0
u2,1,0.711529,0.136755,[44 30] ; [32 19],[44.992 29.008] ; [31.008 19.992],0
b2,1,0.724995,0.123757,[ 79 123] ; [34 58],[ 77.63945578 124.36054422] ; [35.36054422 56.63945578],0
b3,1,0.724995,0.123757,[ 79 123] ; [34 58],[ 77.63945578 124.36054422] ; [35.36054422 56.63945578],0
n3,1,0.728982,0.120048,[39 12] ; [36 13],[38.25 12.75] ; [36.75 12.25],0
a6,1,0.729401,0.119662,[221 103] ; [113  49],[222.66666667 101.33333333] ; [111.33333333  50.66666667],0
v3,1,0.778598,0.079044,[134 183] ; [63 91],[132.5881104 184.4118896] ; [64.4118896 89.5881104],0
u3,1,0.798022,0.065489,[50 24] ; [34 18],[49.33333333 24.66666667] ; [34.66666667 17.33333333],0
d2,1,0.819844,0.051868,[166 159] ; [84 77],[167.18106996 157.81893004] ; [82.81893004 78.18106996],0
u4,1,0.834809,0.043488,[  9 318] ; [  5 157],[  9.36196319 317.63803681] ; [  4.63803681 157.36196319],0
