Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,6e-06,20.532342,[ 3 10] ; [29  3],[9.24444444 3.75555556] ; [22.75555556  9.24444444],1
a5,1,0.4379,0.601779,[11  3] ; [28  4],[11.86956522  2.13043478] ; [27.13043478  4.86956522],0
n1,1,0.464214,0.535714,[3 2] ; [4 6],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
n3,1,0.464214,0.535714,[2 3] ; [6 4],[2.66666667 2.33333333] ; [5.33333333 4.66666667],0
n6,1,0.465082,0.533635,[11  3] ; [27  4],[11.82222222  2.17777778] ; [26.17777778  4.82222222],0
a8,1,0.52382,0.406365,[ 1 13] ; [ 4 25],[ 1.62790698 12.37209302] ; [ 3.37209302 25.62790698],0
r2,1,0.538652,0.378044,[13  1] ; [31  1],[13.39130435  0.60869565] ; [30.60869565  1.39130435],0
p1,1,0.550487,0.356446,[ 2 12] ; [ 7 25],[ 2.73913043 11.26086957] ; [ 6.26086957 25.73913043],0
n2,1,0.550985,0.355556,[4 2] ; [8 2],[4.5 1.5] ; [7.5 2.5],0
b3,1,0.554628,0.349091,[3 7] ; [ 9 13],[3.75 6.25] ; [ 8.25 13.75],0
b2,1,0.554628,0.349091,[3 7] ; [ 9 13],[3.75 6.25] ; [ 8.25 13.75],0
d1,1,0.555067,0.348317,[7 7] ; [19 13],[7.91304348 6.08695652] ; [18.08695652 13.91304348],0
u2,1,0.596701,0.28,[1 4] ; [3 6],[1.42857143 3.57142857] ; [2.57142857 6.42857143],0
a1,1,0.622463,0.242422,[ 2 12] ; [ 3 29],[ 1.52173913 12.47826087] ; [ 3.47826087 28.52173913],0
d4,1,0.680519,0.169542,[12  2] ; [25  6],[11.51111111  2.48888889] ; [25.48888889  5.51111111],0
p4,1,0.682286,0.167564,[5 8] ; [14 17],[5.61363636 7.38636364] ; [13.38636364 17.61363636],0
a2,1,0.713198,0.135103,[ 2 12] ; [ 6 26],[ 2.43478261 11.56521739] ; [ 5.56521739 26.43478261],0
p5,1,0.713198,0.135103,[ 2 12] ; [ 6 26],[ 2.43478261 11.56521739] ; [ 5.56521739 26.43478261],0
a6,1,0.792616,0.069124,[8 6] ; [19 12],[8.4 5.6] ; [18.6 12.4],0
p3,1,0.792616,0.069124,[6 8] ; [12 19],[5.6 8.4] ; [12.4 18.6],0
r1,1,0.793866,0.068275,[11  3] ; [24  8],[10.65217391  3.34782609] ; [24.34782609  7.65217391],0
a4,1,0.845211,0.038116,[7 7] ; [17 15],[7.30434783 6.69565217] ; [16.69565217 15.30434783],0
d5,1,0.846038,0.037704,[10  4] ; [23  8],[10.26666667  3.73333333] ; [22.73333333  8.26666667],0
u1,1,0.868573,0.027381,[ 2 12] ; [ 4 28],[ 1.82608696 12.17391304] ; [ 4.17391304 27.82608696],0
