Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.3e-05,16.322688,[246   5] ; [67 10],[239.52134146  11.47865854] ; [73.47865854  3.52134146],1
p9,1,0.469587,0.522948,[235  17] ; [69  7],[233.56097561  18.43902439] ; [70.43902439  5.56097561],0
d1,1,0.489161,0.478371,[146 107] ; [41 36],[143.36666667 109.63333333] ; [43.63333333 33.36666667],0
s8,1,0.498681,0.457743,[104 149] ; [35 42],[106.56666667 146.43333333] ; [32.43333333 44.56666667],0
b2,1,0.566,0.329422,[64 95] ; [13 24],[62.46428571 96.53571429] ; [14.53571429 22.46428571],0
b3,1,0.566,0.329422,[64 95] ; [13 24],[62.46428571 96.53571429] ; [14.53571429 22.46428571],0
d5,1,0.582423,0.302333,[210  43] ; [61 15],[208.39817629  44.60182371] ; [62.60182371 13.39817629],0
d3,1,0.587343,0.294513,[177  76] ; [50 25],[175.0945122  77.9054878] ; [51.9054878 23.0945122],0
n2,1,0.647081,0.2096,[48 16] ; [19  8],[47.12087912 16.87912088] ; [19.87912088  7.12087912],0
a7,1,0.666558,0.185655,[180  73] ; [56 20],[181.48328267  71.51671733] ; [54.51671733 21.48328267],0
s6,1,0.680042,0.170079,[166  86] ; [52 24],[167.48780488  84.51219512] ; [50.51219512 25.48780488],0
p7,1,0.686057,0.163387,[112 135] ; [36 39],[113.52795031 133.47204969] ; [34.47204969 40.52795031],0
u1,1,0.702612,0.145769,[ 51 202] ; [14 63],[ 49.83333333 203.16666667] ; [15.16666667 61.83333333],0
a3,1,0.71758,0.130823,[186  67] ; [55 22],[184.76666667  68.23333333] ; [56.23333333 20.76666667],0
v1,1,0.735572,0.114057,[118 123] ; [36 41],[116.71069182 124.28930818] ; [37.28930818 39.71069182],0
d4,1,0.735779,0.113872,[208  45] ; [62 15],[207.  46.] ; [63. 14.],0
u3,1,0.740662,0.109545,[41 26] ; [12  9],[40.35227273 26.64772727] ; [12.64772727  8.35227273],0
n3,1,0.800061,0.064145,[49 15] ; [20  7],[48.52747253 15.47252747] ; [20.47252747  6.52747253],0
r1,1,0.833015,0.044452,[192  59] ; [58 19],[191.31097561  59.68902439] ; [58.68902439 18.31097561],0
a4,1,0.841255,0.040116,[115 138] ; [36 41],[115.76666667 137.23333333] ; [35.23333333 41.76666667],0
s7,1,0.852619,0.034513,[117 130] ; [35 37],[117.69278997 129.30721003] ; [34.30721003 37.69278997],0
v2,1,0.85341,0.03414,[133 105] ; [41 34],[132.30670927 105.69329073] ; [41.69329073 33.30670927],0
b5,1,0.949571,0.004,[162  91] ; [49 28],[161.76666667  91.23333333] ; [49.23333333 27.76666667],0
r2,1,0.955622,0.003097,[234  16] ; [71  5],[233.89570552  16.10429448] ; [71.10429448  4.89570552],0
