Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,24.461196,[ 14 305] ; [5 9],[ 18.2012012 300.7987988] ; [ 0.7987988 13.2012012],1
u3,1,0.403431,0.698077,[54 63] ; [1 3],[53.18181818 63.81818182] ; [1.81818182 2.18181818],0
a5,1,0.404374,0.69528,[193 127] ; [10  4],[194.49101796 125.50898204] ; [8.50898204 5.49101796],0
p9,1,0.428596,0.626626,[216  99] ; [11  3],[217.34042553  97.65957447] ; [9.65957447 4.34042553],0
b2,1,0.428659,0.626453,[ 49 124] ; [4 6],[ 50.10382514 122.89617486] ; [2.89617486 7.10382514],0
b3,1,0.428659,0.626453,[ 49 124] ; [4 6],[ 50.10382514 122.89617486] ; [2.89617486 7.10382514],0
v3,1,0.433709,0.61287,[ 78 235] ; [ 2 11],[ 76.80981595 236.19018405] ; [3.19018405 9.80981595],0
s4,1,0.455331,0.557348,[ 45 272] ; [ 1 13],[ 44.05438066 272.94561934] ; [ 1.94561934 12.05438066],0
n3,1,0.498661,0.457785,[65 37] ; [3 3],[64.22222222 37.77777778] ; [3.77777778 2.22222222],0
a3,1,0.507573,0.439067,[200 119] ; [10  4],[201.17117117 117.82882883] ; [8.82882883 5.17117117],0
d2,1,0.512957,0.42803,[131 187] ; [7 7],[132.18072289 185.81927711] ; [5.81927711 8.18072289],0
d3,1,0.526147,0.401827,[200 117] ; [10  4],[201.11782477 115.88217523] ; [8.88217523 5.11782477],0
a1,1,0.624518,0.239569,[ 14 306] ; [ 1 13],[ 14.37125749 305.62874251] ; [ 0.62874251 13.37125749],0
b1,1,0.630892,0.230853,[135 185] ; [5 9],[134.13173653 185.86826347] ; [5.86826347 8.13173653],0
a6,1,0.631629,0.229859,[208 111] ; [10  4],[208.83483483 110.16516517] ; [9.16516517 4.83483483],0
d5,1,0.696156,0.152502,[235  83] ; [11  3],[235.62650602  82.37349398] ; [10.37349398  3.62650602],0
p11,1,0.763155,0.090806,[218 102] ; [9 5],[217.48502994 102.51497006] ; [9.51497006 4.48502994],0
d4,1,0.771888,0.084046,[239  79] ; [11  3],[239.45783133  78.54216867] ; [10.54216867  3.45783133],0
v4,1,0.789188,0.071484,[281  38] ; [12  2],[280.68168168  38.31831832] ; [12.31831832  1.68168168],0
r1,1,0.794909,0.06757,[218 102] ; [10  4],[218.44311377 101.55688623] ; [9.55688623 4.44311377],0
r3,1,0.843635,0.038906,[280  40] ; [12  2],[279.76047904  40.23952096] ; [12.23952096  1.76047904],0
p2,1,0.894377,0.017627,[227  93] ; [9 4],[226.78678679  93.21321321] ; [9.21321321 3.78678679],0
p10,1,0.905591,0.014066,[208 108] ; [9 5],[207.79393939 108.20606061] ; [9.20606061 4.79393939],0
r4,1,0.92508,0.008843,[248  72] ; [11  3],[248.14371257  71.85628743] ; [10.85628743  3.14371257],0
r2,1,0.946064,0.004577,[272  43] ; [12  2],[271.91489362  43.08510638] ; [12.08510638  1.91489362],0
b5,1,0.960397,0.002466,[185 135] ; [8 6],[184.91017964 135.08982036] ; [8.08982036 5.91017964],0
