Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.982566,[ 6 19] ; [51 16],[15.48913043  9.51086957] ; [41.51086957 25.48913043],1
a8,1,0.517499,0.418875,[ 5 20] ; [ 8 48],[ 4.01234568 20.98765432] ; [ 8.98765432 47.01234568],0
s4,1,0.52139,0.411144,[ 5 20] ; [18 50],[ 6.1827957 18.8172043] ; [16.8172043 51.1827957],0
a4,1,0.522926,0.408118,[11 14] ; [35 33],[12.3655914 12.6344086] ; [33.6344086 34.3655914],0
p3,1,0.555687,0.347228,[12 13] ; [28 40],[10.75268817 14.24731183] ; [29.24731183 38.75268817],0
n3,1,0.571257,0.320584,[9 7] ; [15  8],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
v2,1,0.576657,0.31167,[12 13] ; [36 30],[13.18681319 11.81318681] ; [34.81318681 31.18681319],0
s6,1,0.647523,0.209037,[19  5] ; [55 11],[19.73333333  4.26666667] ; [54.26666667 11.73333333],0
r3,1,0.661881,0.191246,[22  3] ; [61  6],[22.55434783  2.44565217] ; [60.44565217  6.55434783],0
p7,1,0.668193,0.183723,[13 12] ; [31 35],[12.08791209 12.91208791] ; [31.91208791 34.08791209],0
a3,1,0.684797,0.164776,[18  7] ; [51 16],[18.75  6.25] ; [50.25 16.75],0
s1,1,0.694887,0.153846,[ 3 22] ; [ 6 59],[ 2.5 22.5] ; [ 6.5 58.5],0
a1,1,0.712471,0.135822,[ 2 23] ; [ 4 64],[ 1.61290323 23.38709677] ; [ 4.38709677 63.61290323],0
n2,1,0.724507,0.124215,[11  5] ; [17  6],[11.48717949  4.51282051] ; [16.51282051  6.48717949],0
u2,1,0.75235,0.099567,[4 3] ; [8 8],[3.65217391 3.34782609] ; [8.34782609 7.65217391],0
p1,1,0.753169,0.098887,[ 4 21] ; [ 9 58],[ 3.5326087 21.4673913] ; [ 9.4673913 57.5326087],0
d2,1,0.78242,0.076268,[13 12] ; [37 30],[13.58695652 11.41304348] ; [36.41304348 30.58695652],0
p5,1,0.813869,0.055431,[ 3 22] ; [ 7 61],[ 2.68817204 22.31182796] ; [ 7.31182796 60.68817204],0
v1,1,0.836154,0.042772,[13 12] ; [37 31],[13.44086022 11.55913978] ; [36.55913978 31.44086022],0
s5,1,0.859386,0.031384,[12 13] ; [28 33],[11.62790698 13.37209302] ; [28.37209302 32.62790698],0
p2,1,0.921063,0.00982,[19  6] ; [51 17],[18.8172043  6.1827957] ; [51.1827957 16.8172043],0
u4,1,0.930851,0.00753,[ 1 24] ; [ 3 65],[ 1.07526882 23.92473118] ; [ 2.92473118 65.07526882],0
