Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.9e-05,17.474855,[46  6] ; [5 9],[40.18181818 11.81818182] ; [10.81818182  3.18181818],1
r1,1,0.619652,0.246357,[37 15] ; [9 5],[36.24242424 15.75757576] ; [9.75757576 4.24242424],0
s3,1,0.665294,0.187156,[33 19] ; [8 6],[32.3030303 19.6969697] ; [8.6969697 5.3030303],0
b5,1,0.679583,0.170596,[27 26] ; [8 6],[27.68656716 25.31343284] ; [7.31343284 6.68656716],0
a5,1,0.691812,0.157131,[37 16] ; [9 5],[36.3880597 16.6119403] ; [9.6119403 4.3880597],0
s4,1,0.702452,0.145934,[18 35] ; [ 4 10],[17.40298507 35.59701493] ; [4.59701493 9.40298507],0
n4,1,0.702941,0.14543,[14 39] ; [ 3 11],[13.44776119 39.55223881] ; [ 3.55223881 10.44776119],0
s7,1,0.709782,0.138494,[25 27] ; [7 6],[25.6 26.4] ; [6.4 6.6],0
a1,1,0.789454,0.0713,[ 5 48] ; [ 1 13],[ 4.74626866 48.25373134] ; [ 1.25373134 12.74626866],0
p3,1,0.850439,0.035554,[25 28] ; [7 7],[25.31343284 27.68656716] ; [6.68656716 7.31343284],0
a3,1,0.850803,0.035379,[32 20] ; [9 5],[32.3030303 19.6969697] ; [8.6969697 5.3030303],0
v3,1,0.933862,0.006887,[14 37] ; [ 4 10],[14.12307692 36.87692308] ; [ 3.87692308 10.12307692],0
r2,1,0.945019,0.004756,[48  4] ; [13  1],[48.06060606  3.93939394] ; [12.93939394  1.06060606],0
p6,1,0.954623,0.003238,[19 33] ; [5 9],[18.90909091 33.09090909] ; [5.09090909 8.90909091],0
b3,1,0.968868,0.001523,[10 17] ; [4 7],[ 9.94736842 17.05263158] ; [4.05263158 6.94736842],0
b2,1,0.968868,0.001523,[10 17] ; [4 7],[ 9.94736842 17.05263158] ; [4.05263158 6.94736842],0
