Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,6.1e-05,16.085481,[ 86 180] ; [38 26],[ 99.95151515 166.04848485] ; [24.04848485 39.95151515],1
a7,1,0.320086,0.988595,[179  90] ; [39 26],[175.5748503  93.4251497] ; [42.4251497 22.5748503],0
b5,1,0.368293,0.809415,[158 112] ; [42 23],[161.19402985 108.80597015] ; [38.80597015 26.19402985],0
d4,1,0.3809,0.767794,[201  69] ; [51 13],[203.71257485  66.28742515] ; [48.28742515 15.71257485],0
r2,1,0.456229,0.555131,[242  24] ; [61  4],[243.49848943  22.50151057] ; [59.50151057  5.49848943],0
a2,1,0.483371,0.491248,[ 48 222] ; [14 51],[ 49.97014925 220.02985075] ; [12.02985075 52.97014925],0
p7,1,0.505404,0.443572,[153 114] ; [39 24],[155.34545455 111.65454545] ; [36.65454545 26.34545455],0
a5,1,0.563289,0.334042,[181  89] ; [46 19],[182.95522388  87.04477612] ; [44.04477612 20.95522388],0
n1,1,0.567348,0.327141,[33 47] ; [6 6],[33.91304348 46.08695652] ; [5.08695652 6.91304348],0
d1,1,0.577645,0.310058,[135 135] ; [35 30],[137.01492537 132.98507463] ; [32.98507463 32.01492537],0
p11,1,0.587575,0.294147,[204  66] ; [47 18],[202.29850746  67.70149254] ; [48.70149254 16.29850746],0
a8,1,0.593403,0.285061,[ 32 220] ; [ 6 53],[ 30.79099678 221.20900322] ; [ 7.20900322 51.79099678],0
v4,1,0.607606,0.263676,[253  17] ; [62  3],[253.88059701  16.11940299] ; [61.11940299  3.88059701],0
s3,1,0.607768,0.263438,[137 131] ; [35 29],[138.84337349 129.15662651] ; [33.15662651 30.84337349],0
a6,1,0.610078,0.260061,[161 109] ; [41 24],[162.80597015 107.19402985] ; [39.19402985 25.80597015],0
d5,1,0.611355,0.258207,[202  67] ; [50 14],[203.56756757  65.43243243] ; [48.43243243 15.56756757],0
d2,1,0.636118,0.223855,[115 153] ; [30 35],[116.6966967 151.3033033] ; [28.3033033 36.6966967],0
p8,1,0.658655,0.195162,[136 132] ; [31 34],[134.4024024 133.5975976] ; [32.5975976 32.4024024],0
s5,1,0.679073,0.171172,[ 83 179] ; [22 42],[ 84.38650307 177.61349693] ; [20.61349693 43.38650307],0
p4,1,0.693804,0.154998,[153 117] ; [38 26],[154.4011976 115.5988024] ; [36.5988024 27.4011976],0
b3,1,0.700809,0.147632,[56 96] ; [18 27],[57.0964467 94.9035533] ; [16.9035533 28.0964467],0
b2,1,0.700809,0.147632,[56 96] ; [18 27],[57.0964467 94.9035533] ; [16.9035533 28.0964467],0
a4,1,0.740744,0.109474,[109 158] ; [28 37],[110.17771084 156.82228916] ; [26.82228916 38.17771084],0
r3,1,0.745972,0.104947,[244  24] ; [60  5],[244.66066066  23.33933934] ; [59.33933934  5.66066066],0
p10,1,0.774876,0.081798,[204  62] ; [48 16],[203.12727273  62.87272727] ; [48.87272727 15.12727273],0
s1,1,0.839409,0.041067,[ 11 256] ; [ 3 61],[ 11.29305136 255.70694864] ; [ 2.70694864 61.29305136],0
n3,1,0.94975,0.003972,[54 25] ; [9 4],[54.09782609 24.90217391] ; [8.90217391 4.09782609],0
p12,1,0.955406,0.003127,[ 16 252] ; [ 4 61],[ 16.0960961 251.9039039] ; [ 3.9039039 61.0960961],0
