Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,5e-06,20.881045,[306  20] ; [25 10],[298.90858726  27.09141274] ; [32.09141274  2.90858726],1
d4,1,0.112234,2.522475,[283  41] ; [28  8],[279.9  44.1] ; [31.1  4.9],0
p9,1,0.140182,2.175963,[294  30] ; [29  6],[291.5097493  32.4902507] ; [31.4902507  3.5097493],0
r4,1,0.141605,2.160428,[305  23] ; [31  5],[302.76923077  25.23076923] ; [33.23076923  2.76923077],0
a8,1,0.157896,1.994264,[ 56 246] ; [ 3 31],[ 53.0297619 248.9702381] ; [ 5.9702381 28.0297619],0
d3,1,0.20029,1.64026,[232  93] ; [22 14],[228.67036011  96.32963989] ; [25.32963989 10.67036011],0
a7,1,0.233241,1.420986,[232  94] ; [29  7],[235.0441989  90.9558011] ; [25.9558011 10.0441989],0
p11,1,0.238471,1.389608,[272  56] ; [27  9],[269.42857143  58.57142857] ; [29.57142857  6.42857143],0
n3,1,0.334224,0.932463,[43 18] ; [8 6],[41.48 19.52] ; [9.52 4.48],0
p10,1,0.342001,0.902916,[289  38] ; [29  6],[287.25414365  39.74585635] ; [30.74585635  4.25414365],0
p1,1,0.351266,0.868879,[ 34 291] ; [ 2 34],[ 32.4099723 292.5900277] ; [ 3.5900277 32.4099723],0
v1,1,0.357279,0.847436,[198 120] ; [19 16],[195.48441926 122.51558074] ; [21.51558074 13.48441926],0
s5,1,0.373862,0.790787,[154 159] ; [14 20],[151.5389049 161.4610951] ; [16.4610951 17.5389049],0
b4,1,0.408114,0.684288,[186 142] ; [23 13],[188.32967033 139.67032967] ; [20.67032967 15.32967033],0
p6,1,0.417005,0.658741,[152 170] ; [14 21],[149.7254902 172.2745098] ; [16.2745098 18.7254902],0
r2,1,0.431196,0.619599,[315  10] ; [34  2],[314.1966759  10.8033241] ; [34.8033241  1.1966759],0
b5,1,0.461899,0.541289,[198 130] ; [24 12],[200.04395604 127.95604396] ; [21.95604396 14.04395604],0
v4,1,0.501807,0.451112,[316  11] ; [34  2],[315.2892562  11.7107438] ; [34.7107438  1.2892562],0
p8,1,0.507252,0.439732,[185 138] ; [18 17],[183.15363128 139.84636872] ; [19.84636872 15.15363128],0
a6,1,0.508854,0.436422,[207 117] ; [25 11],[208.8 115.2] ; [23.2 12.8],0
u2,1,0.530303,0.393812,[40 27] ; [6 6],[39.01265823 27.98734177] ; [6.98734177 5.01265823],0
v2,1,0.631627,0.229862,[190 126] ; [19 15],[188.69714286 127.30285714] ; [20.30285714 13.69714286],0
u4,1,0.669316,0.182404,[ 14 314] ; [ 1 35],[ 13.51648352 314.48351648] ; [ 1.48351648 34.51648352],0
r3,1,0.687822,0.161453,[313  14] ; [34  1],[313.45027624  13.54972376] ; [33.54972376  1.45027624],0
s6,1,0.775793,0.081114,[280  41] ; [32  4],[280.53781513  40.46218487] ; [31.46218487  4.53781513],0
n2,1,0.790037,0.070896,[49 11] ; [11  3],[48.64864865 11.35135135] ; [11.35135135  2.64864865],0
u3,1,0.792226,0.069391,[42 25] ; [8 4],[42.40506329 24.59493671] ; [7.59493671 4.40506329],0
b1,1,0.906813,0.013703,[140 188] ; [15 21],[139.67032967 188.32967033] ; [15.32967033 20.67032967],0
s3,1,0.912844,0.01198,[286  38] ; [32  4],[286.2  37.8] ; [31.8  4.2],0
s8,1,0.920781,0.00989,[211 115] ; [23 13],[210.72928177 115.27071823] ; [23.27071823 12.72928177],0
b3,1,0.942465,0.005209,[ 88 123] ; [ 9 13],[ 87.84120172 123.15879828] ; [ 9.15879828 12.84120172],0
b2,1,0.942465,0.005209,[ 88 123] ; [ 9 13],[ 87.84120172 123.15879828] ; [ 9.15879828 12.84120172],0
p7,1,0.971948,0.001237,[220  97] ; [23 10],[220.08857143  96.91142857] ; [22.91142857 10.08857143],0
