Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,46.666667,[ 3 25] ; [69 15],[18. 10.] ; [54. 30.],1
a6,1,0.120548,2.410189,[13 15] ; [53 31],[16.5 11.5] ; [49.5 34.5],0
n1,1,0.148439,2.088218,[7 8] ; [ 7 21],[ 4.88372093 10.11627907] ; [ 9.11627907 18.88372093],0
n2,1,0.149882,2.073453,[7 8] ; [20  9],[9.20454545 5.79545455] ; [17.79545455 11.20454545],0
a7,1,0.15069,2.065248,[13 15] ; [52 32],[16.25 11.75] ; [48.75 35.25],0
b5,1,0.154416,2.028072,[12 16] ; [49 35],[15.25 12.75] ; [45.75 38.25],0
a1,1,0.158225,1.991111,[ 5 23] ; [ 7 77],[ 3. 25.] ; [ 9. 75.],0
s8,1,0.162194,1.953651,[ 3 25] ; [19 64],[ 5.54954955 22.45045045] ; [16.45045045 66.54954955],0
a5,1,0.180101,1.796791,[14 14] ; [54 30],[17. 11.] ; [51. 33.],0
d1,1,0.228199,1.452052,[10 18] ; [41 43],[12.75 15.25] ; [38.25 45.75],0
v3,1,0.246234,1.344542,[ 7 21] ; [30 51],[ 9.50458716 18.49541284] ; [27.49541284 53.50458716],0
s2,1,0.313363,1.016447,[ 2 26] ; [12 71],[ 3.53153153 24.46846847] ; [10.46846847 72.53153153],0
a8,1,0.316023,1.005334,[ 3 25] ; [ 4 73],[ 1.86666667 26.13333333] ; [ 5.13333333 71.86666667],0
a3,1,0.354684,0.85663,[14 13] ; [52 32],[16.05405405 10.94594595] ; [49.94594595 34.05405405],0
s1,1,0.396818,0.717949,[ 3 25] ; [ 5 79],[ 2. 26.] ; [ 6. 78.],0
u4,1,0.410004,0.678788,[ 1 27] ; [ 1 83],[ 0.5 27.5] ; [ 1.5 82.5],0
n4,1,0.432329,0.61656,[19  9] ; [50 34],[17.25 10.75] ; [51.75 32.25],0
d2,1,0.442164,0.590659,[14 13] ; [36 47],[12.27272727 14.72727273] ; [37.72727273 45.27272727],0
u1,1,0.480478,0.497778,[ 2 26] ; [10 74],[ 3. 25.] ; [ 9. 75.],0
s4,1,0.505417,0.443544,[ 3 25] ; [13 69],[ 4.07272727 23.92727273] ; [11.92727273 70.07272727],0
a2,1,0.568834,0.324638,[ 4 24] ; [16 68],[ 5. 23.] ; [15. 69.],0
a4,1,0.579042,0.307786,[ 9 18] ; [33 51],[10.21621622 16.78378378] ; [31.78378378 52.21621622],0
b4,1,0.582417,0.302343,[17 11] ; [46 38],[15.75 12.25] ; [47.25 36.75],0
p5,1,0.627987,0.234801,[ 1 27] ; [ 5 79],[ 1.5 26.5] ; [ 4.5 79.5],0
b3,1,0.721923,0.126658,[ 7 12] ; [22 31],[ 7.65277778 11.34722222] ; [21.34722222 31.65277778],0
b2,1,0.721923,0.126658,[ 7 12] ; [22 31],[ 7.65277778 11.34722222] ; [21.34722222 31.65277778],0
b1,1,0.742428,0.108004,[12 16] ; [39 45],[12.75 15.25] ; [38.25 45.75],0
v1,1,0.746751,0.104281,[ 6 21] ; [21 62],[ 6.62727273 20.37272727] ; [20.37272727 62.62727273],0
p12,1,0.791655,0.069782,[ 1 27] ; [ 4 80],[ 1.25 26.75] ; [ 3.75 80.25],0
s7,1,0.883518,0.021465,[ 5 21] ; [14 64],[ 4.75 21.25] ; [14.25 63.75],0
n5,1,0.911397,0.012383,[17 11] ; [50 34],[16.75 11.25] ; [50.25 33.75],0
