Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.2e-05,18.012104,[ 48 104] ; [54 37],[63.80246914 88.19753086] ; [38.19753086 52.80246914],1
n6,1,0.168926,1.892452,[112  50] ; [74 22],[116.79069767  45.20930233] ; [69.20930233 26.79069767],0
r3,1,0.169895,1.883872,[134  27] ; [85 10],[137.73046875  23.26953125] ; [81.26953125 13.73046875],0
b4,1,0.203956,1.613818,[94 68] ; [64 33],[98.82625483 63.17374517] ; [59.17374517 37.82625483],0
b5,1,0.213176,1.549729,[96 66] ; [65 32],[100.7027027  61.2972973] ; [60.2972973 36.7027027],0
s4,1,0.216649,1.526427,[ 24 138] ; [ 9 86],[ 20.80155642 141.19844358] ; [12.19844358 82.80155642],0
s8,1,0.226808,1.460767,[ 17 145] ; [15 81],[ 20.09302326 141.90697674] ; [11.90697674 84.09302326],0
p7,1,0.274507,1.194088,[ 59 100] ; [41 52],[63.0952381 95.9047619] ; [36.9047619 56.0952381],0
s2,1,0.286122,1.137778,[ 34 126] ; [26 70],[ 37.5 122.5] ; [22.5 73.5],0
u4,1,0.292982,1.105869,[  1 161] ; [ 2 95],[  1.87644788 160.12355212] ; [ 1.12355212 95.87644788],0
p6,1,0.300283,1.072936,[ 17 143] ; [14 79],[ 19.60474308 140.39525692] ; [11.39525692 81.60474308],0
u2,1,0.354114,0.858659,[32 45] ; [14 13],[34.05769231 42.94230769] ; [11.94230769 15.05769231],0
a2,1,0.390164,0.73843,[ 22 140] ; [17 80],[ 24.39382239 137.60617761] ; [14.60617761 82.39382239],0
b1,1,0.39221,0.732078,[ 62 100] ; [32 65],[ 58.7953668 103.2046332] ; [35.2046332 61.7953668],0
a6,1,0.396266,0.719628,[107  55] ; [59 38],[103.83011583  58.16988417] ; [62.16988417 34.83011583],0
p12,1,0.414723,0.66522,[  5 155] ; [ 5 92],[  6.22568093 153.77431907] ; [ 3.77431907 93.22568093],0
s3,1,0.417278,0.657969,[ 51 109] ; [35 60],[ 53.96078431 106.03921569] ; [32.03921569 62.96078431],0
n4,1,0.420921,0.647744,[93 69] ; [60 36],[96.06976744 65.93023256] ; [56.93023256 39.06976744],0
d2,1,0.527362,0.399473,[62 97] ; [34 63],[59.625 99.375] ; [36.375 60.625],0
u1,1,0.582702,0.301887,[ 13 149] ; [ 6 91],[ 11.88416988 150.11583012] ; [ 7.11583012 89.88416988],0
a7,1,0.5867,0.295527,[103  57] ; [65 31],[105.  55.] ; [63. 33.],0
d5,1,0.635144,0.22515,[110  51] ; [69 28],[111.70155039  49.29844961] ; [67.29844961 29.70155039],0
d1,1,0.639563,0.219315,[67 95] ; [43 54],[68.8030888 93.1969112] ; [41.1969112 55.8030888],0
p1,1,0.68478,0.164795,[  8 152] ; [ 6 91],[  8.71595331 151.28404669] ; [ 5.28404669 91.71595331],0
d3,1,0.693089,0.155762,[90 70] ; [57 40],[91.51750973 68.48249027] ; [55.48249027 41.51750973],0
a1,1,0.734206,0.115285,[ 10 152] ; [ 5 92],[  9.38223938 152.61776062] ; [ 5.61776062 91.38223938],0
s1,1,0.819554,0.052038,[  4 154] ; [ 2 94],[  3.73228346 154.26771654] ; [ 2.26771654 93.73228346],0
p8,1,0.858163,0.031939,[ 45 115] ; [28 68],[ 45.625 114.375] ; [27.375 68.625],0
a8,1,0.877852,0.023621,[ 17 135] ; [11 82],[ 17.37142857 134.62857143] ; [10.62857143 82.37142857],0
u3,1,0.975942,0.000909,[30 47] ; [11 17],[30.06666667 46.93333333] ; [10.93333333 17.06666667],0
n1,1,0.981398,0.000544,[20 42] ; [ 8 17],[19.95402299 42.04597701] ; [ 8.04597701 16.95402299],0
