Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-05,18.218876,[32  5] ; [ 8 16],[24.26229508 12.73770492] ; [15.73770492  8.26229508],1
b3,1,0.253089,1.306173,[ 9 15] ; [2 9],[ 7.54285714 16.45714286] ; [3.45714286 7.54285714],0
a4,1,0.301502,1.067538,[ 4 32] ; [ 5 19],[ 5.4 30.6] ; [ 3.6 20.4],0
a6,1,0.327833,0.957437,[17 20] ; [ 8 16],[15.16393443 21.83606557] ; [ 9.83606557 14.16393443],0
a1,1,0.35542,0.85401,[ 4 33] ; [ 1 23],[ 3.03278689 33.96721311] ; [ 1.96721311 22.03278689],0
v2,1,0.360393,0.836523,[10 26] ; [ 4 19],[ 8.54237288 27.45762712] ; [ 5.45762712 17.54237288],0
n6,1,0.394841,0.723982,[22 14] ; [12 12],[20.4 15.6] ; [13.6 10.4],0
a7,1,0.46745,0.527999,[15 22] ; [12 12],[16.37704918 20.62295082] ; [10.62295082 13.37704918],0
d2,1,0.503807,0.446907,[ 8 29] ; [ 7 17],[ 9.09836066 27.90163934] ; [ 5.90163934 18.09836066],0
p10,1,0.504435,0.445594,[13 22] ; [11 13],[14.23728814 20.76271186] ; [ 9.76271186 14.23728814],0
s8,1,0.508274,0.437619,[ 7 30] ; [ 3 21],[ 6.06557377 30.93442623] ; [ 3.93442623 20.06557377],0
p9,1,0.523508,0.406977,[16 19] ; [13 11],[17.20338983 17.79661017] ; [11.79661017 12.20338983],0
d3,1,0.570448,0.321933,[15 22] ; [ 8 16],[13.95081967 23.04918033] ; [ 9.04918033 14.95081967],0
a5,1,0.570448,0.321933,[15 22] ; [ 8 16],[13.95081967 23.04918033] ; [ 9.04918033 14.95081967],0
s1,1,0.573649,0.316615,[ 3 34] ; [ 3 21],[ 3.63934426 33.36065574] ; [ 2.36065574 21.63934426],0
b1,1,0.592939,0.285778,[19 18] ; [14 10],[20.01639344 16.98360656] ; [12.98360656 11.01639344],0
a3,1,0.629458,0.232797,[13 22] ; [10 13],[13.87931034 21.12068966] ; [ 9.12068966 13.87931034],0
p3,1,0.674477,0.176409,[ 9 28] ; [ 7 17],[ 9.70491803 27.29508197] ; [ 6.29508197 17.70491803],0
p8,1,0.682479,0.167348,[11 26] ; [ 8 15],[11.71666667 25.28333333] ; [ 7.28333333 15.71666667],0
b4,1,0.683015,0.166752,[15 22] ; [11 13],[15.7704918 21.2295082] ; [10.2295082 13.7704918],0
n3,1,0.715697,0.132653,[6 8] ; [6 6],[6.46153846 7.53846154] ; [5.53846154 6.46153846],0
n2,1,0.71714,0.13125,[11  5] ; [9 3],[11.42857143  4.57142857] ; [8.57142857 3.42857143],0
s2,1,0.72041,0.1281,[14 23] ; [ 8 16],[13.3442623 23.6557377] ; [ 8.6557377 15.3442623],0
s3,1,0.751696,0.100111,[18 18] ; [13 11],[18.6 17.4] ; [12.4 11.6],0
d1,1,0.753778,0.098383,[ 1 36] ; [ 1 23],[ 1.21311475 35.78688525] ; [ 0.78688525 23.21311475],0
v1,1,0.754859,0.097493,[13 24] ; [ 9 14],[13.56666667 23.43333333] ; [ 8.43333333 14.56666667],0
u3,1,0.755089,0.097304,[ 8 16] ; [5 8],[ 8.43243243 15.56756757] ; [4.56756757 8.43243243],0
b5,1,0.842294,0.039585,[21 16] ; [13 11],[20.62295082 16.37704918] ; [13.37704918 10.62295082],0
r3,1,0.850953,0.035308,[24 13] ; [15  9],[23.6557377 13.3442623] ; [15.3442623  8.6557377],0
v4,1,0.851067,0.035253,[25 12] ; [15  8],[24.66666667 12.33333333] ; [15.33333333  7.66666667],0
