Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.737115,[117   4] ; [21 10],[109.85526316  11.14473684] ; [28.14473684  2.85526316],1
p8,1,0.472385,0.516391,[61 59] ; [18 13],[62.78145695 57.21854305] ; [16.21854305 14.78145695],0
a6,1,0.495513,0.464534,[82 39] ; [19 12],[80.40131579 40.59868421] ; [20.59868421 10.40131579],0
u2,1,0.528009,0.398222,[18 11] ; [8 3],[18.85 10.15] ; [7.15 3.85],0
p9,1,0.541753,0.372301,[103  18] ; [25  6],[101.89473684  19.10526316] ; [26.10526316  4.89473684],0
p5,1,0.551595,0.354467,[ 12 109] ; [ 2 29],[ 11.14473684 109.85526316] ; [ 2.85526316 28.14473684],0
s1,1,0.561471,0.337163,[  5 115] ; [ 2 28],[  5.6 114.4] ; [ 1.4 28.6],0
p3,1,0.601781,0.272318,[61 60] ; [14 17],[59.70394737 61.29605263] ; [15.29605263 15.70394737],0
v3,1,0.602977,0.27053,[41 76] ; [ 9 21],[39.79591837 77.20408163] ; [10.20408163 19.79591837],0
s2,1,0.670001,0.181601,[77 44] ; [21 10],[78.01315789 42.98684211] ; [19.98684211 11.01315789],0
a8,1,0.707954,0.140329,[14 98] ; [ 3 27],[13.4084507 98.5915493] ; [ 3.5915493 26.4084507],0
b2,1,0.727201,0.121697,[27 45] ; [ 7 14],[26.32258065 45.67741935] ; [ 7.67741935 13.32258065],0
b3,1,0.727201,0.121697,[27 45] ; [ 7 14],[26.32258065 45.67741935] ; [ 7.67741935 13.32258065],0
b4,1,0.78761,0.072585,[67 54] ; [18 13],[67.66447368 53.33552632] ; [17.33552632 13.66447368],0
p12,1,0.812009,0.056565,[ 10 110] ; [ 3 28],[ 10.33112583 109.66887417] ; [ 2.66887417 28.33112583],0
b5,1,0.840462,0.040523,[60 61] ; [16 15],[60.5 60.5] ; [15.5 15.5],0
p2,1,0.880514,0.022596,[99 22] ; [25  6],[98.71052632 22.28947368] ; [25.28947368  5.71052632],0
s3,1,0.918032,0.010591,[87 34] ; [22  9],[86.76973684 34.23026316] ; [22.23026316  8.76973684],0
s7,1,0.974564,0.001017,[84 31] ; [22  8],[84.06896552 30.93103448] ; [21.93103448  8.06896552],0
