Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,25.044796,[25 37] ; [122  39],[40.86995516 21.13004484] ; [106.13004484  54.86995516],1
n6,1,0.234009,1.416325,[37 25] ; [109  51],[40.77477477 21.22522523] ; [105.22522523  54.77477477],0
s6,1,0.236662,1.40037,[32 28] ; [100  61],[35.83710407 24.16289593] ; [96.16289593 64.83710407],0
a4,1,0.282543,1.154819,[23 39] ; [ 48 114],[19.65178571 42.34821429] ; [ 51.34821429 110.65178571],0
a3,1,0.317338,0.999886,[32 29] ; [97 65],[35.28699552 25.71300448] ; [93.71300448 68.28699552],0
v4,1,0.357778,0.845677,[55  6] ; [150  10],[56.58371041  4.41628959] ; [148.41628959  11.58371041],0
s1,1,0.361798,0.831644,[ 3 59] ; [  4 158],[ 1.9375 60.0625] ; [  5.0625 156.9375],0
p1,1,0.389275,0.741206,[ 5 57] ; [  8 151],[ 3.64705882 58.35294118] ; [  9.35294118 149.64705882],0
p12,1,0.426915,0.631202,[ 1 60] ; [  6 155],[ 1.92342342 59.07657658] ; [  5.07657658 155.92342342],0
s8,1,0.434885,0.609741,[17 44] ; [ 54 108],[19.42152466 41.57847534] ; [ 51.57847534 110.42152466],0
b2,1,0.50282,0.44898,[ 9 26] ; [24 51],[10.5 24.5] ; [22.5 52.5],0
b3,1,0.50282,0.44898,[ 9 26] ; [24 51],[10.5 24.5] ; [22.5 52.5],0
d2,1,0.530839,0.392786,[25 37] ; [ 58 104],[22.97321429 39.02678571] ; [ 60.02678571 101.97321429],0
s5,1,0.546188,0.364192,[20 38] ; [ 48 111],[18.17511521 39.82488479] ; [ 49.82488479 109.17511521],0
r2,1,0.552264,0.353278,[55  7] ; [147  14],[56.16143498  5.83856502] ; [145.83856502  15.16143498],0
p4,1,0.559396,0.340751,[25 36] ; [73 88],[26.92792793 34.07207207] ; [71.07207207 89.92792793],0
p3,1,0.576183,0.312446,[20 42] ; [ 58 102],[21.78378378 40.21621622] ; [ 56.21621622 103.78378378],0
b4,1,0.581548,0.303739,[35 27] ; [98 64],[36.8125 25.1875] ; [96.1875 65.8125],0
n5,1,0.59503,0.282558,[22 39] ; [ 52 109],[20.33333333 40.66666667] ; [ 53.66666667 107.33333333],0
a5,1,0.606329,0.265555,[34 28] ; [95 67],[35.70535714 26.29464286] ; [93.29464286 68.70535714],0
p7,1,0.61089,0.258882,[35 26] ; [83 72],[33.32407407 27.67592593] ; [84.67592593 70.32407407],0
u3,1,0.623137,0.241482,[16 14] ; [37 26],[17.09677419 12.90322581] ; [35.90322581 27.09677419],0
s2,1,0.623255,0.241319,[26 35] ; [75 87],[27.62780269 33.37219731] ; [73.37219731 88.62780269],0
s3,1,0.701893,0.14651,[30 32] ; [82 78],[31.27927928 30.72072072] ; [80.72072072 79.27927928],0
u2,1,0.729419,0.119646,[16 14] ; [36 27],[16.77419355 13.22580645] ; [35.22580645 27.77419355],0
n3,1,0.77696,0.080249,[19  8] ; [37 18],[18.43902439  8.56097561] ; [37.56097561 17.43902439],0
p6,1,0.788492,0.071969,[15 45] ; [ 37 122],[14.24657534 45.75342466] ; [ 37.75342466 121.24657534],0
r4,1,0.806254,0.060153,[52 10] ; [138  24],[52.58928571  9.41071429] ; [137.41071429  24.58928571],0
p11,1,0.878331,0.023435,[42 20] ; [108  54],[41.51785714 20.48214286] ; [108.48214286  53.51785714],0
s4,1,0.907587,0.013475,[15 47] ; [ 38 124],[14.66964286 47.33035714] ; [ 38.33035714 123.66964286],0
v1,1,0.97641,0.000874,[25 36] ; [64 93],[24.90366972 36.09633028] ; [64.09633028 92.90366972],0
