Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.002401,9.214329,[ 6 76] ; [ 9 22],[10.88495575 71.11504425] ; [ 4.11504425 26.88495575],0
n1,1,0.55336,0.351331,[ 9 17] ; [3 9],[ 8.21052632 17.78947368] ; [3.78947368 8.21052632],0
p10,1,0.556949,0.345015,[43 37] ; [18 12],[44.36363636 35.63636364] ; [16.63636364 13.36363636],0
n6,1,0.57734,0.310555,[53 28] ; [22  9],[54.24107143 26.75892857] ; [20.75892857 10.24107143],0
p2,1,0.579451,0.307123,[46 34] ; [19 11],[47.27272727 32.72727273] ; [17.72727273 12.27272727],0
p4,1,0.625447,0.238286,[27 55] ; [11 18],[28.07207207 53.92792793] ; [ 9.92792793 19.07207207],0
a7,1,0.635992,0.224022,[43 38] ; [18 13],[44.11607143 36.88392857] ; [16.88392857 14.11607143],0
s7,1,0.665485,0.186929,[14 65] ; [ 6 22],[14.76635514 64.23364486] ; [ 5.23364486 22.76635514],0
p9,1,0.711535,0.136749,[53 26] ; [19 11],[52.18348624 26.81651376] ; [19.81651376 10.18348624],0
r2,1,0.728784,0.120231,[58 21] ; [23  7],[58.70642202 20.29357798] ; [22.29357798  7.70642202],0
b4,1,0.731109,0.118095,[42 40] ; [17 14],[42.81415929 39.18584071] ; [16.18584071 14.81415929],0
p5,1,0.761557,0.092074,[ 4 76] ; [ 2 29],[ 4.32432432 75.67567568] ; [ 1.67567568 29.32432432],0
p3,1,0.768886,0.086338,[25 57] ; [ 8 21],[24.37837838 57.62162162] ; [ 8.62162162 20.37837838],0
s2,1,0.776759,0.080398,[14 68] ; [ 6 25],[14.51327434 67.48672566] ; [ 5.48672566 25.51327434],0
s5,1,0.798808,0.064969,[ 7 73] ; [ 3 26],[ 7.33944954 72.66055046] ; [ 2.66055046 26.33944954],0
p8,1,0.887344,0.020069,[24 57] ; [ 9 20],[24.3 56.7] ; [ 8.7 20.3],0
p1,1,0.92501,0.008859,[11 70] ; [ 4 27],[10.84821429 70.15178571] ; [ 4.15178571 26.84821429],0
s3,1,0.930353,0.007639,[22 58] ; [ 8 22],[21.81818182 58.18181818] ; [ 8.18181818 21.81818182],0
s4,1,0.943009,0.005111,[11 71] ; [ 4 27],[10.88495575 71.11504425] ; [ 4.11504425 26.88495575],0
b5,1,0.975579,0.000937,[50 32] ; [19 12],[50.07079646 31.92920354] ; [18.92920354 12.07079646],0
