Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4.2e-05,16.78193,[45  9] ; [14 20],[36.20454545 17.79545455] ; [22.79545455 11.20454545],1
p12,1,0.305009,1.052167,[ 7 47] ; [ 2 31],[ 5.5862069 48.4137931] ; [ 3.4137931 29.5862069],0
a5,1,0.348302,0.879634,[40 14] ; [22 12],[38.04545455 15.95454545] ; [23.95454545 10.04545455],0
b1,1,0.362044,0.830792,[26 28] ; [13 21],[23.93181818 30.06818182] ; [15.06818182 18.93181818],0
r4,1,0.377351,0.779315,[44 10] ; [25  9],[42.34090909 11.65909091] ; [26.65909091  7.34090909],0
p5,1,0.378187,0.776586,[ 4 50] ; [ 1 33],[ 3.06818182 50.93181818] ; [ 1.93181818 32.06818182],0
n3,1,0.381133,0.767045,[10  5] ; [6 6],[8.88888889 6.11111111] ; [7.11111111 4.88888889],0
a6,1,0.388963,0.742182,[33 20] ; [18 16],[31.06896552 21.93103448] ; [19.93103448 14.06896552],0
u1,1,0.528025,0.39819,[ 9 45] ; [ 4 30],[ 7.97727273 46.02272727] ; [ 5.02272727 28.97727273],0
s7,1,0.540131,0.375297,[24 28] ; [13 20],[22.63529412 29.36470588] ; [14.36470588 18.63529412],0
s1,1,0.554592,0.349155,[ 3 50] ; [ 1 33],[ 2.43678161 50.56321839] ; [ 1.56321839 32.43678161],0
a4,1,0.565599,0.330102,[24 30] ; [13 21],[22.70454545 31.29545455] ; [14.29545455 19.70454545],0
u2,1,0.59737,0.27898,[10  8] ; [5 6],[9.31034483 8.68965517] ; [5.68965517 5.31034483],0
v3,1,0.608716,0.262049,[25 29] ; [13 19],[23.86046512 30.13953488] ; [14.13953488 17.86046512],0
u3,1,0.642636,0.215311,[12  7] ; [6 5],[11.4  7.6] ; [6.6 4.4],0
s5,1,0.687934,0.161331,[16 37] ; [11 21],[16.83529412 36.16470588] ; [10.16470588 21.83529412],0
b3,1,0.725962,0.122851,[13 25] ; [ 5 12],[12.43636364 25.56363636] ; [ 5.56363636 11.43636364],0
b2,1,0.725962,0.122851,[13 25] ; [ 5 12],[12.43636364 25.56363636] ; [ 5.56363636 11.43636364],0
b5,1,0.754682,0.097639,[32 22] ; [19 15],[31.29545455 22.70454545] ; [19.70454545 14.29545455],0
s6,1,0.772936,0.083254,[36 18] ; [21 12],[35.37931034 18.62068966] ; [21.62068966 11.37931034],0
a3,1,0.784916,0.074485,[35 19] ; [23 11],[35.59090909 18.40909091] ; [22.40909091 11.59090909],0
r1,1,0.800424,0.063907,[41 13] ; [25  9],[40.5 13.5] ; [25.5  8.5],0
u4,1,0.84779,0.036841,[ 2 52] ; [ 1 33],[ 1.84090909 52.15909091] ; [ 1.15909091 32.84090909],0
d3,1,0.885332,0.020797,[32 21] ; [20 14],[31.67816092 21.32183908] ; [20.32183908 13.67816092],0
d1,1,0.88816,0.019778,[31 23] ; [19 15],[30.68181818 23.31818182] ; [19.31818182 14.68181818],0
n1,1,0.900552,0.015616,[ 4 10] ; [4 9],[4.14814815 9.85185185] ; [3.85185185 9.14814815],0
d2,1,0.931565,0.007375,[26 27] ; [17 17],[26.1954023 26.8045977] ; [16.8045977 17.1954023],0
p1,1,0.948587,0.004158,[ 3 51] ; [ 2 32],[ 3.06818182 50.93181818] ; [ 1.93181818 32.06818182],0
r2,1,0.957524,0.002837,[48  5] ; [30  3],[48.06976744  4.93023256] ; [29.93023256  3.06976744],0
b4,1,0.96771,0.001639,[32 22] ; [20 14],[31.90909091 22.09090909] ; [20.09090909 13.90909091],0
