Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.5e-05,18.729776,[67  4] ; [31 18],[57.98333333 13.01666667] ; [40.01666667  8.98333333],1
s1,1,0.044148,4.050901,[ 2 68] ; [ 6 43],[ 4.70588235 65.29411765] ; [ 3.29411765 45.70588235],0
a1,1,0.047208,3.93795,[ 3 69] ; [ 7 42],[ 5.95041322 66.04958678] ; [ 4.04958678 44.95041322],0
a7,1,0.052398,3.763002,[50 21] ; [26 23],[44.96666667 26.03333333] ; [31.03333333 17.96666667],0
s8,1,0.095584,2.777725,[21 50] ; [ 8 41],[17.15833333 53.84166667] ; [11.84166667 37.15833333],0
n2,1,0.099301,2.716735,[14  4] ; [11 10],[11.53846154  6.46153846] ; [13.46153846  7.53846154],0
s7,1,0.100922,2.690909,[26 40] ; [11 34],[22. 44.] ; [15. 30.],0
v2,1,0.113958,2.498455,[33 37] ; [16 33],[28.82352941 41.17647059] ; [20.17647059 28.82352941],0
s6,1,0.130552,2.285923,[36 35] ; [18 31],[31.95 39.05] ; [22.05 26.95],0
a6,1,0.131729,2.272007,[48 24] ; [26 23],[44.03305785 27.96694215] ; [29.96694215 19.03305785],0
r2,1,0.150445,2.06773,[66  6] ; [39  8],[63.52941176  8.47058824] ; [41.47058824  5.52941176],0
b3,1,0.175574,1.834699,[12 32] ; [15 21],[14.85 29.15] ; [12.15 23.85],0
b2,1,0.175574,1.834699,[12 32] ; [15 21],[14.85 29.15] ; [12.15 23.85],0
b4,1,0.259595,1.270914,[47 25] ; [27 22],[44.03305785 27.96694215] ; [29.96694215 19.03305785],0
u2,1,0.259727,1.270211,[16 14] ; [ 7 12],[14.08163265 15.91836735] ; [ 8.91836735 10.08163265],0
s5,1,0.323221,0.975867,[15 55] ; [ 7 42],[12.94117647 57.05882353] ; [ 9.05882353 39.94117647],0
n5,1,0.325671,0.966034,[50 22] ; [38 11],[52.36363636 19.63636364] ; [35.63636364 13.36363636],0
a4,1,0.348052,0.880547,[25 46] ; [21 27],[27.44537815 43.55462185] ; [18.55462185 29.44537815],0
p5,1,0.355293,0.854461,[ 3 69] ; [ 4 45],[ 4.16528926 67.83471074] ; [ 2.83471074 46.16528926],0
n6,1,0.412262,0.672269,[53 19] ; [32 16],[51. 21.] ; [34. 14.],0
s4,1,0.49072,0.474946,[10 59] ; [ 5 44],[ 8.77118644 60.22881356] ; [ 6.22881356 42.77118644],0
a5,1,0.495964,0.463562,[47 25] ; [29 20],[45.2231405 26.7768595] ; [30.7768595 18.2231405],0
u1,1,0.502245,0.45019,[12 60] ; [ 6 43],[10.7107438 61.2892562] ; [ 7.2892562 41.7107438],0
a2,1,0.53511,0.384678,[15 57] ; [ 8 41],[13.68595041 58.31404959] ; [ 9.31404959 39.68595041],0
v3,1,0.553055,0.351873,[28 43] ; [16 31],[26.47457627 44.52542373] ; [17.52542373 29.47457627],0
n1,1,0.591465,0.288062,[ 7 10] ; [10 10],[7.81081081 9.18918919] ; [ 9.18918919 10.81081081],0
d4,1,0.598289,0.277584,[51 20] ; [33 16],[49.7 21.3] ; [34.3 14.7],0
p3,1,0.599374,0.275941,[25 46] ; [15 34],[23.66666667 47.33333333] ; [16.33333333 32.66666667],0
d1,1,0.635953,0.224074,[34 38] ; [21 28],[32.72727273 39.27272727] ; [22.27272727 26.72727273],0
b1,1,0.638824,0.220284,[41 31] ; [30 19],[42.24793388 29.75206612] ; [28.75206612 20.24793388],0
a3,1,0.705457,0.142857,[41 31] ; [29 19],[42. 30.] ; [28. 20.],0
u3,1,0.716341,0.132025,[14 17] ; [ 8 12],[13.37254902 17.62745098] ; [ 8.62745098 11.37254902],0
p12,1,0.790264,0.070739,[ 1 70] ; [ 1 48],[ 1.18333333 69.81666667] ; [ 0.81666667 48.18333333],0
a8,1,0.817807,0.053069,[ 6 57] ; [ 5 41],[ 6.35779817 56.64220183] ; [ 4.64220183 41.35779817],0
d2,1,0.821052,0.051163,[34 37] ; [24 24],[34.60504202 36.39495798] ; [23.39495798 24.60504202],0
p1,1,0.950637,0.003833,[ 7 64] ; [ 5 44],[ 7.1 63.9] ; [ 4.9 44.1],0
