Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,47.655548,[104   2] ; [19 17],[91.81690141 14.18309859] ; [31.18309859  4.81690141],1
a1,1,0.66993,0.181684,[  4 102] ; [ 2 35],[  4.44755245 101.55244755] ; [ 1.55244755 35.44755245],0
s1,1,0.66993,0.181684,[  4 102] ; [ 2 35],[  4.44755245 101.55244755] ; [ 1.55244755 35.44755245],0
b5,1,0.69937,0.149128,[64 42] ; [21 16],[63.00699301 42.99300699] ; [21.99300699 15.00699301],0
a4,1,0.707493,0.140794,[38 68] ; [12 25],[37.06293706 68.93706294] ; [12.93706294 24.06293706],0
b4,1,0.775798,0.08111,[63 43] ; [21 16],[62.26573427 43.73426573] ; [21.73426573 15.26573427],0
b2,1,0.856577,0.032665,[15 40] ; [ 4 12],[14.71830986 40.28169014] ; [ 4.28169014 11.71830986],0
b3,1,0.856577,0.032665,[15 40] ; [ 4 12],[14.71830986 40.28169014] ; [ 4.28169014 11.71830986],0
a3,1,0.902006,0.01516,[66 40] ; [22 14],[65.69014085 40.30985915] ; [22.30985915 13.69014085],0
p1,1,0.953666,0.003376,[  6 100] ; [ 2 35],[  5.93006993 100.06993007] ; [ 2.06993007 34.93006993],0
p5,1,0.96106,0.002384,[  3 102] ; [ 1 36],[  2.95774648 102.04225352] ; [ 1.04225352 35.95774648],0
v1,1,0.986557,0.000284,[41 64] ; [14 22],[40.95744681 64.04255319] ; [14.04255319 21.95744681],0
d1,1,0.987101,0.000261,[46 60] ; [16 21],[45.95804196 60.04195804] ; [16.04195804 20.95804196],0
