Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.7e-05,18.448703,[78 20] ; [120 101],[60.82758621 37.17241379] ; [137.17241379  83.82758621],1
n6,1,0.19749,1.660843,[84 13] ; [179  43],[79.97178683 17.02821317] ; [183.02821317  38.97178683],0
b2,1,0.202129,1.626926,[29 38] ; [46 89],[24.87623762 42.12376238] ; [50.12376238 84.87623762],0
b3,1,0.202129,1.626926,[29 38] ; [46 89],[24.87623762 42.12376238] ; [50.12376238 84.87623762],0
d3,1,0.219762,1.505926,[84 15] ; [199  23],[87.28037383 11.71962617] ; [195.71962617  26.28037383],0
b5,1,0.236744,1.39988,[58 41] ; [146  77],[62.72049689 36.27950311] ; [141.27950311  81.72049689],0
r3,1,0.23727,1.39674,[94  4] ; [206  17],[91.58878505  6.41121495] ; [208.41121495  14.58878505],0
s4,1,0.24319,1.362005,[15 82] ; [ 24 198],[11.85893417 85.14106583] ; [ 27.14106583 194.85893417],0
a4,1,0.251717,1.313747,[61 38] ; [121 100],[56.30625 42.69375] ; [125.69375  95.30625],0
r2,1,0.276435,1.184532,[95  3] ; [205  13],[93.03797468  4.96202532] ; [206.96202532  11.03797468],0
u1,1,0.297588,1.084971,[28 71] ; [ 51 172],[24.28881988 74.71118012] ; [ 54.71118012 168.28881988],0
n3,1,0.306056,1.047619,[16  6] ; [40 26],[14.  8.] ; [42. 24.],0
v4,1,0.404957,0.693556,[93  5] ; [205  17],[91.2625  6.7375] ; [206.7375  15.2625],0
b1,1,0.515396,0.423096,[37 62] ; [ 75 148],[34.43478261 64.56521739] ; [ 77.56521739 145.43478261],0
d5,1,0.570114,0.322492,[97  2] ; [215   7],[96.22429907  2.77570093] ; [215.77570093   6.22429907],0
a8,1,0.587851,0.293713,[10 76] ; [ 28 172],[11.42657343 74.57342657] ; [ 26.57342657 173.42657343],0
r4,1,0.591097,0.288635,[87 12] ; [191  32],[85.47204969 13.52795031] ; [192.52795031  30.47204969],0
p11,1,0.615105,0.252808,[78 21] ; [170  53],[76.2484472 22.7515528] ; [171.7515528  51.2484472],0
s1,1,0.648221,0.20815,[ 3 93] ; [  5 217],[ 2.41509434 93.58490566] ; [  5.58490566 216.41509434],0
a6,1,0.668331,0.18356,[75 24] ; [173  49],[76.48598131 22.51401869] ; [171.51401869  50.48598131],0
u4,1,0.721374,0.12718,[ 2 97] ; [  6 217],[ 2.45962733 96.54037267] ; [  5.54037267 217.45962733],0
d4,1,0.802906,0.062294,[97  1] ; [218   3],[96.77115987  1.22884013] ; [218.22884013   2.77115987],0
b4,1,0.813742,0.055508,[59 40] ; [136  87],[59.95341615 39.04658385] ; [135.04658385  87.95341615],0
n4,1,0.838821,0.041372,[74 24] ; [166  57],[73.27102804 24.72897196] ; [166.72897196  56.27102804],0
a1,1,0.843037,0.039208,[ 4 95] ; [  8 215],[ 3.68944099 95.31055901] ; [  8.31055901 214.68944099],0
u2,1,0.927545,0.008269,[8 6] ; [31 22],[8.14925373 5.85074627] ; [30.85074627 22.14925373],0
