Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-06,20.883405,[17 20] ; [72 12],[27.21487603  9.78512397] ; [61.78512397 22.21487603],1
s8,1,0.471317,0.518886,[11 26] ; [31 54],[12.73770492 24.26229508] ; [29.26229508 55.73770492],0
p4,1,0.492209,0.471694,[18 19] ; [46 37],[19.73333333 17.26666667] ; [44.26666667 38.73333333],0
s3,1,0.493049,0.469866,[16 21] ; [42 42],[17.73553719 19.26446281] ; [40.26446281 43.73553719],0
s2,1,0.498868,0.457345,[19 18] ; [38 47],[17.28688525 19.71311475] ; [39.71311475 45.28688525],0
u4,1,0.541699,0.372401,[ 1 36] ; [ 1 84],[ 0.60655738 36.39344262] ; [ 1.39344262 83.60655738],0
a1,1,0.547372,0.362047,[ 3 34] ; [10 75],[ 3.94262295 33.05737705] ; [ 9.05737705 75.94262295],0
n1,1,0.547774,0.361321,[ 6 11] ; [12 15],[ 6.95454545 10.04545455] ; [11.04545455 15.95454545],0
d3,1,0.557956,0.343255,[23 14] ; [48 37],[21.53278689 15.46721311] ; [49.46721311 35.53278689],0
a7,1,0.560817,0.338292,[21 16] ; [53 32],[22.44262295 14.55737705] ; [51.55737705 33.44262295],0
u3,1,0.581206,0.304289,[6 5] ; [7 9],[5.2962963 5.7037037] ; [7.7037037 8.2962963],0
r3,1,0.603412,0.26988,[31  6] ; [67 17],[29.96694215  7.03305785] ; [68.03305785 15.96694215],0
d1,1,0.624362,0.239784,[20 17] ; [50 35],[21.2295082 15.7704918] ; [48.7704918 36.2295082],0
v2,1,0.648908,0.20728,[14 22] ; [36 47],[15.12605042 20.87394958] ; [34.87394958 48.12605042],0
r4,1,0.758946,0.094166,[22 15] ; [48 37],[21.2295082 15.7704918] ; [48.7704918 36.2295082],0
p12,1,0.797217,0.066024,[ 1 36] ; [ 3 80],[ 1.23333333 35.76666667] ; [ 2.76666667 80.23333333],0
d2,1,0.819949,0.051806,[20 17] ; [43 40],[19.425 17.575] ; [43.575 39.425],0
a6,1,0.839766,0.040882,[25 12] ; [59 26],[25.47540984 11.52459016] ; [58.52459016 26.47540984],0
p7,1,0.8433,0.039075,[18 19] ; [42 41],[18.5 18.5] ; [41.5 41.5],0
v1,1,0.881157,0.022351,[16 21] ; [33 46],[15.62931034 21.37068966] ; [33.37068966 45.62931034],0
p8,1,0.889892,0.019166,[14 22] ; [33 49],[14.33898305 21.66101695] ; [32.66101695 49.33898305],0
s5,1,0.898403,0.016302,[11 26] ; [22 55],[10.71052632 26.28947368] ; [22.28947368 54.71052632],0
b4,1,0.899307,0.016011,[20 17] ; [47 38],[20.31967213 16.68032787] ; [46.68032787 38.31967213],0
b5,1,0.918092,0.010576,[23 14] ; [52 33],[22.74590164 14.25409836] ; [52.25409836 32.74590164],0
p3,1,0.96818,0.001591,[17 19] ; [40 44],[17.1 18.9] ; [39.9 44.1],0
p1,1,0.970784,0.001341,[ 4 33] ; [ 9 76],[ 3.94262295 33.05737705] ; [ 9.05737705 75.94262295],0
b2,1,0.976557,0.000864,[ 8 12] ; [21 32],[ 7.94520548 12.05479452] ; [21.05479452 31.94520548],0
b3,1,0.976557,0.000864,[ 8 12] ; [21 32],[ 7.94520548 12.05479452] ; [21.05479452 31.94520548],0
v4,1,0.99012,0.000153,[30  7] ; [69 16],[30.02459016  6.97540984] ; [68.97540984 16.02459016],0
