Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.006044,7.537076,[ 9 15] ; [11  2],[12.97297297 11.02702703] ; [7.02702703 5.97297297],0
p1,1,0.682897,0.166883,[ 3 54] ; [ 1 29],[ 2.62068966 54.37931034] ; [ 1.37931034 28.62068966],0
s7,1,0.692364,0.156538,[21 33] ; [10 19],[20.1686747 33.8313253] ; [10.8313253 18.1686747],0
a8,1,0.700679,0.147766,[ 1 50] ; [ 1 29],[ 1.25925926 49.74074074] ; [ 0.74074074 29.25925926],0
p5,1,0.714658,0.133669,[ 5 51] ; [ 2 28],[ 4.55813953 51.44186047] ; [ 2.44186047 27.55813953],0
d2,1,0.811849,0.056664,[22 34] ; [11 19],[21.48837209 34.51162791] ; [11.51162791 18.48837209],0
r2,1,0.824491,0.049183,[36 17] ; [19 10],[35.54878049 17.45121951] ; [19.45121951  9.54878049],0
p9,1,0.84495,0.038246,[36 19] ; [19 11],[35.58823529 19.41176471] ; [19.41176471 10.58823529],0
n3,1,0.87751,0.023755,[17 12] ; [9 7],[16.75555556 12.24444444] ; [9.24444444 6.75555556],0
p10,1,0.902543,0.014994,[33 22] ; [17 12],[32.73809524 22.26190476] ; [17.26190476 11.73809524],0
b5,1,0.912308,0.012128,[33 24] ; [17 13],[32.75862069 24.24137931] ; [17.24137931 12.75862069],0
d3,1,0.948561,0.004162,[33 24] ; [17 12],[33.13953488 23.86046512] ; [16.86046512 12.13953488],0
s1,1,0.965999,0.001817,[ 2 55] ; [ 1 29],[ 1.96551724 55.03448276] ; [ 1.03448276 28.96551724],0
a3,1,0.966093,0.001807,[32 24] ; [17 13],[31.90697674 24.09302326] ; [17.09302326 12.90697674],0
n2,1,0.988073,0.000223,[20  9] ; [11  5],[19.97777778  9.02222222] ; [11.02222222  4.97777778],0
p6,1,1.0,0.0,[14 42] ; [ 7 21],[14. 42.] ; [ 7. 21.],0
