Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5.9e-05,16.118796,[31 73] ; [20  8],[40.18181818 63.81818182] ; [10.81818182 17.18181818],1
r3,1,0.689228,0.159922,[87 17] ; [26  4],[87.70149254 16.29850746] ; [25.29850746  4.70149254],0
s3,1,0.74967,0.101809,[45 59] ; [12 18],[44.23880597 59.76119403] ; [12.76119403 17.23880597],0
p7,1,0.770513,0.085091,[57 43] ; [18 12],[57.69230769 42.30769231] ; [17.30769231 12.69230769],0
d5,1,0.780504,0.077653,[49 55] ; [15 15],[49.67164179 54.32835821] ; [14.32835821 15.67164179],0
p8,1,0.802407,0.062617,[42 61] ; [13 17],[42.59398496 60.40601504] ; [12.40601504 17.59398496],0
n5,1,0.87697,0.023967,[43 60] ; [13 17],[43.36842105 59.63157895] ; [12.63157895 17.36842105],0
p3,1,0.87899,0.02318,[30 75] ; [ 9 21],[30.33333333 74.66666667] ; [ 8.66666667 21.33333333],0
p11,1,0.885374,0.020782,[68 37] ; [19 11],[67.66666667 37.33333333] ; [19.33333333 10.66666667],0
p4,1,0.954598,0.003241,[41 63] ; [12 18],[41.13432836 62.86567164] ; [11.86567164 18.13432836],0
s2,1,0.961847,0.002288,[38 67] ; [11 19],[38.11111111 66.88888889] ; [10.88888889 19.11111111],0
