Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000515,12.061827,[10  4] ; [ 90 231],[4.17910448 9.82089552] ; [ 95.82089552 225.17910448],1
n1,1,0.413693,0.668162,[3 3] ; [34 67],[2.07476636 3.92523364] ; [34.92523364 66.07476636],0
b1,1,0.415564,0.662826,[7 7] ; [126 196],[5.54166667 8.45833333] ; [127.45833333 194.54166667],0
a6,1,0.492333,0.471423,[8 6] ; [212 109],[9.19402985 4.80597015] ; [210.80597015 110.19402985],0
n5,1,0.502182,0.450323,[10  4] ; [199 119],[8.81325301 5.18674699] ; [200.18674699 117.81325301],0
p9,1,0.53397,0.386831,[10  3] ; [216  98],[8.98470948 4.01529052] ; [217.01529052  96.98470948],0
s1,1,0.575624,0.313363,[ 1 13] ; [ 13 306],[ 0.58858859 13.41141141] ; [ 13.41141141 305.58858859],0
n3,1,0.640708,0.217818,[5 2] ; [62 37],[4.4245283 2.5754717] ; [62.5754717 36.4245283],0
d4,1,0.642159,0.21593,[10  4] ; [245  74],[10.72072072  3.27927928] ; [244.27927928  74.72072072],0
n4,1,0.676559,0.174025,[10  4] ; [212 109],[9.27761194 4.72238806] ; [212.72238806 108.27761194],0
n2,1,0.686353,0.163062,[4 3] ; [66 36],[4.49541284 2.50458716] ; [65.50458716 36.49541284],0
b5,1,0.697455,0.151133,[7 7] ; [178 144],[7.70833333 6.29166667] ; [177.29166667 144.70833333],0
a7,1,0.699668,0.148818,[9 5] ; [222  99],[9.65373134 4.34626866] ; [221.34626866  99.65373134],0
d5,1,0.736843,0.112921,[10  4] ; [242  79],[10.53134328  3.46865672] ; [241.46865672  79.53134328],0
u2,1,0.742042,0.10834,[2 3] ; [57 63],[2.36 2.64] ; [56.64 63.36],0
b4,1,0.762351,0.091443,[9 5] ; [194 128],[8.45833333 5.54166667] ; [194.54166667 127.45833333],0
p2,1,0.770068,0.085431,[9 5] ; [219 103],[9.5 4.5] ; [218.5 103.5],0
u1,1,0.778704,0.078966,[ 2 12] ; [ 38 284],[ 1.66666667 12.33333333] ; [ 38.33333333 283.66666667],0
p11,1,0.788246,0.07214,[10  4] ; [219 103],[9.54166667 4.45833333] ; [219.45833333 102.54166667],0
u3,1,0.810224,0.057666,[2 3] ; [55 66],[2.26190476 2.73809524] ; [54.73809524 66.26190476],0
v3,1,0.81091,0.057242,[ 3 10] ; [ 81 230],[3.37037037 9.62962963] ; [ 80.62962963 230.37037037],0
a3,1,0.862632,0.029938,[9 5] ; [199 122],[8.69253731 5.30746269] ; [199.30746269 121.69253731],0
p10,1,0.927172,0.008355,[9 4] ; [217 102],[8.84939759 4.15060241] ; [217.15060241 101.84939759],0
d3,1,0.936662,0.006315,[9 5] ; [203 118],[8.85970149 5.14029851] ; [203.14029851 117.85970149],0
d1,1,1.0,0.0,[7 7] ; [161 161],[7. 7.] ; [161. 161.],0
r4,1,1.0,0.0,[11  3] ; [253  69],[11.  3.] ; [253.  69.],0
