Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,58.76947,[101   6] ; [11 22],[85.6 21.4] ; [26.4  6.6],1
s6,1,0.3668,0.814476,[54 51] ; [14 19],[51.73913043 53.26086957] ; [16.26086957 16.73913043],0
s4,1,0.457038,0.55314,[11 95] ; [ 2 31],[ 9.91366906 96.08633094] ; [ 3.08633094 29.91366906],0
a6,1,0.464962,0.533924,[76 32] ; [21 12],[74.29787234 33.70212766] ; [22.70212766 10.29787234],0
a1,1,0.467156,0.528696,[  6 102] ; [ 3 30],[  6.89361702 101.10638298] ; [ 2.10638298 30.89361702],0
d2,1,0.565708,0.329917,[53 54] ; [14 18],[51.57553957 55.42446043] ; [15.42446043 16.57553957],0
r2,1,0.572394,0.318693,[102   4] ; [31  2],[101.42446043   4.57553957] ; [31.57553957  1.42446043],0
b4,1,0.600599,0.274093,[74 34] ; [21 12],[72.76595745 35.23404255] ; [22.23404255 10.76595745],0
u3,1,0.673214,0.177866,[16 14] ; [7 8],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
a4,1,0.674916,0.175906,[47 61] ; [13 20],[45.95744681 62.04255319] ; [14.04255319 18.95744681],0
a8,1,0.684803,0.16477,[12 85] ; [ 3 28],[11.3671875 85.6328125] ; [ 3.6328125 27.3671875],0
n4,1,0.709691,0.138585,[82 26] ; [24  9],[81.19148936 26.80851064] ; [24.80851064  8.19148936],0
p1,1,0.891429,0.018631,[ 9 99] ; [ 3 30],[ 9.19148936 98.80851064] ; [ 2.80851064 30.19148936],0
a2,1,0.902407,0.015036,[24 84] ; [ 7 26],[23.74468085 84.25531915] ; [ 7.25531915 25.74468085],0
s1,1,0.930574,0.00759,[  3 103] ; [ 1 31],[  3.07246377 102.92753623] ; [ 0.92753623 31.07246377],0
s3,1,0.935403,0.006569,[44 63] ; [13 18],[44.19565217 62.80434783] ; [12.80434783 18.19565217],0
